id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
356,Alexander Meier,26,2209,19,15.3959,2,1.2687,80,22,0,0,F M S,Eintracht Frankfurt,16,12.3648,12.4088,1.9157,2014
227,Robert Lewandowski,31,2493,17,17.7222,5,4.644,104,32,0,0,F M S,Bayern Munich,16,16.9644,23.3154,4.9248,2014
392,Arjen Robben,21,1681,17,10.3641,7,7.506,88,50,0,0,D F M S,Bayern Munich,15,8.8487,20.821,8.6058,2014
158,Bas Dost,21,1532,16,11.342,4,2.6592,43,15,1,0,F S,Wolfsburg,16,11.342,15.9119,2.5383,2014
318,Pierre-Emerick Aubameyang,33,2724,16,15.3968,6,6.378,102,46,4,0,F M S,Borussia Dortmund,14,13.8812,20.8527,2.5126,2014
224,Thomas Müller,32,2382,13,14.0781,10,6.4592,83,40,1,0,F M S,Bayern Munich,10,11.8048,23.1581,6.3405,2014
341,Franco Di Santo,26,2301,13,9.4178,2,1.7892,54,24,8,0,F,Werder Bremen,10,6.3868,9.5325,2.3856,2014
186,Karim Bellarabi,33,2731,12,10.1082,6,4.9811,104,45,5,0,F M S,Bayer Leverkusen,12,10.1082,18.1176,5.5593,2014
210,Raffael,31,2386,12,10.8908,2,4.3427,67,42,1,0,F M S,Borussia M.Gladbach,12,10.8908,20.3075,8.1505,2014
754,Shinji Okazaki,32,2787,12,9.8327,3,3.2735,59,26,4,0,F S,Mainz 05,12,9.8327,12.567,2.3567,2014
155,Max Kruse,32,2586,11,11.0787,9,8.6536,65,77,2,0,F S,Borussia M.Gladbach,8,8.8054,21.1755,9.9101,2014
420,Patrick Herrmann,32,2214,11,9.3844,4,5.1314,50,34,5,0,F M S,Borussia M.Gladbach,11,9.3844,16.3536,6.5802,2014
453,Son Heung-Min,30,2305,11,5.3363,2,2.7342,63,39,4,0,M S,Bayer Leverkusen,11,5.3363,10.9945,5.0672,2014
