Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"26,20",49.75,9.95,2014, bayern munchen
Défense,"25,33",177.25,19.69,2014, bayern munchen
Milieu de terrain,"22,17",158.13,13.18,2014, bayern munchen
Attaquant,"26,29",190.0,27.14,2014, bayern munchen
Total,"24,52",575.13,17.43,2014, bayern munchen
Gardien,"27,25",49.05,12.26,2015, bayern munchen
Défense,"26,36",157.65,14.33,2015, bayern munchen
Milieu de terrain,"22,38",157.35,12.1,2015, bayern munchen
Attaquant,"26,17",232.0,38.67,2015, bayern munchen
Total,"24,91",596.05,17.53,2015, bayern munchen
Gardien,"27,75",42.25,10.56,2016, bayern munchen
Défense,"26,60",165.25,16.53,2016, bayern munchen
Milieu de terrain,"22,15",158.05,12.16,2016, bayern munchen
Attaquant,"27,17",197.0,32.83,2016, bayern munchen
Total,"25,09",562.55,17.05,2016, bayern munchen
Gardien,"25,00",41.35,6.89,2017, bayern munchen
Défense,"23,33",210.6,23.4,2017, bayern munchen
Milieu de terrain,"22,29",336.1,24.01,2017, bayern munchen
Attaquant,"25,33",223.8,24.87,2017, bayern munchen
Total,"23,68",811.85,21.36,2017, bayern munchen
Gardien,"24,50",23.2,5.8,2018, bayern munchen
Défense,"23,60",201.2,20.12,2018, bayern munchen
Milieu de terrain,"23,70",334.48,33.45,2018, bayern munchen
Attaquant,"27,25",226.0,28.25,2018, bayern munchen
Total,"24,66",784.88,24.53,2018, bayern munchen
Gardien,"25,50",18.73,4.68,2019, bayern munchen
Défense,"22,10",261.1,26.11,2019, bayern munchen
Milieu de terrain,"23,15",289.2,22.25,2019, bayern munchen
Attaquant,"21,64",208.3,18.94,2019, bayern munchen
Total,"22,68",777.33,20.46,2019, bayern munchen
Gardien,"25,40",25.7,5.14,2020, bayern munchen
Défense,"22,29",273.85,19.56,2020, bayern munchen
Milieu de terrain,"21,85",251.08,19.31,2020, bayern munchen
Attaquant,"23,69",307.6,23.66,2020, bayern munchen
Total,"22,91",858.23,19.07,2020, bayern munchen
Gardien,"26,00",6.65,2.22,2014,vfl wolfsburg
Défense,"25,70",64.85,6.49,2014,vfl wolfsburg
Milieu de terrain,"21,58",102.55,8.55,2014,vfl wolfsburg
Attaquant,"26,80",47.0,9.4,2014,vfl wolfsburg
Total,"24,27",221.05,7.37,2014,vfl wolfsburg
Gardien,"25,25",6.93,1.73,2015,vfl wolfsburg
Défense,"25,91",56.35,5.12,2015,vfl wolfsburg
Milieu de terrain,"23,90",134.0,13.4,2015,vfl wolfsburg
Attaquant,"23,10",73.15,7.32,2015,vfl wolfsburg
Total,"24,46",270.43,7.73,2015,vfl wolfsburg
Gardien,"25,00",4.0,0.8,2016,vfl wolfsburg
Défense,"23,23",54.98,4.23,2016,vfl wolfsburg
Milieu de terrain,"23,17",59.55,4.96,2016,vfl wolfsburg
Attaquant,"23,46",84.55,6.5,2016,vfl wolfsburg
Total,"23,49",203.08,4.72,2016,vfl wolfsburg
Gardien,"24,33",6.4,2.13,2017,vfl wolfsburg
Défense,"22,75",45.8,3.82,2017,vfl wolfsburg
Milieu de terrain,"23,75",48.4,6.05,2017,vfl wolfsburg
Attaquant,"23,40",43.0,4.3,2017,vfl wolfsburg
