Position,Valeur maximum,Years,Crew
Gardien,45.0,2014,fc-bayern-munchen
Défense,40.0,2014,fc-bayern-munchen
Milieu,50.0,2014,fc-bayern-munchen
Attaquant,50.0,2014,fc-bayern-munchen
Total,55.0,2014,fc-bayern-munchen
Gardien,45.0,2015,fc-bayern-munchen
Défense,45.0,2015,fc-bayern-munchen
Milieu,37.0,2015,fc-bayern-munchen
Attaquant,75.0,2015,fc-bayern-munchen
Total,75.0,2015,fc-bayern-munchen
Gardien,40.0,2016,fc-bayern-munchen
Défense,40.0,2016,fc-bayern-munchen
Milieu,40.0,2016,fc-bayern-munchen
Attaquant,80.0,2016,fc-bayern-munchen
Total,80.0,2016,fc-bayern-munchen
Gardien,35.0,2017,fc-bayern-munchen
Défense,60.0,2017,fc-bayern-munchen
Milieu,70.0,2017,fc-bayern-munchen
Attaquant,90.0,2017,fc-bayern-munchen
Total,90.0,2017,fc-bayern-munchen
Gardien,18.0,2018,fc-bayern-munchen
Défense,60.0,2018,fc-bayern-munchen
Milieu,70.0,2018,fc-bayern-munchen
Attaquant,65.0,2018,fc-bayern-munchen
Total,70.0,2018,fc-bayern-munchen
Gardien,14.5,2019,fc-bayern-munchen
Défense,56.0,2019,fc-bayern-munchen
Milieu,64.0,2019,fc-bayern-munchen
Attaquant,72.0,2019,fc-bayern-munchen
Total,72.0,2019,fc-bayern-munchen
Gardien,18.0,2020,fc-bayern-munchen
Défense,70.0,2020,fc-bayern-munchen
Milieu,90.0,2020,fc-bayern-munchen
Attaquant,70.0,2020,fc-bayern-munchen
Total,90.0,2020,fc-bayern-munchen
Gardien,6.0,2014,vfl-wolfsburg
Défense,28.0,2014,vfl-wolfsburg
Milieu,35.0,2014,vfl-wolfsburg
Attaquant,30.0,2014,vfl-wolfsburg
Total,35.0,2014,vfl-wolfsburg
Gardien,5.0,2015,vfl-wolfsburg
Défense,25.0,2015,vfl-wolfsburg
Milieu,60.0,2015,vfl-wolfsburg
Attaquant,24.0,2015,vfl-wolfsburg
Total,60.0,2015,vfl-wolfsburg
Gardien,2.5,2016,vfl-wolfsburg
Défense,17.0,2016,vfl-wolfsburg
Milieu,12.0,2016,vfl-wolfsburg
Attaquant,35.0,2016,vfl-wolfsburg
Total,35.0,2016,vfl-wolfsburg
Gardien,6.0,2017,vfl-wolfsburg
Défense,10.0,2017,vfl-wolfsburg
Milieu,10.0,2017,vfl-wolfsburg
Attaquant,10.0,2017,vfl-wolfsburg
Total,10.0,2017,vfl-wolfsburg
Gardien,13.0,2018,vfl-wolfsburg
Défense,20.0,2018,vfl-wolfsburg
Milieu,15.0,2018,vfl-wolfsburg
Attaquant,20.0,2018,vfl-wolfsburg
Total,20.0,2018,vfl-wolfsburg
Gardien,10.5,2019,vfl-wolfsburg
Défense,16.0,2019,vfl-wolfsburg
Milieu,14.5,2019,vfl-wolfsburg
Attaquant,21.5,2019,vfl-wolfsburg
Total,21.5,2019,vfl-wolfsburg
Gardien,14.0,2020,vfl-wolfsburg
Défense,28.0,2020,vfl-wolfsburg
Milieu,27.0,2020,vfl-wolfsburg
Attaquant,30.0,2020,vfl-wolfsburg
Total,30.0,2020,vfl-wolfsburg
Gardien,10.0,2014,borussia-monchengladbach
Défense,8.5,2014,borussia-monchengladbach
Milieu,13.0,2014,borussia-monchengladbach
Attaquant,10.0,2014,borussia-monchengladbach
Total,13.0,2014,borussia-monchengladbach
Gardien,10.0,2015,borussia-monchengladbach
Défense,8.0,2015,borussia-monchengladbach
Milieu,35.0,2015,borussia-monchengladbach
Attaquant,12.0,2015,borussia-monchengladbach
Total,35.0,2015,borussia-monchengladbach
Gardien,9.0,2016,borussia-monchengladbach
Défense,18.0,2016,borussia-monchengladbach
Milieu,15.0,2016,borussia-monchengladbach
Attaquant,12.0,2016,borussia-monchengladbach
Total,18.0,2016,borussia-monchengladbach
Gardien,8.0,2017,borussia-monchengladbach
Défense,25.0,2017,borussia-monchengladbach
Milieu,20.0,2017,borussia-monchengladbach
Attaquant,22.0,2017,borussia-monchengladbach
Total,25.0,2017,borussia-monchengladbach
Gardien,12.0,2018,borussia-monchengladbach
Défense,35.0,2018,borussia-monchengladbach
Milieu,22.0,2018,borussia-monchengladbach
Attaquant,38.0,2018,borussia-monchengladbach
Total,38.0,2018,borussia-monchengladbach
Gardien,9.5,2019,borussia-monchengladbach
Défense,28.0,2019,borussia-monchengladbach
Milieu,36.0,2019,borussia-monchengladbach
Attaquant,24.0,2019,borussia-monchengladbach
Total,36.0,2019,borussia-monchengladbach
Gardien,6.0,2020,borussia-monchengladbach
Défense,30.0,2020,borussia-monchengladbach
Milieu,35.0,2020,borussia-monchengladbach
Attaquant,35.0,2020,borussia-monchengladbach
Total,35.0,2020,borussia-monchengladbach
Gardien,16.0,2014,bayer-04-leverkusen
Défense,18.0,2014,bayer-04-leverkusen
Milieu,22.0,2014,bayer-04-leverkusen
Attaquant,16.0,2014,bayer-04-leverkusen
Total,22.0,2014,bayer-04-leverkusen
Gardien,16.0,2015,bayer-04-leverkusen
Défense,18.0,2015,bayer-04-leverkusen
Milieu,20.0,2015,bayer-04-leverkusen
Attaquant,25.0,2015,bayer-04-leverkusen
Total,25.0,2015,bayer-04-leverkusen
Gardien,16.0,2016,bayer-04-leverkusen
Défense,22.0,2016,bayer-04-leverkusen
Milieu,20.0,2016,bayer-04-leverkusen
Attaquant,18.0,2016,bayer-04-leverkusen
Total,22.0,2016,bayer-04-leverkusen
Gardien,20.0,2017,bayer-04-leverkusen
Défense,30.0,2017,bayer-04-leverkusen
Milieu,40.0,2017,bayer-04-leverkusen
