name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 F. Ribéry,AD,FC Bayern Munich,"5'7""",88,92,373,423,454,76,47,2014
 A. Robben,MOC,FC Bayern Munich,"5'11""",91,93,381,424,454,78,49,2014
 B. Schweinsteiger,MC,FC Bayern Munich,"6'0""",64,59,406,416,364,224,65,2014
 M. Neuer,G,FC Bayern Munich,"6'4""",54,50,142,147,264,75,431,2014
 P. Lahm,DLD,FC Bayern Munich,"5'7""",77,82,350,386,426,268,47,2014
 R. Lewandowski,BU,Borussia Dortmund,"6'0""",81,81,396,376,411,92,51,2014
 M. Götze,MOC,FC Bayern Munich,"5'9""",82,83,372,409,428,80,49,2014
 T. Müller,AT,FC Bayern Munich,"6'1""",82,82,418,377,404,96,52,2014
 M. Reus,MOC,Borussia Dortmund,"5'11""",92,89,384,417,438,95,61,2014
 M. Hummels,DC,Borussia Dortmund,"6'4""",67,63,337,345,340,258,42,2014
 J. Boateng,DC,FC Bayern Munich,"6'4""",79,68,316,294,342,251,45,2014
 Dante,DC,FC Bayern Munich,"6'2""",65,67,337,343,350,254,51,2014
 Javi Martinez,DC,FC Bayern Munich,"6'3""",55,59,345,335,317,250,45,2014
 T. Kroos,MOC,FC Bayern Munich,"6'0""",53,62,381,427,354,149,51,2014
 K. Huntelaar,BU,FC Schalke 04,"6'1""",73,68,397,328,357,76,45,2014
 M. Mandžukić,BU,FC Bayern Munich,"6'2""",76,74,396,298,383,109,46,2014
 R. Weidenfeller,G,Borussia Dortmund,"6'2""",42,38,131,127,239,75,398,2014
 L. Piszczek,DD,Borussia Dortmund,"6'0""",85,83,366,340,393,242,57,2014
 J. Błaszczykowski,AD,Borussia Dortmund,"5'9""",91,92,365,380,432,176,59,2014
 I. Gündoğan,MC,Borussia Dortmund,"5'11""",78,84,356,413,418,196,48,2014
 J. Farfán,AD,FC Schalke 04,"5'10""",87,88,371,405,415,97,59,2014
 D. Alaba,MG,FC Bayern Munich,"5'11""",86,87,362,391,422,238,50,2014
 N. Subotić,DC,Borussia Dortmund,"6'4""",74,68,299,279,353,254,35,2014
 Sokratis,DC,Borussia Dortmund,"6'1""",80,75,322,294,383,255,36,2014
