Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years
1,Bayern Munich,34,25,4,5,80,18,79,66.21,21.94,73.61,2014
2,Wolfsburg,34,20,9,5,72,38,69,58.35,38.82,59.95,2014
3,Borussia M.Gladbach,34,19,9,6,53,26,66,51.74,36.34,57.01,2014
4,Bayer Leverkusen,34,17,10,7,62,37,61,49.16,34.72,55.34,2014
5,Augsburg,34,15,4,15,43,43,49,43.91,46.66,45.5,2014
6,Schalke 04,34,13,9,12,42,40,48,41.26,46.96,45.07,2014
7,Borussia Dortmund,34,13,7,14,47,42,46,53.86,33.4,58.08,2014
8,Hoffenheim,34,12,8,14,49,55,44,49.96,50.0,46.03,2014
9,Eintracht Frankfurt,34,11,10,13,56,62,43,47.37,55.04,41.72,2014
10,Werder Bremen,34,11,10,13,50,65,43,42.67,52.38,39.38,2014
11,Mainz 05,34,9,13,12,45,47,40,43.91,48.11,44.93,2014
12,FC Cologne,34,9,13,12,34,40,40,32.22,40.52,41.82,2014
13,Hannover 96,34,9,10,15,40,56,37,36.43,46.28,41.25,2014
14,VfB Stuttgart,34,9,9,16,42,60,36,45.64,48.1,44.26,2014
15,Hertha Berlin,34,9,8,17,36,52,35,32.66,46.2,36.11,2014
16,Hamburger SV,34,9,8,17,25,50,35,32.86,55.83,33.57,2014
17,Freiburg,34,7,13,14,36,47,34,38.69,45.91,43.02,2014
18,Paderborn,34,7,10,17,31,65,31,36.08,55.77,36.16,2014
1,Bayern Munich,34,28,4,2,80,17,88,77.04,20.79,77.97,2015
2,Borussia Dortmund,34,24,6,4,82,34,78,83.41,29.18,76.58,2015
3,Bayer Leverkusen,34,18,6,10,56,40,60,52.91,41.24,56.66,2015
4,Borussia M.Gladbach,34,17,4,13,67,50,55,53.67,49.07,50.06,2015
5,Schalke 04,34,15,7,12,51,49,52,47.13,47.88,45.62,2015
6,Mainz 05,34,14,8,12,46,42,50,47.91,47.27,46.67,2015
7,Hertha Berlin,34,14,8,12,42,42,50,35.9,43.94,44.16,2015
8,Wolfsburg,34,12,9,13,47,49,45,49.49,41.62,52.38,2015
9,FC Cologne,34,10,13,11,38,42,43,42.87,44.43,46.63,2015
10,Hamburger SV,34,11,8,15,40,46,41,38.75,51.19,38.62,2015
11,Ingolstadt,34,10,10,14,33,42,40,41.02,45.82,42.93,2015
12,Augsburg,34,9,11,14,42,52,38,42.39,55.65,41.18,2015
13,Werder Bremen,34,10,8,16,50,65,38,50.12,51.8,47.76,2015
14,Darmstadt,34,9,11,14,38,53,38,39.03,51.06,39.47,2015
15,Hoffenheim,34,9,10,15,39,54,37,39.55,60.41,36.17,2015
16,Eintracht Frankfurt,34,9,9,16,34,52,36,32.95,54.31,33.53,2015
17,VfB Stuttgart,34,9,6,19,50,75,33,57.7,65.06,45.48,2015
18,Hannover 96,34,7,4,23,31,62,25,32.43,63.58,26.46,2015
1,Bayern Munich,34,25,7,2,89,22,82,73.91,27.04,73.76,2016
2,RasenBallsport Leipzig,34,20,7,7,66,39,67,55.09,40.06,59.54,2016
3,Borussia Dortmund,34,18,10,6,72,40,64,74.91,34.61,68.06,2016
4,Hoffenheim,34,16,14,4,64,37,62,54.5,41.44,55.44,2016
5,FC Cologne,34,12,13,9,51,42,49,45.34,41.27,48.75,2016
6,Hertha Berlin,34,15,4,15,43,47,49,38.15,49.39,40.4,2016
7,Freiburg,34,14,6,14,42,60,48,39.41,54.62,39.14,2016
8,Werder Bremen,34,13,6,15,61,64,45,42.99,60.55,38.82,2016
9,Borussia M.Gladbach,34,12,9,13,45,49,45,45.82,44.44,47.31,2016
10,Schalke 04,34,11,10,13,45,40,43,44.86,43.87,46.37,2016
11,Eintracht Frankfurt,34,11,9,14,36,43,42,43.59,38.33,50.68,2016
12,Bayer Leverkusen,34,11,8,15,53,55,41,53.1,50.38,49.63,2016
13,Augsburg,34,9,11,14,35,51,38,33.88,52.26,34.81,2016
14,Hamburger SV,34,10,8,16,33,61,38,31.91,57.14,31.51,2016
15,Mainz 05,34,10,7,17,44,55,37,42.36,43.23,46.47,2016
16,Wolfsburg,34,10,7,17,34,52,37,44.47,46.85,46.38,2016
17,Ingolstadt,34,8,8,18,36,57,32,44.51,49.19,42.54,2016
18,Darmstadt,34,7,4,23,28,63,25,33.91,68.04,26.47,2016
1,Bayern Munich,34,27,3,4,92,28,84,76.55,30.64,73.52,2017
2,Schalke 04,34,18,9,7,53,37,63,46.83,39.42,51.69,2017
3,Hoffenheim,34,15,10,9,66,48,55,50.72,45.2,49.86,2017
4,Borussia Dortmund,34,15,10,9,64,47,55,66.1,40.86,63.16,2017
5,Bayer Leverkusen,34,15,10,9,58,44,55,56.98,36.92,61.54,2017
6,RasenBallsport Leipzig,34,15,8,11,57,53,53,51.42,47.42,48.47,2017
7,VfB Stuttgart,34,15,6,13,36,36,51,37.91,39.35,46.67,2017
8,Eintracht Frankfurt,34,14,7,13,45,45,49,41.06,40.91,47.19,2017
9,Borussia M.Gladbach,34,13,8,13,47,52,47,51.25,52.09,48.93,2017
10,Hertha Berlin,34,10,13,11,43,46,43,38.58,44.71,41.89,2017
11,Werder Bremen,34,10,12,12,37,40,42,38.51,43.47,42.7,2017
12,Augsburg,34,10,11,13,43,46,41,42.26,40.82,45.9,2017
13,Hannover 96,34,10,9,15,44,54,39,41.22,54.36,39.58,2017
14,Mainz 05,34,9,9,16,38,52,36,31.65,45.18,37.92,2017
15,Freiburg,34,8,12,14,32,56,36,36.98,45.66,40.82,2017
16,Wolfsburg,34,6,15,13,36,48,33,32.11,49.43,34.8,2017
17,Hamburger SV,34,8,7,19,29,53,31,36.04,54.06,38.59,2017
18,FC Cologne,34,5,7,22,35,70,22,41.5,67.17,32.18,2017
1,Bayern Munich,34,24,6,4,88,32,78,92.24,27.41,82.0,2018
2,Borussia Dortmund,34,23,7,4,81,44,76,64.99,42.88,62.85,2018
3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.25,39.65,63.06,2018
4,Bayer Leverkusen,34,18,4,12,69,52,58,61.49,45.71,57.4,2018
5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.93,52.87,51.38,2018
6,Wolfsburg,34,16,7,11,62,50,55,49.49,49.84,47.04,2018
7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84,51.02,54.38,2018
8,Werder Bremen,34,14,11,9,58,49,53,49.36,56.71,44.36,2018
9,Hoffenheim,34,13,12,9,70,52,51,79.95,53.29,62.96,2018
10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.47,63.06,39.21,2018
11,Hertha Berlin,34,11,10,13,49,57,43,50.52,61.58,41.95,2018
12,Mainz 05,34,12,7,15,46,57,43,49.21,62.8,39.34,2018
13,Freiburg,34,8,12,14,46,61,36,41.23,61.43,35.67,2018
14,Schalke 04,34,8,9,17,37,55,33,46.62,51.94,44.16,2018
15,Augsburg,34,8,8,18,51,71,32,47.44,63.79,37.08,2018
16,VfB Stuttgart,34,7,7,20,32,70,28,37.38,62.7,31.99,2018
17,Hannover 96,34,5,6,23,31,71,21,34.81,73.12,25.21,2018
18,Nuernberg,34,3,10,21,26,68,19,35.37,54.8,35.12,2018
1,Bayern Munich,34,26,4,4,100,32,82,92.85,36.47,77.33,2019
2,Borussia Dortmund,34,21,6,7,84,41,69,64.26,42.02,62.48,2019
3,RasenBallsport Leipzig,34,18,12,4,81,37,66,76.13,37.58,68.71,2019
4,Borussia M.Gladbach,34,20,5,9,66,40,65,73.58,46.05,62.63,2019
5,Bayer Leverkusen,34,19,6,9,61,44,63,61.88,49.68,54.62,2019
6,Hoffenheim,34,15,7,12,53,53,52,56.66,58.75,45.87,2019
7,Wolfsburg,34,13,10,11,48,46,49,54.43,41.91,55.69,2019
8,Freiburg,34,13,9,12,48,47,48,46.14,63.37,39.15,2019
9,Eintracht Frankfurt,34,13,6,15,59,60,45,58.33,50.93,52.72,2019
10,Hertha Berlin,34,11,8,15,48,59,41,44.3,55.58,39.55,2019
11,Union Berlin,34,12,5,17,41,58,41,41.58,54.94,39.32,2019
12,Schalke 04,34,9,12,13,38,58,39,35.93,54.22,35.84,2019
13,Mainz 05,34,11,4,19,44,65,37,46.19,62.9,39.15,2019
14,Augsburg,34,9,9,16,45,63,36,43.86,59.12,39.78,2019
15,FC Cologne,34,10,6,18,51,69,36,49.28,54.54,43.89,2019
16,Werder Bremen,34,8,7,19,42,69,31,37.74,56.94,35.12,2019
17,Fortuna Duesseldorf,34,6,12,16,36,67,30,35.69,64.45,32.87,2019
18,Paderborn,34,4,8,22,37,74,20,38.47,67.83,28.67,2019
1,Bayern Munich,34,24,6,4,99,44,78,75.93,38.87,67.04,2020
2,RasenBallsport Leipzig,34,19,8,7,60,32,65,67.14,29.24,71.42,2020
3,Borussia Dortmund,34,20,4,10,75,46,64,68.95,39.44,65.19,2020
4,Wolfsburg,34,17,10,7,61,37,61,51.59,39.16,55.31,2020
5,Eintracht Frankfurt,34,16,12,6,69,53,60,60.53,47.73,56.28,2020
6,Bayer Leverkusen,34,14,10,10,53,39,52,47.28,40.41,50.01,2020
7,Union Berlin,34,12,14,8,50,43,50,46.0,43.51,51.71,2020
8,Borussia M.Gladbach,34,13,10,11,64,56,49,54.11,44.71,52.18,2020
9,VfB Stuttgart,34,12,9,13,56,55,45,52.18,53.79,47.18,2020
10,Freiburg,34,12,9,13,52,52,45,45.11,52.98,41.18,2020
11,Hoffenheim,34,11,10,13,52,54,43,50.32,52.88,45.18,2020
12,Mainz 05,34,10,9,15,39,56,39,48.46,52.2,44.37,2020
13,Augsburg,34,10,6,18,36,54,36,36.01,57.15,34.48,2020
14,Hertha Berlin,34,8,11,15,41,52,35,40.71,46.69,43.21,2020
15,Arminia Bielefeld,34,9,8,17,26,52,35,31.14,58.98,30.08,2020
16,FC Cologne,34,8,9,17,34,60,33,39.64,53.18,37.71,2020
17,Werder Bremen,34,7,10,17,36,57,31,32.51,53.7,33.75,2020
18,Schalke 04,34,3,7,24,25,86,16,27.66,70.66,20.47,2020
