Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
1,Bayern Munich,2014,79,0.735,80,18,66.21,21.94,575,167.8,126.625,1.0206785714285715,1.0393006249999999
1,Bayern Munich,2015,88,0.824,80,17,77.04,20.79,596,201.3,114.062,1.04834,1.0334085714285712
1,Bayern Munich,2016,82,0.735,89,22,73.91,27.04,562,173.4,118.25,1.05446,1.04191
1,Bayern Munich,2017,84,0.794,92,28,76.55,30.64,811,212.0,157.375,1.0147973333333333,1.0588336363636364
1,Bayern Munich,2018,78,0.706,88,32,92.24,27.41,784,214.2,149.375,1.0309993333333334,1.0530983333333337
1,Bayern Munich,2019,82,0.765,100,32,92.85,36.47,777,195.3,183.438,1.0087620000000002,1.0761753846153845
1,Bayern Munich,2020,78,0.706,99,44,75.93,38.87,858,270.7,189.438,1.10058,1.0900422222222221
2,Wolfsburg,2014,69,0.588,72,38,58.35,38.82,221,47.8,47.125,1.0319136842105263,1.0036766666666668
8,Wolfsburg,2015,45,0.353,47,49,49.49,41.62,270,71.8,44.125,1.02215,1.02888
16,Wolfsburg,2016,37,0.294,34,52,44.47,46.85,203,73.1,37.938,1.0018777777777776,0.9855063636363636
16,Wolfsburg,2017,33,0.176,36,48,32.11,49.43,143,39.2,31.875,0.99701,0.9988108333333333
6,Wolfsburg,2018,55,0.471,62,50,49.49,49.84,229,73.6,46.875,1.0042182352941178,1.004285
7,Wolfsburg,2019,49,0.382,48,46,54.43,41.91,207,58.1,51.562,1.00593,1.0084166666666665
4,Wolfsburg,2020,61,0.5,61,37,51.59,39.16,256,63.1,72.562,1.00090625,1.0214299999999998
3,Borussia M.Gladbach,2014,66,0.559,53,26,51.74,36.34,130,51.4,22.875,1.001507857142857,0.9980549999999999
4,Borussia M.Gladbach,2015,55,0.5,67,50,53.67,49.07,186,61.6,38.75,0.9988221428571428,1.004782
9,Borussia M.Gladbach,2016,45,0.353,45,49,45.82,44.44,162,52.1,38.812,1.0069500000000002,1.007949090909091
9,Borussia M.Gladbach,2017,47,0.382,47,52,51.25,52.09,193,62.7,45.562,1.0090305555555557,1.0285540000000002
5,Borussia M.Gladbach,2018,55,0.471,55,42,54.93,52.87,264,88.3,55.688,0.9980389473684209,1.0381360000000002
4,Borussia M.Gladbach,2019,65,0.588,66,40,73.58,46.05,254,72.9,60.812,1.01727,1.0488354545454546
8,Borussia M.Gladbach,2020,49,0.382,64,56,54.11,44.71,300,87.9,69.188,1.0209526666666668,1.0267190909090909
4,Bayer Leverkusen,2014,61,0.5,62,37,49.16,34.72,177,41.2,36.25,1.0188924999999998,1.0392072727272728
3,Bayer Leverkusen,2015,60,0.529,56,40,52.91,41.24,241,65.0,51.5,1.0468446153846154,1.0625585714285717
12,Bayer Leverkusen,2016,41,0.324,53,55,53.1,50.38,265,65.5,63.188,1.0294647058823527,1.041602727272727
5,Bayer Leverkusen,2017,55,0.441,58,44,56.98,36.92,357,97.3,71.438,1.0615185714285713,1.0286374999999999
4,Bayer Leverkusen,2018,58,0.529,69,52,61.49,45.71,429,114.0,86.125,1.05645,1.0163069999999998
5,Bayer Leverkusen,2019,63,0.559,61,44,61.88,49.68,398,116.4,70.5,1.0569000000000002,1.047898888888889
6,Bayer Leverkusen,2020,52,0.412,53,39,47.28,40.41,373,127.2,74.75,1.038628,1.081718888888889
5,Augsburg,2014,49,0.441,43,43,43.91,46.66,50,14.9,10.438,0.9961638888888888,0.9715445454545453
12,Augsburg,2015,38,0.265,42,52,42.39,55.65,75,19.8,21.375,0.97577,0.9994158333333334
13,Augsburg,2016,38,0.265,35,51,33.88,52.26,65,15.8,18.875,0.9934611111111111,1.0073023076923076
12,Augsburg,2017,41,0.294,43,46,42.26,40.82,100,27.1,30.812,0.9864831578947367,0.991430909090909
15,Augsburg,2018,32,0.235,51,71,47.44,63.79,139,37.9,43.938,0.9733817647058823,1.0103533333333334
14,Augsburg,2019,36,0.265,45,63,43.86,59.12,112,33.9,31.688,0.9607995,0.9605600000000001
13,Augsburg,2020,36,0.294,36,54,36.01,57.15,93,27.5,24.688,0.9838140909090908,0.9485857142857144
