Team,Value,trend,pourcentage,predict
FC Bayern,852.9,8.114183922717837,1.0,True
Bor. Dortmund,565.9,4.405767294111107,0.985,True
RB Leipzig,505.55,3.625966097120111,0.645,True
Bay. Leverkusen,352.75,1.651589578475134,0.401,False
Bor. M'gladbach,300.0,0.9699903549245938,0.223,False
VfL Wolfsburg,287.83,0.8127379842969145,0.211,False
E. Frankfurt,231.25,0.08165013465730198,0.151,False
TSG Hoffenheim,207.65,-0.22329283549990642,0.126,False
VfB Stuttgart,169.63,-0.7145611289480871,0.09,False
Hertha BSC,137.05,-1.1355374835125722,0.065,False
SC Fribourg,125.15,-1.2893010998206562,0.029,False
1.FSV Mainz 05,100.5,-1.6078114478874017,0.022,False
FC Augsburg,97.1,-1.6517439096897113,0.021,False
Union Berlin,77.8,-1.9011252369792928,0.017,False
1. FC Köln,76.66,-1.9158555329953613,0.017,False
Arm. Bielefeld,53.45,-2.215759191357599,0.013,False
Greuther Fürth,39.23,-2.399500252189612,0.011,False
VfL Bochum,36.9,-2.429606909836489,0.01,False
