Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
1,Bayern Munich,2014,79,0.735,80,18,66.21,21.94,575,167.8,126.625
1,Bayern Munich,2015,88,0.824,80,17,77.04,20.79,596,201.3,114.062
1,Bayern Munich,2016,82,0.735,89,22,73.91,27.04,562,173.4,118.25
1,Bayern Munich,2017,84,0.794,92,28,76.55,30.64,811,212.0,157.375
1,Bayern Munich,2018,78,0.706,88,32,92.24,27.41,784,214.2,149.375
1,Bayern Munich,2019,82,0.765,100,32,92.85,36.47,777,195.3,183.438
1,Bayern Munich,2020,78,0.706,99,44,75.93,38.87,858,270.7,189.438
2,Wolfsburg,2014,69,0.588,72,38,58.35,38.82,221,47.8,47.125
8,Wolfsburg,2015,45,0.353,47,49,49.49,41.62,270,71.8,44.125
16,Wolfsburg,2016,37,0.294,34,52,44.47,46.85,203,73.1,37.938
16,Wolfsburg,2017,33,0.176,36,48,32.11,49.43,143,39.2,31.875
6,Wolfsburg,2018,55,0.471,62,50,49.49,49.84,229,73.6,46.875
7,Wolfsburg,2019,49,0.382,48,46,54.43,41.91,207,58.1,51.562
4,Wolfsburg,2020,61,0.5,61,37,51.59,39.16,256,63.1,72.562
3,Borussia M.Gladbach,2014,66,0.559,53,26,51.74,36.34,130,51.4,22.875
4,Borussia M.Gladbach,2015,55,0.5,67,50,53.67,49.07,186,61.6,38.75
9,Borussia M.Gladbach,2016,45,0.353,45,49,45.82,44.44,162,52.1,38.812
9,Borussia M.Gladbach,2017,47,0.382,47,52,51.25,52.09,193,62.7,45.562
5,Borussia M.Gladbach,2018,55,0.471,55,42,54.93,52.87,264,88.3,55.688
4,Borussia M.Gladbach,2019,65,0.588,66,40,73.58,46.05,254,72.9,60.812
8,Borussia M.Gladbach,2020,49,0.382,64,56,54.11,44.71,300,87.9,69.188
4,Bayer Leverkusen,2014,61,0.5,62,37,49.16,34.72,177,41.2,36.25
3,Bayer Leverkusen,2015,60,0.529,56,40,52.91,41.24,241,65.0,51.5
12,Bayer Leverkusen,2016,41,0.324,53,55,53.1,50.38,265,65.5,63.188
5,Bayer Leverkusen,2017,55,0.441,58,44,56.98,36.92,357,97.3,71.438
4,Bayer Leverkusen,2018,58,0.529,69,52,61.49,45.71,429,114.0,86.125
5,Bayer Leverkusen,2019,63,0.559,61,44,61.88,49.68,398,116.4,70.5
6,Bayer Leverkusen,2020,52,0.412,53,39,47.28,40.41,373,127.2,74.75
5,Augsburg,2014,49,0.441,43,43,43.91,46.66,50,14.9,10.438
12,Augsburg,2015,38,0.265,42,52,42.39,55.65,75,19.8,21.375
13,Augsburg,2016,38,0.265,35,51,33.88,52.26,65,15.8,18.875
12,Augsburg,2017,41,0.294,43,46,42.26,40.82,100,27.1,30.812
15,Augsburg,2018,32,0.235,51,71,47.44,63.79,139,37.9,43.938
14,Augsburg,2019,36,0.265,45,63,43.86,59.12,112,33.9,31.688
13,Augsburg,2020,36,0.294,36,54,36.01,57.15,93,27.5,24.688
6,Schalke 04,2014,48,0.382,42,40,41.26,46.96,211,60.8,52.625
5,Schalke 04,2015,52,0.441,51,49,47.13,47.88,225,59.8,50.5
10,Schalke 04,2016,43,0.324,45,40,44.86,43.87,217,52.8,50.0
2,Schalke 04,2017,63,0.529,53,37,46.83,39.42,274,67.0,50.125
14,Schalke 04,2018,33,0.235,37,55,46.62,51.94,221,61.7,37.688
12,Schalke 04,2019,39,0.265,38,58,35.93,54.22,221,41.8,55.75
18,Schalke 04,2020,16,0.088,25,86,27.66,70.66,123,23.1,36.812
7,Borussia Dortmund,2014,46,0.382,47,42,53.86,33.4,319,61.4,79.375
2,Borussia Dortmund,2015,78,0.706,82,34,83.41,29.18,352,68.8,77.5
3,Borussia Dortmund,2016,64,0.529,72,40,74.91,34.61,390,134.3,71.688
4,Borussia Dortmund,2017,55,0.441,64,47,66.1,40.86,574,268.3,81.562
2,Borussia Dortmund,2018,76,0.676,81,44,64.99,42.88,643,221.0,130.5
2,Borussia Dortmund,2019,69,0.618,84,41,64.26,42.02,654,231.3,130.688
3,Borussia Dortmund,2020,64,0.588,75,46,68.95,39.44,628,247.2,93.875
8,Hoffenheim,2014,44,0.353,49,55,49.96,50.0,121,53.8,15.875
15,Hoffenheim,2015,37,0.265,39,54,39.55,60.41,90,32.9,18.688
4,Hoffenheim,2016,62,0.471,64,37,54.5,41.44,138,33.2,34.875
3,Hoffenheim,2017,55,0.441,66,48,50.72,45.2,212,70.5,43.562
9,Hoffenheim,2018,51,0.382,70,52,79.95,53.29,336,107.4,71.0
6,Hoffenheim,2019,52,0.441,53,53,56.66,58.75,226,85.8,38.0
11,Hoffenheim,2020,43,0.324,52,54,50.32,52.88,228,74.0,36.375
9,Eintracht Frankfurt,2014,43,0.324,56,62,47.37,55.04,74,16.1,15.938
16,Eintracht Frankfurt,2015,36,0.265,34,52,32.95,54.31,76,17.3,16.688
11,Eintracht Frankfurt,2016,42,0.324,36,43,43.59,38.33,72,14.3,18.938
8,Eintracht Frankfurt,2017,49,0.412,45,45,41.06,40.91,126,37.4,24.875
7,Eintracht Frankfurt,2018,54,0.441,60,48,61.84,51.02,313,123.7,62.812
9,Eintracht Frankfurt,2019,45,0.382,59,60,58.33,50.93,208,57.2,43.0
5,Eintracht Frankfurt,2020,60,0.471,69,53,60.53,47.73,269,72.9,54.188
10,Werder Bremen,2014,43,0.324,50,65,42.67,52.38,67,21.1,13.562
13,Werder Bremen,2015,38,0.294,50,65,50.12,51.8,64,13.3,16.812
8,Werder Bremen,2016,45,0.382,61,64,42.99,60.55,89,33.9,13.938
11,Werder Bremen,2017,42,0.294,37,40,38.51,43.47,107,31.4,19.625
8,Werder Bremen,2018,53,0.412,58,49,49.36,56.71,168,52.8,24.375
16,Werder Bremen,2019,31,0.235,42,69,37.74,56.94,135,49.1,24.312
17,Werder Bremen,2020,31,0.206,36,57,32.51,53.7,111,31.3,20.938
11,Mainz 05,2014,40,0.265,45,47,43.91,48.11,88,24.8,15.375
