id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
2371,Cristiano Ronaldo,35,3103,48,39.3088,16,13.6006,225,76,5,1,F M,Real Madrid,38,30.3897,43.608,7.5202,2014
2097,Lionel Messi,38,3374,43,35.8918,18,17.612,187,95,4,0,F S,Barcelona,38,31.4321,54.7536,19.7567,2014
2099,Neymar,33,2573,22,22.7216,7,8.2615,95,52,6,0,F S,Barcelona,21,21.9783,36.8882,11.6784,2014
2270,Antoine Griezmann,37,2490,22,14.7097,1,2.6077,78,23,6,0,F M S,Atletico Madrid,22,14.7097,18.4795,4.5516,2014
1125,Carlos Bacca,37,2581,20,19.2792,6,4.7282,69,31,4,0,F S,Sevilla,14,13.3337,16.0863,2.6682,2014
2410,Aduriz,31,2586,18,16.6965,4,4.4468,88,17,12,0,F S,Athletic Club,13,12.9805,15.039,0.9234,2014
4119,Alberto Bueno,36,2897,17,14.5167,4,2.5171,94,27,4,0,F M S,Rayo Vallecano,15,12.2869,17.154,4.2049,2014
2098,Luis Suárez,27,2182,16,14.5423,14,13.5207,75,60,4,0,F S,Barcelona,16,14.5423,28.3062,6.215,2014
2370,Karim Benzema,29,2325,15,12.4124,10,7.8894,69,45,1,0,F,Real Madrid,15,12.4124,27.089,11.0374,2014
2480,Jonathas,34,3024,14,10.7538,7,3.3865,87,30,10,1,F,Elche,14,10.0106,14.2826,3.572,2014
4060,Sergio García,35,3030,14,10.2708,9,8.1307,80,52,9,0,F M S,Espanyol,12,8.7843,17.2102,4.5576,2014
1732,Nolito,36,2970,13,11.0406,13,14.7269,105,96,11,0,F M S,Celta Vigo,10,8.0675,26.5324,9.8638,2014
2249,James Rodríguez,29,2299,13,5.5193,13,9.4122,53,77,5,0,F M,Real Madrid,13,5.5193,23.7246,14.5191,2014
2251,Gareth Bale,31,2585,13,14.1018,9,8.7472,103,51,2,0,F M S,Real Madrid,12,13.3585,25.972,9.5041,2014
1295,Mario Mandzukic,28,1948,12,11.9086,5,3.6252,55,23,10,0,F S,Atletico Madrid,9,9.6787,9.3233,1.6371,2014
1709,Cristhian Stuani,37,1739,12,10.0088,0,0.8513,45,8,4,1,F M S,Espanyol,10,8.5223,8.9954,0.6806,2014
2274,Luciano Vietto,32,1886,12,11.4104,2,2.5598,78,23,5,0,F S,Villarreal,12,11.4104,16.5522,4.9732,2014
2087,David Barral,35,2656,11,10.1588,0,0.4106,74,14,11,0,F M S,Levante,9,8.6722,10.4548,2.3454,2014
2378,Daniel Parejo,34,2932,11,8.296,5,2.8325,54,42,13,1,M S,Valencia,8,4.5796,12.6946,9.2163,2014
2380,Paco Alcácer,32,2179,11,10.3557,5,3.7486,61,23,2,1,F S,Valencia,11,10.3557,13.7779,1.3671,2014
4038,Joaquín Larrivey,35,2208,11,12.8579,2,1.0616,63,15,5,0,F S,Celta Vigo,11,12.8579,14.9959,2.9039,2014
2116,Felipe Caicedo,34,1889,9,6.4909,2,1.0704,33,20,2,0,F S,Espanyol,9,6.4909,6.0637,2.2465,2014
2416,Carlos Vela,29,2057,9,4.9728,3,3.0637,61,21,5,0,F M S,Real Sociedad,8,4.2295,7.2414,2.2268,2014
2591,Mikel Arruabarrena,34,2560,9,6.2011,3,1.9117,36,29,10,0,F M S,Eibar,7,4.7145,6.114,1.3222,2014
897,Juanmi,34,2248,8,7.4884,0,2.2412,37,22,4,0,F M S,Malaga,8,7.4884,9.9589,1.3227,2014
2082,Youssef El-Arabi,28,1993,8,8.0597,2,2.662,50,21,4,1,F S,Granada,4,5.0866,6.5072,1.0376,2014
2184,Casadesús,35,2423,8,5.6836,2,2.9519,49,34,6,0,F M S,Levante,8,5.6836,7.5441,1.5408,2014
2442,Kevin Gameiro,26,919,8,9.3762,2,2.8431,32,19,0,0,F S,Sevilla,6,7.8898,11.2715,0.9248,2014
4046,Tomer Hemed,35,2334,8,9.9344,4,2.3858,70,12,3,1,F S,Almeria,6,8.4478,8.9717,2.0734,2014
191,Chicharito,23,849,7,4.6505,4,3.9711,30,11,2,0,F S,Real Madrid,7,4.6505,8.7685,2.551,2014
2065,Vicente Iborra,26,2029,7,6.8814,1,1.7642,39,20,7,0,M S,Sevilla,7,6.8814,12.0046,5.4415,2014
2120,Gerard Moreno,26,1617,7,6.0694,3,2.1075,41,22,2,0,F S,Villarreal,7,6.0694,8.3143,2.1979,2014
2200,Álvaro Vázquez,21,1749,7,6.7284,0,1.061,35,15,2,0,F M S,Getafe,6,5.9851,7.4868,1.5535,2014
2304,Leo Baptistao,25,1806,7,6.1731,1,2.755,45,17,3,0,F S,Rayo Vallecano,7,6.1731,9.1914,0.5368,2014
2382,Pablo Piatti,28,1920,7,4.2953,6,6.9094,30,53,2,0,F M S,Valencia,7,4.2953,11.3263,4.5296,2014
2384,Santi Mina,20,1171,7,7.8783,1,0.8536,34,9,6,0,F M S,Celta Vigo,6,7.135,8.8952,1.9549,2014
