Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"26,00",28.5,9.5,2014, barcelona
Défense,"25,90",124.2,12.42,2014, barcelona
Milieu de terrain,"23,91",151.1,13.74,2014, barcelona
Attaquant,"22,29",300.0,42.86,2014, barcelona
Total,"24,39",603.8,19.48,2014, barcelona
Gardien,"27,00",31.0,10.33,2015, barcelona
Défense,"27,67",120.0,13.33,2015, barcelona
Milieu de terrain,"23,50",197.0,19.7,2015, barcelona
Attaquant,"23,10",378.0,37.8,2015, barcelona
Total,"24,88",726.0,22.69,2015, barcelona
Gardien,"26,60",43.8,8.76,2016, barcelona
Défense,"25,50",136.75,13.68,2016, barcelona
Milieu de terrain,"23,69",221.9,17.07,2016, barcelona
Attaquant,"24,33",369.8,41.09,2016, barcelona
Total,"24,73",772.25,20.87,2016, barcelona
Gardien,"25,33",70.5,23.5,2017, barcelona
Défense,"25,44",240.0,26.67,2017, barcelona
Milieu de terrain,"24,86",418.0,29.86,2017, barcelona
Attaquant,"25,43",368.0,52.57,2017, barcelona
Total,"25,18",1100.0,33.23,2017, barcelona
Gardien,"23,80",110.2,22.04,2018, barcelona
Défense,"23,36",266.2,19.01,2018, barcelona
Milieu de terrain,"24,40",431.0,28.73,2018, barcelona
Attaquant,"22,90",394.0,39.4,2018, barcelona
Total,"23,66",1200.0,27.3,2018, barcelona
Gardien,"23,50",88.8,22.2,2019, barcelona
Défense,"22,60",217.4,14.49,2019, barcelona
Milieu de terrain,"23,83",267.4,22.28,2019, barcelona
Attaquant,"23,77",357.63,27.51,2019, barcelona
Total,"23,36",931.23,21.16,2019, barcelona
Gardien,"24,50",70.5,17.63,2020, barcelona
Défense,"23,80",145.5,14.55,2020, barcelona
Milieu de terrain,"24,09",311.5,28.32,2020, barcelona
Attaquant,"23,75",290.0,36.25,2020, barcelona
Total,"23,97",817.5,24.77,2020, barcelona
Gardien,"27,00",24.8,4.96,2014,real madrid
Défense,"23,50",162.0,11.57,2014,real madrid
Milieu de terrain,"22,36",270.0,19.29,2014,real madrid
Attaquant,"23,33",340.0,37.78,2014,real madrid
Total,"23,50",796.8,18.97,2014,real madrid
Gardien,"24,00",24.3,6.08,2015,real madrid
Défense,"24,90",156.0,15.6,2015,real madrid
Milieu de terrain,"22,50",250.0,31.25,2015,real madrid
Attaquant,"23,63",284.0,35.5,2015,real madrid
Total,"23,80",714.3,23.81,2015,real madrid
Gardien,"26,67",24.3,8.1,2016,real madrid
Défense,"24,42",200.1,16.68,2016,real madrid
Milieu de terrain,"23,22",272.25,30.25,2016,real madrid
Attaquant,"24,00",324.0,36.0,2016,real madrid
Total,"24,18",820.65,24.87,2016,real madrid
Gardien,"24,00",24.3,6.08,2017,real madrid
Défense,"22,91",297.8,27.07,2017,real madrid
Milieu de terrain,"23,56",295.05,32.78,2017,real madrid
Attaquant,"24,13",338.2,42.28,2017,real madrid
Total,"23,53",955.35,29.85,2017,real madrid
Gardien,"25,40",76.5,15.3,2018,real madrid
Défense,"23,58",262.55,21.88,2018,real madrid
Milieu de terrain,"23,33",389.85,25.99,2018,real madrid
Attaquant,"23,20",304.2,30.42,2018,real madrid
Total,"23,62",1030.0,24.6,2018,real madrid
Gardien,"24,40",69.1,13.82,2019,real madrid
Défense,"24,73",231.65,21.06,2019,real madrid
Milieu de terrain,"24,88",286.0,35.75,2019,real madrid
Attaquant,"24,56",327.0,36.33,2019,real madrid
Total,"24,67",913.75,27.69,2019,real madrid
Gardien,"21,20",63.65,12.73,2020,real madrid
Défense,"24,83",233.15,19.43,2020,real madrid
Milieu de terrain,"25,86",243.7,34.81,2020,real madrid
Attaquant,"22,92",242.5,18.65,2020,real madrid
Total,"23,86",783.0,21.16,2020,real madrid
Gardien,"24,00",15.0,5.0,2014,atletico madrid
Défense,"24,80",108.0,10.8,2014,atletico madrid
Milieu de terrain,"26,25",89.5,11.19,2014,atletico madrid
Attaquant,"23,64",143.5,13.05,2014,atletico madrid
Total,"24,69",356.0,11.13,2014,atletico madrid
Gardien,"26,50",30.0,15.0,2015,atletico madrid
Défense,"24,27",115.5,10.5,2015,atletico madrid
Milieu de terrain,"25,13",121.0,15.13,2015,atletico madrid
Attaquant,"23,56",152.0,16.89,2015,atletico madrid
Total,"24,43",418.5,13.95,2015,atletico madrid
Gardien,"23,60",44.0,8.8,2016,atletico madrid
Défense,"23,53",178.8,11.92,2016,atletico madrid
Milieu de terrain,"24,42",140.5,11.71,2016,atletico madrid
Attaquant,"22,00",193.5,12.9,2016,atletico madrid
