Position,Valeur maximum,Years,Crew
Gardien,15.0,2014,fc-barcelona
Défense,35.0,2014,fc-barcelona
Milieu,35.0,2014,fc-barcelona
Attaquant,120.0,2014,fc-barcelona
Total,120.0,2014,fc-barcelona
Gardien,15.0,2015,fc-barcelona
Défense,40.0,2015,fc-barcelona
Milieu,60.0,2015,fc-barcelona
Attaquant,120.0,2015,fc-barcelona
Total,120.0,2015,fc-barcelona
Gardien,25.0,2016,fc-barcelona
Défense,40.0,2016,fc-barcelona
Milieu,60.0,2016,fc-barcelona
Attaquant,120.0,2016,fc-barcelona
Total,120.0,2016,fc-barcelona
Gardien,60.0,2017,fc-barcelona
Défense,60.0,2017,fc-barcelona
Milieu,100.0,2017,fc-barcelona
Attaquant,180.0,2017,fc-barcelona
Total,180.0,2017,fc-barcelona
Gardien,90.0,2018,fc-barcelona
Défense,60.0,2018,fc-barcelona
Milieu,90.0,2018,fc-barcelona
Attaquant,150.0,2018,fc-barcelona
Total,150.0,2018,fc-barcelona
Gardien,72.0,2019,fc-barcelona
Défense,48.0,2019,fc-barcelona
Milieu,72.0,2019,fc-barcelona
Attaquant,112.0,2019,fc-barcelona
Total,112.0,2019,fc-barcelona
Gardien,60.0,2020,fc-barcelona
Défense,30.0,2020,fc-barcelona
Milieu,90.0,2020,fc-barcelona
Attaquant,80.0,2020,fc-barcelona
Total,90.0,2020,fc-barcelona
Gardien,8.0,2014,real-madrid
Défense,45.0,2014,real-madrid
Milieu,60.0,2014,real-madrid
Attaquant,120.0,2014,real-madrid
Total,120.0,2014,real-madrid
Gardien,18.0,2015,real-madrid
Défense,40.0,2015,real-madrid
Milieu,70.0,2015,real-madrid
Attaquant,110.0,2015,real-madrid
Total,110.0,2015,real-madrid
Gardien,18.0,2016,real-madrid
Défense,40.0,2016,real-madrid
Milieu,70.0,2016,real-madrid
Attaquant,100.0,2016,real-madrid
Total,100.0,2016,real-madrid
Gardien,18.0,2017,real-madrid
Défense,70.0,2017,real-madrid
Milieu,80.0,2017,real-madrid
Attaquant,100.0,2017,real-madrid
Total,100.0,2017,real-madrid
Gardien,55.0,2018,real-madrid
Défense,70.0,2018,real-madrid
Milieu,60.0,2018,real-madrid
Attaquant,70.0,2018,real-madrid
Total,70.0,2018,real-madrid
Gardien,48.0,2019,real-madrid
Défense,64.0,2019,real-madrid
Milieu,64.0,2019,real-madrid
Attaquant,80.0,2019,real-madrid
Total,80.0,2019,real-madrid
Gardien,60.0,2020,real-madrid
Défense,70.0,2020,real-madrid
Milieu,70.0,2020,real-madrid
Attaquant,40.0,2020,real-madrid
Total,70.0,2020,real-madrid
Gardien,8.0,2014,atletico-madrid
Défense,30.0,2014,atletico-madrid
Milieu,50.0,2014,atletico-madrid
Attaquant,35.0,2014,atletico-madrid
Total,50.0,2014,atletico-madrid
Gardien,25.0,2015,atletico-madrid
Défense,35.0,2015,atletico-madrid
Milieu,60.0,2015,atletico-madrid
Attaquant,25.0,2015,atletico-madrid
Total,70.0,2015,atletico-madrid
Gardien,40.0,2016,atletico-madrid
Défense,38.0,2016,atletico-madrid
Milieu,60.0,2016,atletico-madrid
Attaquant,40.0,2016,atletico-madrid
Total,80.0,2016,atletico-madrid
Gardien,70.0,2017,atletico-madrid
Défense,45.0,2017,atletico-madrid
Milieu,70.0,2017,atletico-madrid
Attaquant,60.0,2017,atletico-madrid
Total,100.0,2017,atletico-madrid
Gardien,100.0,2018,atletico-madrid
Défense,70.0,2018,atletico-madrid
Milieu,90.0,2018,atletico-madrid
Attaquant,50.0,2018,atletico-madrid
Total,130.0,2018,atletico-madrid
Gardien,80.0,2019,atletico-madrid
Défense,56.0,2019,atletico-madrid
Milieu,72.0,2019,atletico-madrid
Attaquant,36.0,2019,atletico-madrid
Total,81.0,2019,atletico-madrid
Gardien,70.0,2020,atletico-madrid
Défense,60.0,2020,atletico-madrid
