name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 L. Messi,MOC,FC Barcelone,"5'7""",88,96,431,442,469,66,54,2014
 Cristiano Ronaldo,BU,Real Madrid,"6'1""",94,91,428,424,443,76,58,2014
 Iniesta,MOC,FC Barcelone,"5'7""",75,76,381,419,410,170,45,2014
 Xavi,MOC,FC Barcelone,"5'7""",65,67,371,437,395,177,46,2014
 G. Bale,MD,Real Madrid,"6'0""",94,92,401,424,412,213,52,2014
 Piqué,DC,FC Barcelone,"6'4""",63,60,333,310,306,266,58,2014
 Cesc Fàbregas,MOC,FC Barcelone,"5'10""",68,67,408,420,360,190,54,2014
 Casillas,G,Real Madrid,"6'1""",63,65,121,123,317,75,407,2014
 Sergio Ramos,DC,Real Madrid,"6'0""",79,81,350,353,386,257,46,2014
 L. Modrić,MC,Real Madrid,"5'9""",74,79,369,423,424,185,52,2014
 A. Di María,MD,Real Madrid,"5'11""",90,90,374,407,427,165,51,2014
 A. Turan,MG,Atlético Madrid,"5'10""",73,81,391,404,406,185,52,2014
 Sergio Busquets,MDC,FC Barcelone,"6'2""",54,59,321,371,313,243,48,2014
 Neymar,AG,FC Barcelone,"5'9""",89,91,374,412,442,78,59,2014
 K. Benzema,BU,Real Madrid,"6'0""",84,83,402,367,400,75,41,2014
 Xabi Alonso,MDC,Real Madrid,"6'0""",55,55,374,407,314,226,45,2014
 T. Courtois,G,Atlético Madrid,"6'6""",52,46,132,129,283,75,412,2014
 Diego Costa,BU,Atlético Madrid,"6'2""",85,76,379,330,371,101,55,2014
 Dani Alves,DLD,FC Barcelone,"5'8""",92,87,359,396,438,237,38,2014
 J. Mascherano,DC,FC Barcelone,"5'9""",68,69,317,328,372,260,34,2014
 Pedro,AG,FC Barcelone,"5'7""",83,86,369,384,423,93,52,2014
 S. Khedira,MDC,Real Madrid,"6'2""",61,56,360,337,311,242,48,2014
 Diego López,G,Real Madrid,"6'5""",52,34,128,121,257,75,415,2014
 Isco,MOC,Real Madrid,"5'9""",74,78,359,418,401,74,51,2014
 David Villa,AT,Atlético Madrid,"5'9""",78,75,395,392,390,88,46,2014
 Diego,MOC,Atlético Madrid,"5'8""",74,77,372,427,407,116,45,2014
 Victor Valdés,G,FC Barcelone,"6'0""",55,60,127,138,301,75,410,2014
 A. Song,MDC,FC Barcelone,"6'1""",75,68,336,333,359,236,58,2014
 Pepe,DC,Real Madrid,"6'2""",77,69,262,266,344,260,47,2014
 Marcelo,DLG,Real Madrid,"5'9""",83,81,347,392,412,243,36,2014
 D. Godín,DC,Atlético Madrid,"6'1""",68,64,301,288,332,252,49,2014
 Filipe Luís,DG,Atlético Madrid,"6'0""",85,81,342,388,382,248,49,2014
 Koke,MD,Atlético Madrid,"5'10""",74,77,356,407,390,149,54,2014
 Jordi Alba,DLG,FC Barcelone,"5'7""",92,93,346,373,447,239,60,2014
 A. Sánchez,AD,FC Barcelone,"5'7""",86,89,366,383,433,108,60,2014
 C. Vela,AD,Real Sociedad,"5'10""",85,88,376,379,417,72,53,2014
 A. Griezmann,AG,Real Sociedad,"5'9""",85,85,387,396,408,70,63,2014
 Miranda,DC,Atlético Madrid,"6'1""",77,74,289,260,351,250,53,2014
 Gabi,MC,Atlético Madrid,"5'11""",68,69,334,398,371,225,43,2014
 R. Varane,DC,Real Madrid,"6'3""",76,65,276,303,317,251,50,2014
 C. Bravo,G,Real Sociedad,"6'1""",54,55,145,132,319,75,409,2014
 Diego Alves,G,Valence CF,"6'2""",55,55,142,136,314,75,399,2014
 S. Feghouli,MD,Valence CF,"5'10""",82,87,347,368,416,110,48,2014
 Jonas,MOC,Valence CF,"5'11""",77,75,349,384,376,78,43,2014
 I. Rakitić,MOC,Séville FC,"6'0""",70,67,381,424,352,157,51,2014
 Tiago,MC,Atlético Madrid,"6'0""",64,62,345,383,323,201,48,2014
 C. Rodríguez,MG,Atlético Madrid,"5'10""",80,79,360,393,384,143,58,2014
 Illarramendi,MC,Real Madrid,"5'10""",66,69,323,401,359,212,54,2014
 Iñigo Martínez,DC,Real Sociedad,"5'11""",76,78,243,294,358,251,58,2014
 Xabi Prieto,MD,Real Sociedad,"6'1""",68,63,377,409,343,74,42,2014
 Bruno,MDC,Villarreal CF,"6'0""",64,61,307,344,334,238,46,2014
 G. dos Santos,BU,Villarreal CF,"5'9""",84,87,365,393,428,69,38,2014
 Juanfran,DLD,Atlético Madrid,"5'11""",86,81,314,364,391,234,57,2014
 Raúl García,MD,Atlético Madrid,"6'0""",70,66,364,382,338,176,70,2014
 Cristian Tello,AD,FC Barcelone,"5'10""",89,89,329,358,411,71,51,2014
 Fábio Coentrão,DG,Real Madrid,"5'10""",80,83,347,366,396,228,60,2014
