Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years
1,Barcelona,38,30,4,4,110,21,94,102.98,28.44,94.08,2014
2,Real Madrid,38,30,2,6,118,38,92,95.77,42.61,81.75,2014
3,Atletico Madrid,38,23,9,6,67,29,78,57.05,29.07,73.14,2014
4,Valencia,38,22,11,5,70,32,77,55.06,39.39,63.71,2014
5,Sevilla,38,23,7,8,71,45,76,69.53,47.86,67.39,2014
6,Villarreal,38,16,12,10,48,37,60,56.77,40.7,62.74,2014
7,Athletic Club,38,15,10,13,42,41,55,45.54,44.11,53.36,2014
8,Celta Vigo,38,13,12,13,47,44,51,58.89,51.78,55.05,2014
9,Malaga,38,14,8,16,42,48,50,46.22,54.13,48.51,2014
10,Espanyol,38,13,10,15,47,51,49,43.98,48.3,50.38,2014
11,Rayo Vallecano,38,15,4,19,46,68,49,47.79,70.43,43.55,2014
12,Real Sociedad,38,11,13,14,44,51,46,33.49,51.16,38.78,2014
13,Elche,38,11,8,19,35,62,41,39.61,58.07,40.67,2014
14,Getafe,38,10,7,21,33,64,37,33.97,53.67,40.1,2014
15,Levante,38,9,10,19,34,67,37,35.3,60.27,37.6,2014
16,Eibar,38,9,8,21,34,55,35,29.56,53.72,35.65,2014
17,Deportivo La Coruna,38,7,14,17,35,60,35,37.87,50.98,43.52,2014
18,Granada,38,7,14,17,29,64,35,37.39,54.28,45.73,2014
19,Almeria,38,8,8,22,35,64,32,38.67,58.87,39.33,2014
20,Cordoba,38,3,11,24,22,68,20,29.76,57.34,36.29,2014
1,Barcelona,38,29,4,5,112,29,91,113.6,34.03,94.38,2015
2,Real Madrid,38,28,6,4,110,34,90,90.45,45.23,79.09,2015
3,Atletico Madrid,38,28,4,6,63,18,88,54.93,27.8,72.28,2015
4,Villarreal,38,18,10,10,44,35,64,40.49,41.63,52.11,2015
5,Athletic Club,38,18,8,12,58,45,62,53.9,45.33,58.24,2015
6,Celta Vigo,38,17,9,12,51,59,60,50.2,51.98,53.08,2015
7,Sevilla,38,14,10,14,51,50,52,62.97,46.09,63.64,2015
8,Malaga,38,12,12,14,38,35,48,45.75,45.25,53.08,2015
9,Real Sociedad,38,13,9,16,45,48,48,47.95,48.04,52.75,2015
10,Real Betis,38,11,12,15,34,52,45,40.11,64.39,40.49,2015
11,Valencia,38,11,11,16,46,48,44,50.51,61.69,46.73,2015
12,Las Palmas,38,12,8,18,45,53,44,38.68,59.24,41.18,2015
13,Eibar,38,11,10,17,49,61,43,52.92,50.58,54.03,2015
14,Espanyol,38,12,7,19,40,74,43,46.09,60.84,43.15,2015
15,Deportivo La Coruna,38,8,18,12,45,61,42,43.75,52.37,46.08,2015
16,Sporting Gijon,38,10,9,19,40,62,39,42.57,60.62,40.61,2015
17,Granada,38,10,9,19,46,69,39,41.35,62.37,38.5,2015
18,Rayo Vallecano,38,9,11,18,52,73,38,52.26,65.09,45.78,2015
19,Getafe,38,9,9,20,37,67,36,41.77,63.35,40.88,2015
20,Levante,38,8,8,22,37,70,32,39.22,63.55,37.33,2015
1,Real Madrid,38,29,6,3,106,41,93,90.87,36.86,86.17,2016
2,Barcelona,38,28,6,4,116,37,90,93.55,31.32,87.95,2016
3,Atletico Madrid,38,23,9,6,70,27,78,60.66,31.34,69.1,2016
4,Sevilla,38,21,9,8,69,49,72,59.09,38.7,66.18,2016
5,Villarreal,38,19,10,9,56,33,67,52.23,43.16,59.57,2016
6,Real Sociedad,38,19,7,12,59,53,64,45.58,43.71,54.94,2016
7,Athletic Club,38,19,6,13,53,43,63,51.08,40.46,60.54,2016
8,Espanyol,38,15,11,12,49,50,56,32.55,38.35,46.92,2016
9,Alaves,38,14,13,11,41,43,55,42.6,43.97,52.79,2016
10,Eibar,38,15,9,14,56,51,54,42.98,45.17,50.05,2016
11,Malaga,38,12,10,16,49,55,46,40.37,47.35,45.75,2016
12,Valencia,38,13,7,18,56,65,46,50.34,50.96,53.39,2016
13,Celta Vigo,38,13,6,19,53,69,45,40.48,55.98,42.63,2016
14,Las Palmas,38,10,9,19,53,74,39,40.8,58.39,42.11,2016
15,Real Betis,38,10,9,19,41,64,39,35.72,48.27,44.56,2016
16,Deportivo La Coruna,38,8,12,18,43,61,36,41.0,48.6,51.16,2016
17,Leganes,38,8,11,19,36,55,35,33.19,46.39,40.95,2016
18,Sporting Gijon,38,7,10,21,42,72,31,36.35,64.43,33.86,2016
