Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years,xG coef,xGA coef,xPTS coef
1,Barcelona,38,30,4,4,110,21,94,102.98,28.44,94.08,2014,1.078,0.75,1.0
2,Real Madrid,38,30,2,6,118,38,92,95.77,42.61,81.75,2014,1.242,0.905,1.136
3,Atletico Madrid,38,23,9,6,67,29,78,57.05,29.07,73.14,2014,1.175,1.0,1.068
4,Valencia,38,22,11,5,70,32,77,55.06,39.39,63.71,2014,1.273,0.821,1.222
5,Sevilla,38,23,7,8,71,45,76,69.53,47.86,67.39,2014,1.029,0.957,1.134
6,Villarreal,38,16,12,10,48,37,60,56.77,40.7,62.74,2014,0.857,0.925,0.968
7,Athletic Club,38,15,10,13,42,41,55,45.54,44.11,53.36,2014,0.933,0.932,1.038
8,Celta Vigo,38,13,12,13,47,44,51,58.89,51.78,55.05,2014,0.81,0.863,0.927
9,Malaga,38,14,8,16,42,48,50,46.22,54.13,48.51,2014,0.913,0.889,1.042
10,Espanyol,38,13,10,15,47,51,49,43.98,48.3,50.38,2014,1.093,1.062,0.98
11,Rayo Vallecano,38,15,4,19,46,68,49,47.79,70.43,43.55,2014,0.979,0.971,1.14
12,Real Sociedad,38,11,13,14,44,51,46,33.49,51.16,38.78,2014,1.333,1.0,1.211
13,Elche,38,11,8,19,35,62,41,39.61,58.07,40.67,2014,0.897,1.069,1.025
14,Getafe,38,10,7,21,33,64,37,33.97,53.67,40.1,2014,1.0,1.208,0.925
15,Levante,38,9,10,19,34,67,37,35.3,60.27,37.6,2014,0.971,1.117,1.0
16,Eibar,38,9,8,21,34,55,35,29.56,53.72,35.65,2014,1.172,1.038,1.0
17,Deportivo La Coruna,38,7,14,17,35,60,35,37.87,50.98,43.52,2014,0.946,1.2,0.814
18,Granada,38,7,14,17,29,64,35,37.39,54.28,45.73,2014,0.784,1.185,0.778
19,Almeria,38,8,8,22,35,64,32,38.67,58.87,39.33,2014,0.921,1.103,0.821
20,Cordoba,38,3,11,24,22,68,20,29.76,57.34,36.29,2014,0.759,1.193,0.556
1,Barcelona,38,29,4,5,112,29,91,113.6,34.03,94.38,2015,0.991,0.853,0.968
2,Real Madrid,38,28,6,4,110,34,90,90.45,45.23,79.09,2015,1.222,0.756,1.139
3,Atletico Madrid,38,28,4,6,63,18,88,54.93,27.8,72.28,2015,1.167,0.667,1.222
4,Villarreal,38,18,10,10,44,35,64,40.49,41.63,52.11,2015,1.1,0.854,1.231
