Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
2,Real Madrid,2014,92,0.789,118,38,95.77,42.61,796,299.0,121.125,1.0777878571428572,1.1705585714285716
2,Real Madrid,2015,90,0.737,110,34,90.45,45.23,714,252.2,116.125,1.0634588235294118,1.077664375
1,Real Madrid,2016,93,0.763,106,41,90.87,36.86,820,286.4,145.0,1.0605,1.06463125
3,Real Madrid,2017,76,0.579,94,44,91.29,45.1,955,299.9,207.062,1.0597088235294116,1.0913326666666665
3,Real Madrid,2018,68,0.553,63,46,68.65,48.68,1030,282.1,197.562,1.0595768749999999,1.0733178571428572
1,Real Madrid,2019,87,0.684,70,25,72.16,33.15,913,290.2,170.875,1.0674668750000003,1.0710486666666668
2,Real Madrid,2020,84,0.658,67,28,65.07,38.7,783,217.9,168.688,1.0721053333333335,1.0709312500000001
11,Rayo Vallecano,2014,49,0.395,46,68,47.79,70.43,51,20.2,10.125,1.0015853333333333,0.9576733333333334
18,Rayo Vallecano,2015,38,0.237,52,73,52.26,65.09,49,12.3,9.562,0.9672088888888888,0.9711725000000001
12,Real Sociedad,2014,46,0.289,44,51,33.49,51.16,96,27.9,20.062,1.004094,0.9889358823529408
9,Real Sociedad,2015,48,0.342,45,48,47.95,48.04,119,32.9,24.688,1.0041546666666668,0.9580217647058824
6,Real Sociedad,2016,64,0.5,59,53,45.58,43.71,158,51.3,35.062,1.0069774999999999,0.9910392857142857
11,Real Sociedad,2017,49,0.368,66,59,56.35,51.13,233,76.6,60.75,0.9982117647058824,0.9726107142857143
9,Real Sociedad,2018,50,0.342,45,46,47.99,48.09,300,103.6,59.75,1.0143735714285715,0.9555337500000001
6,Real Sociedad,2019,56,0.421,56,48,50.92,41.89,347,120.5,51.188,1.0142346666666666,0.9534005882352943
5,Real Sociedad,2020,62,0.447,59,38,63.15,38.8,405,161.6,61.5,1.0078150000000001,0.9668575000000001
