Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
1,Barcelona,2014,94,0.789,110,21,102.98,28.44,603,255.1,90.438,1.080319090909091,1.1207124999999998
1,Barcelona,2015,91,0.763,112,29,113.6,34.03,726,322.1,91.188,1.0888584615384613,1.1525344444444443
2,Barcelona,2016,90,0.737,116,37,93.55,31.32,772,317.3,104.188,1.05679,1.0467758823529412
1,Barcelona,2017,93,0.737,99,29,90.49,41.62,1100,336.2,184.875,1.028201176470588,1.0543453333333335
1,Barcelona,2018,87,0.684,90,36,83.28,44.93,1200,358.3,206.938,1.0680899999999998,1.0976866666666667
2,Barcelona,2019,82,0.658,86,38,72.01,37.82,931,312.3,163.312,1.043755,1.0939928571428572
3,Barcelona,2020,79,0.632,85,38,83.96,40.93,817,263.1,118.812,1.0448276470588238,1.0708408333333332
2,Real Madrid,2014,92,0.789,118,38,95.77,42.61,796,299.0,121.125,1.0777878571428572,1.1705585714285716
2,Real Madrid,2015,90,0.737,110,34,90.45,45.23,714,252.2,116.125,1.0634588235294118,1.077664375
1,Real Madrid,2016,93,0.763,106,41,90.87,36.86,820,286.4,145.0,1.0605,1.06463125
3,Real Madrid,2017,76,0.579,94,44,91.29,45.1,955,299.9,207.062,1.0597088235294116,1.0913326666666665
3,Real Madrid,2018,68,0.553,63,46,68.65,48.68,1030,282.1,197.562,1.0595768749999999,1.0733178571428572
1,Real Madrid,2019,87,0.684,70,25,72.16,33.15,913,290.2,170.875,1.0674668750000003,1.0710486666666668
2,Real Madrid,2020,84,0.658,67,28,65.07,38.7,783,217.9,168.688,1.0721053333333335,1.0709312500000001
3,Atletico Madrid,2014,78,0.605,67,29,57.05,29.07,356,123.3,74.938,1.0579053333333335,1.0227492307692307
3,Atletico Madrid,2015,88,0.737,63,18,54.93,27.8,418,133.7,83.188,1.0567833333333334,1.0563466666666665
3,Atletico Madrid,2016,78,0.605,70,27,60.66,31.34,556,168.4,125.5,1.0351731249999998,1.0567941666666667
2,Atletico Madrid,2017,79,0.605,58,22,50.29,35.48,711,229.1,140.938,1.043842,1.025603125
2,Atletico Madrid,2018,76,0.579,55,29,51.87,41.43,1000,282.1,191.188,1.0289787499999998,0.9949384615384614
3,Atletico Madrid,2019,70,0.474,51,27,58.7,31.52,721,188.1,157.438,1.041328823529412,1.0245192857142855
