Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
1,Barcelona,2014,94,0.789,110,21,102.98,28.44,603,255.1,90.438
1,Barcelona,2015,91,0.763,112,29,113.6,34.03,726,322.1,91.188
2,Barcelona,2016,90,0.737,116,37,93.55,31.32,772,317.3,104.188
1,Barcelona,2017,93,0.737,99,29,90.49,41.62,1100,336.2,184.875
1,Barcelona,2018,87,0.684,90,36,83.28,44.93,1200,358.3,206.938
2,Barcelona,2019,82,0.658,86,38,72.01,37.82,931,312.3,163.312
3,Barcelona,2020,79,0.632,85,38,83.96,40.93,817,263.1,118.812
2,Real Madrid,2014,92,0.789,118,38,95.77,42.61,796,299.0,121.125
2,Real Madrid,2015,90,0.737,110,34,90.45,45.23,714,252.2,116.125
1,Real Madrid,2016,93,0.763,106,41,90.87,36.86,820,286.4,145.0
3,Real Madrid,2017,76,0.579,94,44,91.29,45.1,955,299.9,207.062
3,Real Madrid,2018,68,0.553,63,46,68.65,48.68,1030,282.1,197.562
1,Real Madrid,2019,87,0.684,70,25,72.16,33.15,913,290.2,170.875
2,Real Madrid,2020,84,0.658,67,28,65.07,38.7,783,217.9,168.688
3,Atletico Madrid,2014,78,0.605,67,29,57.05,29.07,356,123.3,74.938
3,Atletico Madrid,2015,88,0.737,63,18,54.93,27.8,418,133.7,83.188
3,Atletico Madrid,2016,78,0.605,70,27,60.66,31.34,556,168.4,125.5
2,Atletico Madrid,2017,79,0.605,58,22,50.29,35.48,711,229.1,140.938
2,Atletico Madrid,2018,76,0.579,55,29,51.87,41.43,1000,282.1,191.188
3,Atletico Madrid,2019,70,0.474,51,27,58.7,31.52,721,188.1,157.438
1,Atletico Madrid,2020,86,0.684,67,25,57.66,35.67,773,200.1,149.188
4,Valencia,2014,77,0.579,70,32,55.06,39.39,230,75.4,43.375
11,Valencia,2015,44,0.289,46,48,50.51,61.69,254,78.8,55.125
12,Valencia,2016,46,0.342,56,65,50.34,50.96,266,75.1,81.562
4,Valencia,2017,73,0.579,65,38,57.76,47.89,398,119.9,96.062
4,Valencia,2018,61,0.395,51,35,61.88,42.85,513,173.6,104.0
9,Valencia,2019,53,0.368,46,53,45.58,59.07,427,138.7,88.312
13,Valencia,2020,43,0.263,50,53,41.89,55.69,278,82.4,65.5
5,Sevilla,2014,76,0.605,71,45,69.53,47.86,166,55.4,32.125
7,Sevilla,2015,52,0.368,51,50,62.97,46.09,230,66.0,41.75
4,Sevilla,2016,72,0.553,69,49,59.09,38.7,273,90.2,40.375
7,Sevilla,2017,58,0.447,49,58,61.49,54.03,253,79.2,52.125
5,Sevilla,2018,59,0.447,62,47,69.16,46.71,308,132.0,45.0
4,Sevilla,2019,70,0.5,54,34,55.16,36.62,294,97.8,65.125
4,Sevilla,2020,77,0.632,53,33,55.86,34.33,418,148.7,94.562
6,Villarreal,2014,60,0.421,48,37,56.77,40.7,132,46.7,28.312
4,Villarreal,2015,64,0.474,44,35,40.49,41.63,140,42.0,30.625
5,Villarreal,2016,67,0.5,56,33,52.23,43.16,196,57.1,46.812
