id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
3277,Alexandre Lacazette,33,2860,27,18.598,6,6.0635,96,53,6,0,F M,Lyon,19,11.7571,19.6221,6.38,2014
4747,André-Pierre Gignac,38,3118,21,16.7007,2,2.2815,124,22,3,0,F M S,Marseille,19,14.4204,17.8783,2.918,2014
1741,Zlatan Ibrahimovic,24,2002,19,18.9457,6,7.0774,87,37,3,0,F S,Paris Saint Germain,11,12.1049,21.2943,7.1699,2014
3294,Edinson Cavani,35,2666,18,22.8603,1,1.743,111,14,2,1,F S,Paris Saint Germain,15,20.58,25.0875,5.9134,2014
464,Max Gradel,31,2186,17,14.4114,3,5.4818,102,46,6,0,F M S,Saint-Etienne,13,10.6109,14.2917,2.2795,2014
2502,Claudio Beauvue,36,2996,17,12.1727,3,3.9643,83,30,1,0,F M S,Guingamp,11,7.6121,11.9709,2.3652,2014
3261,Diego Rolan,36,2493,15,12.557,3,3.5689,74,32,2,0,F M S,Bordeaux,12,10.2768,14.7742,3.7812,2014
3210,Wissam Ben Yedder,36,2890,14,11.5973,3,5.4085,82,55,1,0,F M S,Toulouse,12,9.317,15.2369,4.5223,2014
3667,Nabil Fekir,34,2796,13,10.6338,9,6.0425,88,48,7,0,F M,Lyon,13,9.8737,14.7809,3.1096,2014
672,Jordan Ayew,31,2616,12,11.8715,5,3.256,112,35,8,0,F S,Lorient,9,9.5912,12.665,3.3442,2014
4694,Lucas Barrios,31,2313,11,9.5336,3,3.2381,46,23,0,0,F S,Montpellier,9,6.4932,12.3496,3.3975,2014
4708,Christophe Mandanne,31,2080,11,9.0701,2,1.7848,53,16,2,0,F S,Guingamp,10,8.31,10.5663,1.2131,2014
4753,Carlos Eduardo,30,2349,10,10.0403,4,3.9969,77,25,2,1,F M S,Nice,10,10.0403,12.1628,2.6582,2014
4787,Mathieu Duhamel,30,2232,10,10.7523,0,0.6218,73,14,1,0,F M S,"Caen,Evian Thonon Gaillard",8,9.2322,9.3785,0.7434,2014
553,Anthony Martial,35,1819,9,10.8447,3,2.3955,51,12,1,0,F M S,Monaco,8,9.3245,12.9419,2.1137,2014
713,André Ayew,28,2394,9,9.592,3,3.1953,52,22,6,0,D F M S,Marseille,9,9.592,14.1564,6.7377,2014
734,Wahbi Khazri,32,2395,9,7.4655,5,4.7791,76,48,8,0,F M S,Bordeaux,7,5.9454,11.0043,4.2991,2014
1029,Modibo Maiga,25,1760,9,5.8022,0,1.5841,47,25,5,0,F M S,Metz,7,4.282,6.0745,1.0943,2014
1451,Anthony Mounier,36,3123,9,6.8692,6,9.8501,53,60,1,0,F M,Montpellier,8,6.1091,17.3915,5.0285,2014
3230,Paul-Georges Ntep,35,2708,9,6.9586,5,6.9425,63,50,5,0,F M S,Rennes,9,6.1985,14.9795,5.3006,2014
3512,Nolan Roux,33,2387,9,7.1575,3,3.4913,68,24,2,0,F S,Lille,8,6.3974,11.3057,2.7171,2014
3635,Bernardo Silva,32,2290,9,6.3191,3,5.6038,34,46,1,0,F M S,Monaco,9,6.3191,15.7522,6.2647,2014
104,Mevlüt Erdinc,26,1610,8,6.4268,1,0.6168,40,8,1,0,F S,Saint-Etienne,7,4.9066,6.2257,1.8275,2014
484,Divock Origi,33,2149,8,9.9016,3,3.5015,52,23,0,0,F M S,Lille,6,6.8613,10.6623,2.2299,2014
2284,Daniel Wass,32,2472,8,5.0425,5,4.158,48,37,2,1,D F M S,Evian Thonon Gaillard,7,3.5223,7.4503,3.946,2014
3361,Éric Bautheac,35,2588,8,7.6357,5,4.1738,59,44,11,0,F M S,Nice,5,5.3554,11.3163,4.8611,2014
3570,Benjamin Moukandjo,31,1887,8,5.9986,1,3.0666,47,35,3,0,F M S,Reims,7,5.2385,7.1308,1.8881,2014
3577,Cheick Diabaté,15,1085,8,7.31,2,0.5199,36,11,0,1,F S,Bordeaux,6,5.7898,6.2163,1.2125,2014
3643,Ezequiel Lavezzi,30,1625,8,7.5596,2,4.9797,34,29,2,0,F S,Paris Saint Germain,8,7.5596,13.7068,3.4954,2014
4770,Yoann Touzghar,29,1901,8,6.7166,1,1.6967,35,13,1,0,F M S,Lens,5,4.4363,7.0051,1.083,2014
536,Dimitri Payet,36,3073,7,4.0813,16,13.1846,67,129,2,0,M S,Marseille,7,4.0813,21.1817,13.8686,2014
677,Jordan Veretout,36,3218,7,5.0437,6,7.1627,52,72,6,0,M,Nantes,3,2.0034,8.0793,5.0749,2014
739,Ola Toivonen,30,2412,7,9.7411,1,2.7062,55,28,1,0,F S,Rennes,6,8.2209,11.0888,2.9581,2014
960,Clinton N&#039;Jie,30,1518,7,8.3752,7,3.3201,48,23,1,0,F M S,Lyon,7,8.3752,14.1622,3.53,2014
1678,Michy Batshuayi,24,889,7,6.1893,0,0.4497,33,9,1,0,F M S,Marseille,7,5.4292,7.0982,1.599,2014
3245,David Ngog,28,1739,7,5.7454,1,1.1881,38,13,3,0,F S,Reims,7,5.7454,5.7499,1.6082,2014
3293,Lucas Moura,29,1903,7,6.7457,5,4.5465,40,41,2,0,F S,Paris Saint Germain,5,5.2255,13.2379,7.1963,2014
3455,Raphael Guerreiro,34,2777,7,3.8841,3,3.6498,53,43,1,0,D M S,Lorient,7,3.8841,10.0758,4.2856,2014
3460,Benjamin Jeannot,31,2238,7,7.4212,3,2.4054,67,30,0,0,D F S,Lorient,6,6.6611,9.0426,2.1828,2014
3532,Herve Bazile,30,1749,7,4.7879,3,2.9531,49,29,4,0,M S,Caen,7,4.7879,8.2794,1.6639,2014
