Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"25,00","20,90","5,23",2014, paris saint germain
Défense,"25,70","113,50","11,35",2014, paris saint germain
Milieu de terrain,"23,30","122,50","12,25",2014, paris saint germain
Attaquant,"23,25","107,00","13,38",2014, paris saint germain
Total,"24,25","363,90","11,37",2014, paris saint germain
Gardien,"29,00","20,25","6,75",2015, paris saint germain
Défense,"23,23","139,80","10,75",2015, paris saint germain
Milieu de terrain,"23,33","115,75","12,86",2015, paris saint germain
Attaquant,"23,60","160,50","16,05",2015, paris saint germain
Total,"23,86","436,30","12,47",2015, paris saint germain
Gardien,"24,25","24,15","6,04",2016, paris saint germain
Défense,"24,09","136,65","12,42",2016, paris saint germain
Milieu de terrain,"24,08","167,40","13,95",2016, paris saint germain
Attaquant,"22,17","190,80","15,90",2016, paris saint germain
Total,"23,51","519,00","13,31",2016, paris saint germain
Gardien,"22,50","23,60","5,90",2017, paris saint germain
Défense,"24,80","151,50","15,15",2017, paris saint germain
Milieu de terrain,"24,42","213,50","17,79",2017, paris saint germain
Attaquant,"23,33","511,50","56,83",2017, paris saint germain
Total,"24,03","900,10","25,72",2017, paris saint germain
Gardien,"26,80","29,95","5,99",2018, paris saint germain
Défense,"23,57","228,75","16,34",2018, paris saint germain
Milieu de terrain,"23,67","228,25","25,36",2018, paris saint germain
Attaquant,"23,27","523,00","47,55",2018, paris saint germain
Total,"23,92",1010.00,"25,90",2018, paris saint germain
Gardien,"24,83","38,05","6,34",2019, paris saint germain
Défense,"22,85","231,50","17,81",2019, paris saint germain
Milieu de terrain,"23,50","125,40","20,90",2019, paris saint germain
Attaquant,"26,10","479,20","47,92",2019, paris saint germain
Total,"24,23","874,15","24,98",2019, paris saint germain
Gardien,"22,50","21,05","2,63",2020, paris saint germain
Défense,"23,80","232,00","23,20",2020, paris saint germain
Milieu de terrain,"22,15","143,45","11,03",2020, paris saint germain
Attaquant,"24,50","408,50","40,85",2020, paris saint germain
Total,"23,20","805,00","19,63",2020, paris saint germain
Gardien,"23,00","10,40","5,20",2014,olympique lyon
Défense,"23,73","29,20","2,65",2014,olympique lyon
Milieu de terrain,"23,15","65,80","5,06",2014,olympique lyon
Attaquant,"23,40","39,25","7,85",2014,olympique lyon
Total,"23,39","144,65","4,67",2014,olympique lyon
Gardien,"23,00","13,55","4,52",2015,olympique lyon
Défense,"26,30","39,50","3,95",2015,olympique lyon
Milieu de terrain,"23,27","75,00","5,00",2015,olympique lyon
Attaquant,"22,40","38,25","7,65",2015,olympique lyon
Total,"24,03","166,30","5,04",2015,olympique lyon
Gardien,"24,00","14,55","4,85",2016,olympique lyon
Défense,"24,18","45,65","4,15",2016,olympique lyon
Milieu de terrain,"22,17","80,35","6,70",2016,olympique lyon
Attaquant,"20,75","70,80","8,85",2016,olympique lyon
Total,"22,65","211,35","6,22",2016,olympique lyon
Gardien,"22,80","21,30","4,26",2017,olympique lyon
Défense,"23,54","75,00","5,77",2017,olympique lyon
Milieu de terrain,"21,40","167,50","16,75",2017,olympique lyon
Attaquant,"19,50","100,00","16,67",2017,olympique lyon
Total,"22,09","363,80","10,70",2017,olympique lyon
Gardien,"24,33","26,50","8,83",2018,olympique lyon
Défense,"25,45","103,25","9,39",2018,olympique lyon
Milieu de terrain,"20,92","206,70","17,23",2018,olympique lyon
Attaquant,"21,00","131,50","16,44",2018,olympique lyon
Total,"22,71","467,95","13,76",2018,olympique lyon
Gardien,"27,00","19,15","6,38",2019,olympique lyon
Défense,"23,79","74,90","5,35",2019,olympique lyon
Milieu de terrain,"20,80","168,50","16,85",2019,olympique lyon
Attaquant,"22,83","122,00","20,33",2019,olympique lyon
Total,"23,00","384,55","11,65",2019,olympique lyon
Gardien,"26,00","16,95","3,39",2020,olympique lyon
Défense,"23,44","108,75","6,80",2020,olympique lyon
Milieu de terrain,"20,91","189,30","17,21",2020,olympique lyon
Attaquant,"24,13","116,40","14,55",2020,olympique lyon
Total,"23,20","431,40","10,79",2020,olympique lyon
Gardien,"24,50","7,30","1,83",2014,as monaco
Défense,"23,56","29,50","3,28",2014,as monaco
Milieu de terrain,"21,70","68,15","6,82",2014,as monaco
Attaquant,"23,45","82,75","7,52",2014,as monaco
Total,"23,09","187,70","5,52",2014,as monaco
Gardien,"23,33","6,65","2,22",2015,as monaco
Défense,"24,30","51,15","5,12",2015,as monaco
Milieu de terrain,"21,15","81,30","6,25",2015,as monaco
Attaquant,"21,69","88,30","6,79",2015,as monaco
Total,"22,31","227,40","5,83",2015,as monaco
Gardien,"27,00","5,55","1,39",2016,as monaco
Défense,"22,31","82,00","5,13",2016,as monaco
Milieu de terrain,"20,62","129,90","9,99",2016,as monaco
Attaquant,"22,21","92,10","6,58",2016,as monaco
Total,"22,21","309,55","6,59",2016,as monaco
Gardien,"26,25","6,40","1,60",2017,as monaco
Défense,"23,18","94,80","8,62",2017,as monaco
Milieu de terrain,"21,27","165,60","15,05",2017,as monaco
Attaquant,"21,75","263,00","21,92",2017,as monaco
Total,"22,50","529,80","13,94",2017,as monaco
Gardien,"24,29","6,08",868 K €,2018,as monaco
Défense,"23,43","92,25","6,59",2018,as monaco
Milieu de terrain,"21,89","139,85","7,36",2018,as monaco
Attaquant,"21,41","147,65","8,69",2018,as monaco
Total,"22,42","385,83","6,77",2018,as monaco
Gardien,"30,00","12,38","3,09",2019,as monaco
Défense,"23,43","85,85","6,13",2019,as monaco
Milieu de terrain,"24,38","91,70","11,46",2019,as monaco
Attaquant,"23,38","141,10","10,85",2019,as monaco
Total,"24,28","331,03","8,49",2019,as monaco
Gardien,"27,00","14,80","4,93",2020,as monaco
Défense,"22,27","112,55","10,23",2020,as monaco
Milieu de terrain,"22,20","118,00","11,80",2020,as monaco
Attaquant,"23,33","125,00","13,89",2020,as monaco
Total,"22,97","370,35","11,22",2020,as monaco
Gardien,"27,67","4,65","1,55",2014,losc lille
Défense,"24,60","25,25","2,53",2014,losc lille
Milieu de terrain,"25,13","18,00","2,25",2014,losc lille
Attaquant,"22,20","34,75","3,48",2014,losc lille
Total,"24,26","82,65","2,67",2014,losc lille
Gardien,"26,25","3,40",850 K €,2015,losc lille
Défense,"25,33","14,75","1,64",2015,losc lille
Milieu de terrain,"25,11","12,55","1,39",2015,losc lille
