Position,Valeur maximum,Years,Crew
Gardien,20.0,2014,fc-paris-saint-germain
Défense,30.0,2014,fc-paris-saint-germain
Milieu,40.0,2014,fc-paris-saint-germain
Attaquant,42.0,2014,fc-paris-saint-germain
Total,42.0,2014,fc-paris-saint-germain
Gardien,12.0,2015,fc-paris-saint-germain
Défense,30.0,2015,fc-paris-saint-germain
Milieu,40.0,2015,fc-paris-saint-germain
Attaquant,60.0,2015,fc-paris-saint-germain
Total,60.0,2015,fc-paris-saint-germain
Gardien,10.0,2016,fc-paris-saint-germain
Défense,35.0,2016,fc-paris-saint-germain
Milieu,45.0,2016,fc-paris-saint-germain
Attaquant,45.0,2016,fc-paris-saint-germain
Total,45.0,2016,fc-paris-saint-germain
Gardien,15.0,2017,fc-paris-saint-germain
Défense,55.0,2017,fc-paris-saint-germain
Milieu,70.0,2017,fc-paris-saint-germain
Attaquant,180.0,2017,fc-paris-saint-germain
Total,180.0,2017,fc-paris-saint-germain
Gardien,17.5,2018,fc-paris-saint-germain
Défense,65.0,2018,fc-paris-saint-germain
Milieu,75.0,2018,fc-paris-saint-germain
Attaquant,200.0,2018,fc-paris-saint-germain
Total,200.0,2018,fc-paris-saint-germain
Gardien,13.0,2019,fc-paris-saint-germain
Défense,52.0,2019,fc-paris-saint-germain
Milieu,60.0,2019,fc-paris-saint-germain
Attaquant,180.0,2019,fc-paris-saint-germain
Total,180.0,2019,fc-paris-saint-germain
Gardien,12.0,2020,fc-paris-saint-germain
Défense,75.0,2020,fc-paris-saint-germain
Milieu,55.0,2020,fc-paris-saint-germain
Attaquant,160.0,2020,fc-paris-saint-germain
Total,160.0,2020,fc-paris-saint-germain
Gardien,10.0,2014,olympique-lyon
Défense,12.0,2014,olympique-lyon
Milieu,16.0,2014,olympique-lyon
Attaquant,30.0,2014,olympique-lyon
Total,30.0,2014,olympique-lyon
Gardien,13.0,2015,olympique-lyon
Défense,15.0,2015,olympique-lyon
Milieu,14.0,2015,olympique-lyon
Attaquant,30.0,2015,olympique-lyon
Total,30.0,2015,olympique-lyon
Gardien,14.0,2016,olympique-lyon
Défense,10.0,2016,olympique-lyon
Milieu,22.0,2016,olympique-lyon
Attaquant,40.0,2016,olympique-lyon
Total,40.0,2016,olympique-lyon
Gardien,20.0,2017,olympique-lyon
Défense,15.0,2017,olympique-lyon
Milieu,60.0,2017,olympique-lyon
Attaquant,45.0,2017,olympique-lyon
Total,60.0,2017,olympique-lyon
Gardien,25.0,2018,olympique-lyon
Défense,30.0,2018,olympique-lyon
Milieu,65.0,2018,olympique-lyon
Attaquant,45.0,2018,olympique-lyon
Total,65.0,2018,olympique-lyon
Gardien,17.5,2019,olympique-lyon
Défense,16.0,2019,olympique-lyon
Milieu,49.5,2019,olympique-lyon
Attaquant,44.0,2019,olympique-lyon
Total,49.5,2019,olympique-lyon
Gardien,14.0,2020,olympique-lyon
Défense,25.0,2020,olympique-lyon
Milieu,42.0,2020,olympique-lyon
Attaquant,45.0,2020,olympique-lyon
Total,45.0,2020,olympique-lyon
Gardien,6.0,2014,as-monaco
Défense,10.0,2014,as-monaco
Milieu,20.0,2014,as-monaco
Attaquant,45.0,2014,as-monaco
Total,45.0,2014,as-monaco
Gardien,5.0,2015,as-monaco
Défense,20.0,2015,as-monaco
Milieu,18.0,2015,as-monaco
Attaquant,32.0,2015,as-monaco
Total,32.0,2015,as-monaco
Gardien,5.0,2016,as-monaco
Défense,18.0,2016,as-monaco
Milieu,40.0,2016,as-monaco
Attaquant,35.0,2016,as-monaco
Total,40.0,2016,as-monaco
Gardien,4.5,2017,as-monaco
Défense,23.0,2017,as-monaco
Milieu,65.0,2017,as-monaco
Attaquant,120.0,2017,as-monaco
Total,120.0,2017,as-monaco
Gardien,2.0,2018,as-monaco
Défense,15.0,2018,as-monaco
Milieu,38.0,2018,as-monaco
Attaquant,28.0,2018,as-monaco
Total,38.0,2018,as-monaco
Gardien,11.0,2019,as-monaco
Défense,18.0,2019,as-monaco
Milieu,25.5,2019,as-monaco
Attaquant,40.0,2019,as-monaco
