name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 Z. Ibrahimović,BU,Paris Saint-Germain,"6'5""",78,72,418,410,362,101,59,2014
 Falcao,BU,AS Monaco,"5'9""",77,80,405,370,407,92,43,2014
 Thiago Silva,DC,Paris Saint-Germain,"6'0""",81,79,319,364,389,270,45,2014
 E. Cavani,BU,Paris Saint-Germain,"6'0""",86,79,402,362,393,96,53,2014
 J. Toulalan,MDC,AS Monaco,"6'0""",56,54,276,343,311,228,45,2014
 S. Sirigu,G,Paris Saint-Germain,"6'4""",51,50,123,128,290,75,410,2014
 João Moutinho,MC,AS Monaco,"5'7""",77,79,381,409,410,210,69,2014
 J. Rodríguez,MOC,AS Monaco,"5'11""",78,81,387,421,386,91,64,2014
 Alex,DC,Paris Saint-Germain,"6'2""",57,52,279,305,272,245,51,2014
 T. Motta,MDC,Paris Saint-Germain,"6'2""",52,48,370,376,278,229,46,2014
 B. Matuidi,MDC,Paris Saint-Germain,"5'9""",79,77,369,350,402,248,48,2014
 E. Lavezzi,AG,Paris Saint-Germain,"5'8""",90,89,360,382,447,95,48,2014
 Lucas,AD,Paris Saint-Germain,"5'8""",91,94,351,385,445,130,54,2014
 D. Berbatov,BU,AS Monaco,"6'2""",68,64,421,389,326,75,53,2014
 S. Mandanda,G,Olympique de Marseille,"6'1""",43,53,131,126,263,75,405,2014
 S. Ruffier,G,AS Saint-Étienne,"6'2""",54,55,133,135,296,75,407,2014
 R. Mavuba,MDC,LOSC,"5'8""",65,68,296,347,368,233,45,2014
 A. Abdennour,DC,AS Monaco,"6'2""",75,76,305,280,367,245,45,2014
 Y. Cabaye,MC,Paris Saint-Germain,"5'9""",71,67,374,401,372,206,54,2014
 C. Carrasso,G,FC Girondins de Bordeaux,"6'2""",42,38,124,119,227,75,401,2014
 M. Valbuena,MD,Olympique de Marseille,"5'6""",79,88,361,394,416,88,48,2014
 V. Enyeama,G,LOSC,"6'0""",48,42,139,172,260,75,400,2014
 S. Kjær,DC,LOSC,"6'3""",62,62,273,255,308,240,54,2014
 M. Baša,DC,LOSC,"6'2""",61,55,287,269,261,243,49,2014
 M. Gonalons,MDC,Olympique Lyonnais,"6'2""",68,65,341,342,343,238,46,2014
 Y. Gourcuff,MOC,Olympique Lyonnais,"6'1""",68,68,372,408,343,155,45,2014
 M. Verratti,MC,Paris Saint-Germain,"5'5""",71,72,327,391,405,221,64,2014
 J. Pastore,MOC,Paris Saint-Germain,"6'2""",68,62,376,397,339,122,51,2014
 N. Nkoulou,DC,Olympique de Marseille,"5'11""",77,78,305,276,381,241,36,2014
 A. Gignac,BU,Olympique de Marseille,"6'1""",76,74,370,358,362,78,61,2014
 L. Perrin,DC,AS Saint-Étienne,"5'11""",70,68,325,317,345,245,50,2014
 D. Cissé,BU,Sporting Club de Bastia,"6'0""",84,83,368,314,398,73,56,2014
 S. Kalou,BU,LOSC,"6'0""",83,82,382,355,389,70,39,2014
 C. Grenier,MOC,Olympique Lyonnais,"6'1""",69,66,373,403,357,121,47,2014
 A. Lacazette,BU,Olympique Lyonnais,"5'9""",87,88,361,332,411,98,37,2014
 B. Gomis,BU,Olympique Lyonnais,"6'0""",73,68,366,312,337,103,51,2014
 R. Cabella,MOC,Montpellier HSC,"5'8""",80,86,346,382,407,194,55,2014
 Marquinhos,DC,Paris Saint-Germain,"6'0""",79,78,259,269,369,251,47,2014
 J. Ménez,AG,Paris Saint-Germain,"5'11""",81,85,354,369,390,93,50,2014
 B. Costil,G,Stade Rennais FC,"6'2""",51,46,134,132,236,75,393,2014
 O. Toivonen,BU,Stade Rennais FC,"6'3""",69,62,379,374,331,109,44,2014
 A. Ayew,MG,Olympique de Marseille,"5'9""",82,79,374,360,405,184,45,2014
 D. Payet,MOC,Olympique de Marseille,"5'9""",83,79,373,396,401,128,61,2014
 K. Agassa,G,Stade de Reims,"6'3""",59,32,125,123,273,75,377,2014
 G. Ochoa,G,AC Ajaccio,"6'1""",50,47,126,134,298,75,387,2014
 R. Hamouma,AD,AS Saint-Étienne,"5'10""",83,85,358,374,403,127,54,2014
 M. Krasić,AD,Sporting Club de Bastia,"6'1""",89,88,376,371,393,148,50,2014
 M. Biševac,DC,Olympique Lyonnais,"6'1""",52,47,276,266,273,232,59,2014
 Ricardo Carvalho,DC,AS Monaco,"5'11""",52,47,300,266,285,224,56,2014
 G. Jourdren,G,Montpellier HSC,"5'11""",51,47,134,133,253,75,387,2014
 Hilton,DC,Montpellier HSC,"5'11""",42,63,305,288,294,230,50,2014
 Maxwell,DLG,Paris Saint-Germain,"5'9""",75,73,353,341,366,228,43,2014
 B. Ecuélé Manga,DC,FC Lorient,"6'1""",64,62,239,207,276,246,52,2014
 F. Thauvin,AG,Olympique de Marseille,"5'10""",81,85,354,357,399,86,47,2014
 G. Krychowiak,DC,Stade de Reims,"6'1""",62,54,293,304,321,229,50,2014
 B. Trémoulinas,MG,AS Saint-Étienne,"5'8""",84,83,329,365,408,226,52,2014
 J. Clément,MDC,AS Saint-Étienne,"5'11""",62,58,316,308,327,239,59,2014
 F. Balmont,MDC,LOSC,"5'6""",67,64,339,366,350,221,49,2014
 I. Gueye,MDC,LOSC,"5'9""",68,74,261,290,370,219,42,2014
 H. Bedimo,DG,Olympique Lyonnais,"5'11""",83,81,322,346,388,226,55,2014
 J. Saihi,MDC,Montpellier HSC,"5'11""",66,52,277,340,325,213,61,2014
 P. Djilobodji,DC,FC Nantes,"6'4""",67,63,198,248,278,230,45,2014
 D. Ospina,G,OGC Nice,"6'0""",34,34,135,137,208,75,384,2014
 D. Digard,MDC,OGC Nice,"6'0""",63,68,288,324,347,224,50,2014
 K. Grosicki,AD,Stade Rennais FC,"5'10""",90,88,360,336,400,78,61,2014
 R. Alessandrini,AG,Stade Rennais FC,"5'8""",91,91,355,361,443,81,52,2014
 J. Aliadiere,BU,FC Lorient,"6'0""",81,79,348,299,378,71,47,2014
 V. Aboubakar,BU,FC Lorient,"6'0""",90,82,330,283,386,72,37,2014
 B. Pedretti,MC,AC Ajaccio,"5'10""",47,51,342,375,308,221,53,2014
 W. Ben Yedder,AD,Toulouse Football Club,"5'7""",80,83,374,372,401,75,37,2014
 Y. Mollo,AG,AS Saint-Étienne,"5'9""",87,87,324,368,414,79,47,2014
 W. Khazri,AD,Sporting Club de Bastia,"6'0""",76,76,329,376,370,83,36,2014
 R. Boudebouz,MG,Sporting Club de Bastia,"5'10""",75,79,332,394,376,85,57,2014
 Henrique,DC,FC Girondins de Bordeaux,"6'2""",52,55,280,224,301,217,52,2014
 L. N'Guemo,MDC,FC Girondins de Bordeaux,"5'8""",71,73,251,327,370,220,50,2014
 G. Sertic,MDC,FC Girondins de Bordeaux,"6'0""",75,69,329,368,351,213,40,2014
 C. Diabaté,BU,FC Girondins de Bordeaux,"6'4""",70,60,340,305,321,70,33,2014
 M. Yatabaré,BU,En Avant de Guingamp,"6'1""",82,72,348,294,358,75,50,2014
 M. Martin,MOC,LOSC,"5'7""",74,68,334,379,382,132,57,2014
 N. Roux,BU,LOSC,"6'0""",76,67,367,335,360,88,44,2014
 A. Lopes,G,Olympique Lyonnais,"6'0""",59,59,132,131,270,75,375,2014
 S. Umtiti,DC,Olympique Lyonnais,"5'11""",74,70,306,286,341,226,61,2014
 J. Briand,BU,Olympique Lyonnais,"5'11""",83,79,366,312,383,126,36,2014
 D. Subašić,G,AS Monaco,"6'3""",54,51,124,190,258,75,376,2014
 G. Kondogbia,MDC,AS Monaco,"6'2""",66,74,288,342,304,213,48,2014
 E. Abidal,DC,AS Monaco,"6'1""",59,48,264,281,295,231,60,2014
 B. Stambouli,MDC,Montpellier HSC,"5'11""",73,78,280,313,368,225,57,2014
