Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years
1,Paris Saint Germain,38,24,11,3,83,36,83,78.42,28.24,84.1,2014
2,Lyon,38,22,9,7,72,33,75,62.85,41.71,65.62,2014
3,Monaco,38,20,11,7,51,26,71,56.61,37.62,64.81,2014
4,Marseille,38,21,6,11,76,42,69,60.63,36.41,66.51,2014
5,Saint-Etienne,38,19,12,7,51,30,69,46.49,38.24,58.7,2014
6,Bordeaux,38,17,12,9,47,44,63,48.21,43.09,55.79,2014
7,Montpellier,38,16,8,14,46,39,56,45.39,42.45,52.76,2014
8,Lille,38,16,8,14,43,42,56,40.92,44.22,50.78,2014
9,Rennes,38,13,11,14,35,42,50,37.44,38.92,49.58,2014
10,Guingamp,38,15,4,19,41,55,49,37.85,45.12,47.48,2014
11,Nice,38,13,9,16,44,53,48,45.19,48.0,50.49,2014
12,SC Bastia,38,12,11,15,37,46,47,30.25,44.64,44.44,2014
13,Caen,38,12,10,16,54,55,46,41.4,59.07,40.98,2014
14,Nantes,38,11,12,15,29,40,45,36.08,39.62,49.13,2014
15,Reims,38,12,8,18,47,66,44,43.45,58.57,43.04,2014
16,Lorient,38,12,7,19,44,50,43,41.04,52.5,43.97,2014
17,Toulouse,38,12,6,20,43,64,42,40.67,45.67,46.42,2014
18,Evian Thonon Gaillard,38,11,4,23,41,62,37,33.9,54.61,38.24,2014
19,Metz,38,7,9,22,31,61,30,37.52,48.69,42.99,2014
20,Lens,38,7,8,23,32,61,29,38.41,55.32,42.36,2014
1,Paris Saint Germain,38,30,6,2,102,19,96,86.2,24.37,90.27,2015
2,Lyon,38,19,8,11,67,43,65,63.01,38.01,68.69,2015
3,Monaco,38,17,14,7,57,50,65,58.13,48.81,59.39,2015
4,Nice,38,18,9,11,58,41,63,45.23,47.71,51.99,2015
5,Lille,38,15,15,8,39,27,60,41.69,35.79,55.97,2015
6,Saint-Etienne,38,17,7,14,42,37,58,45.46,44.66,53.63,2015
7,Caen,38,16,6,16,39,52,54,43.9,49.69,49.48,2015
8,Rennes,38,13,13,12,52,54,52,42.91,47.02,49.63,2015
9,Angers,38,13,11,14,40,38,50,36.58,41.02,46.15,2015
10,SC Bastia,38,14,8,16,36,42,50,29.51,48.36,37.83,2015
11,Bordeaux,38,12,14,12,50,57,50,46.36,48.67,51.48,2015
12,Montpellier,38,14,7,17,49,47,49,43.14,44.33,52.08,2015
13,Marseille,38,10,18,10,48,42,48,48.89,42.67,55.47,2015
14,Nantes,38,12,12,14,33,44,48,36.4,42.44,48.85,2015
15,Lorient,38,11,13,14,47,58,46,42.31,52.31,45.76,2015
16,Guingamp,38,11,11,16,47,56,44,41.35,46.27,48.87,2015
17,Toulouse,38,9,13,16,45,55,40,50.33,39.8,59.16,2015
18,Reims,38,10,9,19,44,57,39,42.87,52.92,46.13,2015
19,GFC Ajaccio,38,8,13,17,37,58,37,32.52,45.26,41.96,2015
20,Troyes,38,3,9,26,28,83,18,36.59,73.28,28.85,2015
1,Monaco,38,30,5,3,107,31,95,76.04,34.89,78.06,2016
2,Paris Saint Germain,38,27,6,5,83,27,87,82.16,24.25,87.22,2016
3,Nice,38,22,12,4,63,36,78,51.54,50.89,53.47,2016
4,Lyon,38,21,4,13,80,48,67,71.13,41.03,69.07,2016
5,Marseille,38,17,11,10,57,41,62,53.83,47.33,56.84,2016
6,Bordeaux,38,15,14,9,53,43,59,52.02,44.11,58.16,2016
7,Nantes,38,14,9,15,40,54,51,42.99,44.62,52.83,2016
8,Saint-Etienne,38,12,14,12,41,42,50,42.92,50.26,49.18,2016
9,Rennes,38,12,14,12,36,42,50,41.81,43.54,50.94,2016
10,Guingamp,38,14,8,16,46,53,50,47.14,52.31,48.49,2016
11,Lille,38,13,7,18,40,47,46,44.08,48.77,47.24,2016
12,Angers,38,13,7,18,40,49,46,46.19,41.02,54.69,2016
13,Toulouse,38,10,14,14,37,41,44,41.19,42.98,50.61,2016
14,Metz,38,11,10,17,39,72,43,34.76,63.68,36.0,2016
15,Montpellier,38,10,9,19,48,66,39,44.2,52.03,47.03,2016
16,Dijon,38,8,13,17,46,58,37,38.59,62.66,36.73,2016
17,Caen,38,10,7,21,36,65,37,45.28,56.47,45.49,2016
18,Lorient,38,10,6,22,44,70,36,44.46,51.88,46.81,2016
19,Nancy,38,9,8,21,29,52,35,32.58,54.45,39.45,2016
20,SC Bastia,38,8,10,20,29,57,34,32.27,58.01,36.84,2016
1,Paris Saint Germain,38,29,6,3,108,29,93,89.92,32.1,84.61,2017
2,Monaco,38,24,8,6,85,45,80,62.41,45.27,65.15,2017
3,Lyon,38,23,9,6,87,43,78,65.27,37.09,70.04,2017
4,Marseille,38,22,11,5,80,47,77,82.2,41.17,77.22,2017
5,Rennes,38,16,10,12,50,44,58,46.97,49.14,52.97,2017
6,Bordeaux,38,16,7,15,53,48,55,52.56,41.38,59.0,2017
7,Saint-Etienne,38,15,10,13,47,50,55,51.03,53.26,51.58,2017
8,Nice,38,15,9,14,53,52,54,47.36,45.9,53.88,2017
9,Nantes,38,14,10,14,36,41,52,39.8,36.26,55.95,2017
10,Montpellier,38,11,18,9,36,33,51,39.81,37.93,52.94,2017
11,Dijon,38,13,9,16,55,73,48,40.03,62.95,38.61,2017
12,Guingamp,38,12,11,15,48,59,47,41.86,50.51,45.97,2017
13,Amiens,38,12,9,17,37,42,45,31.47,51.7,38.94,2017
14,Angers,38,9,14,15,42,52,41,46.15,45.19,52.39,2017
15,Strasbourg,38,9,11,18,44,67,38,43.27,58.33,43.76,2017
16,Caen,38,10,8,20,27,52,38,41.17,47.83,48.04,2017
17,Lille,38,10,8,20,41,67,38,36.13,59.37,35.26,2017
18,Toulouse,38,9,10,19,38,54,37,43.29,54.45,47.2,2017
19,Troyes,38,9,6,23,32,59,33,37.13,52.47,43.55,2017
20,Metz,38,6,8,24,34,76,26,36.4,71.93,31.48,2017
1,Paris Saint Germain,38,29,4,5,105,35,91,95.34,36.78,86.04,2018
2,Lille,38,22,9,7,68,33,75,60.01,39.85,67.02,2018
3,Lyon,38,21,9,8,70,47,72,72.71,44.71,69.49,2018
4,Saint-Etienne,38,19,9,10,59,41,66,57.85,48.81,58.37,2018
5,Marseille,38,18,7,13,60,52,61,52.08,44.59,55.93,2018
6,Montpellier,38,15,14,9,53,42,59,46.62,41.26,56.1,2018
7,Nice,38,15,11,12,30,35,56,43.45,49.73,48.16,2018
8,Reims,38,13,16,9,39,42,55,37.12,42.28,48.22,2018
9,Nimes,38,15,8,15,57,58,53,48.5,55.47,49.9,2018
10,Rennes,38,13,13,12,55,52,52,56.05,46.19,59.93,2018
11,Strasbourg,38,11,16,11,58,48,49,40.59,48.51,46.48,2018
12,Nantes,38,13,9,16,48,48,48,48.04,47.3,54.62,2018
13,Angers,38,10,16,12,44,49,46,47.5,46.31,53.21,2018
14,Bordeaux,38,10,11,17,34,42,41,37.27,52.19,41.37,2018
15,Amiens,38,9,11,18,31,52,38,34.63,46.76,42.34,2018
16,Toulouse,38,8,14,16,35,57,38,42.73,56.42,43.98,2018
17,Monaco,38,8,12,18,38,57,36,46.49,48.76,51.27,2018
18,Dijon,38,9,7,22,31,60,34,36.13,57.61,37.47,2018
19,Caen,38,7,12,19,29,54,33,26.97,61.09,30.24,2018
20,Guingamp,38,5,12,21,28,68,27,39.46,54.94,44.12,2018
1,Paris Saint Germain,27,22,2,3,75,24,68,76.42,22.43,65.68,2019
2,Marseille,28,16,8,4,41,29,56,36.42,32.05,41.73,2019
3,Rennes,28,15,5,8,38,24,50,34.37,28.15,41.18,2019
4,Lille,28,15,4,9,35,27,49,40.81,30.17,47.12,2019
5,Reims,28,10,11,7,26,21,41,28.93,26.47,40.42,2019
6,Nice,28,11,8,9,41,38,41,36.45,42.69,35.62,2019
7,Lyon,28,11,7,10,42,27,40,36.24,24.73,46.34,2019
8,Montpellier,28,11,7,10,35,34,40,34.95,32.26,40.05,2019
9,Monaco,28,11,7,10,44,44,40,48.55,41.06,42.47,2019
10,Angers,28,11,6,11,28,33,39,27.1,28.15,37.49,2019
11,Strasbourg,27,11,5,11,32,32,38,34.56,33.46,37.74,2019
12,Bordeaux,28,9,10,9,40,34,37,30.47,35.2,37.06,2019
13,Nantes,28,11,4,13,28,31,37,27.81,30.26,35.91,2019
14,Brest,28,8,10,10,34,37,34,30.05,44.11,30.64,2019
15,Metz,28,8,10,10,27,35,34,24.65,36.54,29.04,2019
16,Dijon,28,7,9,12,27,37,30,27.38,39.3,31.19,2019
17,Saint-Etienne,28,8,6,14,29,45,30,29.65,37.73,32.68,2019
18,Nimes,28,7,6,15,29,44,27,30.19,40.47,32.69,2019
19,Amiens,28,4,11,13,31,50,23,25.62,38.43,32.84,2019
20,Toulouse,28,3,4,21,22,58,13,31.29,48.28,28.01,2019
1,Lille,38,24,11,3,64,23,83,48.07,25.68,67.61,2020
2,Paris Saint Germain,38,26,4,8,86,28,82,83.89,36.85,78.27,2020
3,Monaco,38,24,6,8,76,42,78,70.35,33.95,75.81,2020
4,Lyon,38,22,10,6,81,43,76,82.37,38.42,78.81,2020
5,Marseille,38,16,12,10,54,47,60,49.29,46.49,55.24,2020
6,Rennes,38,16,10,12,52,40,58,46.75,36.06,58.78,2020
7,Lens,38,15,12,11,55,54,57,56.36,46.41,60.04,2020
8,Montpellier,38,14,12,12,60,62,54,52.27,67.22,44.74,2020
9,Nice,38,15,7,16,50,53,52,46.37,56.18,46.96,2020
10,Metz,38,12,11,15,44,48,47,42.26,48.4,47.96,2020
11,Saint-Etienne,38,12,10,16,42,54,46,47.28,49.15,52.35,2020
12,Bordeaux,38,13,6,19,42,56,45,43.55,54.87,45.11,2020
13,Angers,38,12,8,18,40,58,44,39.92,52.81,42.64,2020
14,Reims,38,9,15,14,42,50,42,33.23,61.79,33.94,2020
15,Strasbourg,38,11,9,18,49,58,42,52.78,50.22,52.85,2020
