Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years,xG coef,xGA coef,xPTS coef
1,Paris Saint Germain,38.0,24.0,11.0,3.0,83.0,36.0,83.0,78.42,28.24,84.1,2014,1.064,1.286,0.988
2,Lyon,38.0,22.0,9.0,7.0,72.0,33.0,75.0,62.85,41.71,65.62,2014,1.161,0.805,1.154
3,Monaco,38.0,20.0,11.0,7.0,51.0,26.0,71.0,56.61,37.62,64.81,2014,0.911,0.703,1.109
4,Marseille,38.0,21.0,6.0,11.0,76.0,42.0,69.0,60.63,36.41,66.51,2014,1.267,1.167,1.045
5,Saint-Etienne,38.0,19.0,12.0,7.0,51.0,30.0,69.0,46.49,38.24,58.7,2014,1.109,0.789,1.19
6,Bordeaux,38.0,17.0,12.0,9.0,47.0,44.0,63.0,48.21,43.09,55.79,2014,0.979,1.023,1.145
7,Montpellier,38.0,16.0,8.0,14.0,46.0,39.0,56.0,45.39,42.45,52.76,2014,1.022,0.929,1.077
8,Lille,38.0,16.0,8.0,14.0,43.0,42.0,56.0,40.92,44.22,50.78,2014,1.075,0.955,1.12
9,Rennes,38.0,13.0,11.0,14.0,35.0,42.0,50.0,37.44,38.92,49.58,2014,0.946,1.105,1.02
10,Guingamp,38.0,15.0,4.0,19.0,41.0,55.0,49.0,37.85,45.12,47.48,2014,1.108,1.222,1.043
11,Nice,38.0,13.0,9.0,16.0,44.0,53.0,48.0,45.19,48.0,50.49,2014,0.978,1.104,0.96
12,SC Bastia,38.0,12.0,11.0,15.0,37.0,46.0,47.0,30.25,44.64,44.44,2014,1.233,1.045,1.068
13,Caen,38.0,12.0,10.0,16.0,54.0,55.0,46.0,41.4,59.07,40.98,2014,1.317,0.932,1.15
14,Nantes,38.0,11.0,12.0,15.0,29.0,40.0,45.0,36.08,39.62,49.13,2014,0.806,1.026,0.918
15,Reims,38.0,12.0,8.0,18.0,47.0,66.0,44.0,43.45,58.57,43.04,2014,1.093,1.138,1.023
16,Lorient,38.0,12.0,7.0,19.0,44.0,50.0,43.0,41.04,52.5,43.97,2014,1.073,0.962,1.0
17,Toulouse,38.0,12.0,6.0,20.0,43.0,64.0,42.0,40.67,45.67,46.42,2014,1.075,1.422,0.913
18,Evian Thonon Gaillard,38.0,11.0,4.0,23.0,41.0,62.0,37.0,33.9,54.61,38.24,2014,1.242,1.148,0.974
19,Metz,38.0,7.0,9.0,22.0,31.0,61.0,30.0,37.52,48.69,42.99,2014,0.838,1.271,0.714
20,Lens,38.0,7.0,8.0,23.0,32.0,61.0,29.0,38.41,55.32,42.36,2014,0.842,1.109,0.69
1,Paris Saint Germain,38.0,30.0,6.0,2.0,102.0,19.0,96.0,86.2,24.37,90.27,2015,1.186,0.792,1.067
2,Lyon,38.0,19.0,8.0,11.0,67.0,43.0,65.0,63.01,38.01,68.69,2015,1.063,1.132,0.956
3,Monaco,38.0,17.0,14.0,7.0,57.0,50.0,65.0,58.13,48.81,59.39,2015,0.983,1.042,1.102
4,Nice,38.0,18.0,9.0,11.0,58.0,41.0,63.0,45.23,47.71,51.99,2015,1.289,0.872,1.235
5,Lille,38.0,15.0,15.0,8.0,39.0,27.0,60.0,41.69,35.79,55.97,2015,0.951,0.771,1.091
6,Saint-Etienne,38.0,17.0,7.0,14.0,42.0,37.0,58.0,45.46,44.66,53.63,2015,0.933,0.841,1.094
7,Caen,38.0,16.0,6.0,16.0,39.0,52.0,54.0,43.9,49.69,49.48,2015,0.907,1.061,1.102
8,Rennes,38.0,13.0,13.0,12.0,52.0,54.0,52.0,42.91,47.02,49.63,2015,1.238,1.149,1.061
9,Angers,38.0,13.0,11.0,14.0,40.0,38.0,50.0,36.58,41.02,46.15,2015,1.111,0.927,1.087
10,SC Bastia,38.0,14.0,8.0,16.0,36.0,42.0,50.0,29.51,48.36,37.83,2015,1.241,0.875,1.351
11,Bordeaux,38.0,12.0,14.0,12.0,50.0,57.0,50.0,46.36,48.67,51.48,2015,1.087,1.188,0.98
12,Montpellier,38.0,14.0,7.0,17.0,49.0,47.0,49.0,43.14,44.33,52.08,2015,1.14,1.068,0.942
13,Marseille,38.0,10.0,18.0,10.0,48.0,42.0,48.0,48.89,42.67,55.47,2015,1.0,1.0,0.873
14,Nantes,38.0,12.0,12.0,14.0,33.0,44.0,48.0,36.4,42.44,48.85,2015,0.917,1.048,1.0
15,Lorient,38.0,11.0,13.0,14.0,47.0,58.0,46.0,42.31,52.31,45.76,2015,1.119,1.115,1.022
16,Guingamp,38.0,11.0,11.0,16.0,47.0,56.0,44.0,41.35,46.27,48.87,2015,1.146,1.217,0.917
17,Toulouse,38.0,9.0,13.0,16.0,45.0,55.0,40.0,50.33,39.8,59.16,2015,0.9,1.41,0.678
18,Reims,38.0,10.0,9.0,19.0,44.0,57.0,39.0,42.87,52.92,46.13,2015,1.048,1.096,0.848
19,GFC Ajaccio,38.0,8.0,13.0,17.0,37.0,58.0,37.0,32.52,45.26,41.96,2015,1.156,1.289,0.902
20,Troyes,38.0,3.0,9.0,26.0,28.0,83.0,18.0,36.59,73.28,28.85,2015,0.778,1.137,0.643
1,Monaco,38.0,30.0,5.0,3.0,107.0,31.0,95.0,76.04,34.89,78.06,2016,1.408,0.912,1.218
2,Paris Saint Germain,38.0,27.0,6.0,5.0,83.0,27.0,87.0,82.16,24.25,87.22,2016,1.012,1.125,1.0
3,Nice,38.0,22.0,12.0,4.0,63.0,36.0,78.0,51.54,50.89,53.47,2016,1.235,0.72,1.472
4,Lyon,38.0,21.0,4.0,13.0,80.0,48.0,67.0,71.13,41.03,69.07,2016,1.127,1.171,0.971
5,Marseille,38.0,17.0,11.0,10.0,57.0,41.0,62.0,53.83,47.33,56.84,2016,1.075,0.872,1.107
6,Bordeaux,38.0,15.0,14.0,9.0,53.0,43.0,59.0,52.02,44.11,58.16,2016,1.019,0.977,1.017
7,Nantes,38.0,14.0,9.0,15.0,40.0,54.0,51.0,42.99,44.62,52.83,2016,0.952,1.227,0.981
8,Saint-Etienne,38.0,12.0,14.0,12.0,41.0,42.0,50.0,42.92,50.26,49.18,2016,0.976,0.84,1.02
9,Rennes,38.0,12.0,14.0,12.0,36.0,42.0,50.0,41.81,43.54,50.94,2016,0.878,0.977,1.0
10,Guingamp,38.0,14.0,8.0,16.0,46.0,53.0,50.0,47.14,52.31,48.49,2016,0.979,1.019,1.042
11,Lille,38.0,13.0,7.0,18.0,40.0,47.0,46.0,44.08,48.77,47.24,2016,0.909,0.979,0.979
12,Angers,38.0,13.0,7.0,18.0,40.0,49.0,46.0,46.19,41.02,54.69,2016,0.87,1.195,0.852
13,Toulouse,38.0,10.0,14.0,14.0,37.0,41.0,44.0,41.19,42.98,50.61,2016,0.902,0.976,0.88
14,Metz,38.0,11.0,10.0,17.0,39.0,72.0,43.0,34.76,63.68,36.0,2016,1.147,1.143,1.194
15,Montpellier,38.0,10.0,9.0,19.0,48.0,66.0,39.0,44.2,52.03,47.03,2016,1.091,1.269,0.83
16,Dijon,38.0,8.0,13.0,17.0,46.0,58.0,37.0,38.59,62.66,36.73,2016,1.211,0.935,1.028
17,Caen,38.0,10.0,7.0,21.0,36.0,65.0,37.0,45.28,56.47,45.49,2016,0.8,1.161,0.822
