Rank,Team,Years,PTS,dif_PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
1,Paris Saint Germain,2014,83,-1.0999999999999943,0.632,83,36,78.42,28.24,363,97.8,80.75,1.0603806666666666,1.0806075000000002
1,Paris Saint Germain,2015,96,5.730000000000004,0.789,102,19,86.2,24.37,436,139.5,96.562,1.0622078571428573,1.0903091666666664
2,Paris Saint Germain,2016,87,-0.2199999999999988,0.711,83,27,82.16,24.25,519,168.7,98.438,1.0614642105263157,1.0365876923076927
1,Paris Saint Germain,2017,93,8.39,0.763,108,29,89.92,32.1,900,430.1,110.562,1.065006,1.058909
1,Paris Saint Germain,2018,91,4.959999999999994,0.763,105,35,95.34,36.78,1010,441.2,160.375,1.0713292857142858,1.0632786666666667
1,Paris Saint Germain,2019,96,3.561000000000007,0.816,105,33,107.554,31.568,874,395.7,156.938,1.067644,1.1086375
2,Paris Saint Germain,2020,82,3.730000000000004,0.684,86,28,83.89,36.85,805,340.7,156.562,1.0821976470588237,1.112145
2,Lyon,2014,75,9.379999999999995,0.579,72,33,62.85,41.71,144,37.7,23.438,1.0275156250000002,1.0360838461538462
2,Lyon,2015,65,-3.6899999999999977,0.5,67,43,63.01,38.01,166,37.9,30.688,1.0567582352941174,1.0446792307692307
4,Lyon,2016,67,-2.069999999999993,0.553,80,48,71.13,41.03,211,64.0,34.875,1.057420625,1.0148185714285716
3,Lyon,2017,78,7.959999999999994,0.605,87,43,65.27,37.09,363,96.7,59.938,1.030464375,1.0440399999999999
3,Lyon,2018,72,2.510000000000005,0.553,70,47,72.71,44.71,467,125.4,80.5,1.0161225,1.074653
7,Lyon,2019,54,-8.89,0.395,57,36,49.183,33.562,384,114.4,59.125,1.0423926666666667,1.0474373333333333
4,Lyon,2020,76,-2.8100000000000023,0.579,81,43,82.37,38.42,431,111.7,81.312,1.04893375,1.0731273333333333
3,Monaco,2014,71,6.189999999999998,0.526,51,26,56.61,37.62,187,72.4,23.25,1.0134917647058823,1.0525457142857142
3,Monaco,2015,65,5.609999999999999,0.447,57,50,58.13,48.81,227,78.5,37.688,1.0272726315789473,1.0407272727272727
1,Monaco,2016,95,16.939999999999998,0.789,107,31,76.04,34.89,309,86.5,59.938,1.0216694444444445,0.9961227272727272
2,Monaco,2017,80,14.849999999999994,0.632,85,45,62.41,45.27,529,226.9,69.812,1.0345558823529413,1.0266176923076924
17,Monaco,2018,36,-15.270000000000003,0.211,38,57,46.49,48.76,385,131.5,66.938,1.0169831249999999,1.0162142857142857
