Team,Value,trend,pourcentage,predict
Paris SG,997.25,11.641493552173614,1.0,True
AS Monaco,350.9,2.4576772394681585,0.6,True
Ol. Lyonnais,348.55,2.4242867105985715,0.447,False
LOSC Lille,272.0,1.3366079935913735,0.216,False
Marseille,262.9,1.2073084988197795,0.205,False
OGC Nice,218.25,0.572888450297619,0.153,False
Rennes,189.65,0.16651860958689602,0.123,False
Saint-Étienne,93.2,-1.2039139476351062,0.025,False
Stade Reims,90.78,-1.2382990880029365,0.024,False
RC Lens,90.2,-1.2465401547026647,0.024,False
Montpellier,88.7,-1.2678532582364437,0.024,False
Stade Brest 29,88.3,-1.2735367525121182,0.024,False
G. Bordeaux,87.7,-1.28206199392563,0.023,False
R. Strasbourg,87.7,-1.28206199392563,0.023,False
FC Nantes,87.45,-1.2856141778479264,0.023,False
FC Metz,85.63,-1.3114740768022453,0.023,False
SCO Angers,66.7,-1.5804454433985384,0.019,False
Troyes,52.95,-1.775815559124848,0.016,False
FC Lorient,48.3,-1.8418861800795634,0.015,False
Clermont Foot,31.25,-2.084145123580187,0.013,False
