id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
619,Sergio Agüero,33,2551,26,25.2702,8,5.5689,148,33,4,0,F S,Manchester City,21,20.7032,27.8052,6.8782,2014
647,Harry Kane,34,2589,21,17.1573,4,3.9225,112,27,4,0,F M S,Tottenham,19,14.8738,16.4884,5.5497,2014
802,Diego Costa,26,2111,20,15.2191,3,4.5547,76,41,8,0,F S,Chelsea,19,14.4579,21.3658,5.277,2014
848,Charlie Austin,35,3078,18,17.8819,5,2.5487,131,23,4,1,F,Queens Park Rangers,15,14.076,13.7183,3.0413,2014
498,Alexis Sánchez,35,2967,16,13.4517,8,8.4942,122,82,4,0,F M S,Arsenal,16,12.6906,27.1576,10.7368,2014
502,Olivier Giroud,27,1871,14,8.8463,3,3.8601,70,29,5,1,F S,Arsenal,14,8.8463,13.6399,4.1292,2014
701,Eden Hazard,38,3389,14,12.0161,9,11.2389,78,100,2,0,M,Chelsea,11,8.9714,31.8406,19.4763,2014
811,Saido Berahino,38,2940,14,13.8418,1,1.9617,86,28,2,0,F M S,West Bromwich Albion,10,10.7971,11.9073,2.4396,2014
606,Christian Benteke,29,2380,13,8.4551,2,2.9213,80,33,1,1,F S,Aston Villa,12,7.6939,8.7254,2.1986,2014
617,David Silva,32,2682,12,9.097,7,10.3884,66,92,8,0,M,Manchester City,12,9.097,29.1443,16.6336,2014
629,Wayne Rooney,33,2887,12,8.9021,5,3.9836,79,45,5,1,F M,Manchester United,11,7.3798,15.4357,7.2957,2014
841,Graziano Pellè,38,3291,12,18.6165,2,4.4816,123,43,6,0,F S,Southampton,12,18.6165,24.7856,5.5982,2014
622,Wilfried Bony,30,1604,11,10.4547,3,3.5083,89,26,3,1,F S,"Manchester City,Swansea",10,9.6936,14.2522,4.4124,2014
648,Nacer Chadli,35,2423,11,6.8655,5,3.9356,54,41,3,0,M S,Tottenham,11,6.8655,15.6424,8.627,2014
756,Leonardo Ulloa,37,2434,11,8.9239,3,3.792,49,36,3,0,F S,Leicester,9,7.4016,9.963,2.5094,2014
850,Papiss Demba Cissé,22,1137,11,8.9571,1,0.3347,45,7,1,0,F S,Newcastle United,10,8.196,7.4447,0.6167,2014
868,Mame Biram Diouf,34,2451,11,11.647,3,3.4661,55,28,7,0,F M S,Stoke,11,11.647,13.5996,0.862,2014
986,Danny Ings,35,3048,11,12.2895,4,4.2443,97,35,6,0,F M,Burnley,10,11.5283,16.5587,2.8257,2014
594,Romelu Lukaku,36,2880,10,12.4308,5,2.3502,105,37,1,0,F S,Everton,8,10.9085,15.7438,5.0789,2014
646,Christian Eriksen,38,3160,10,7.3896,2,6.0888,97,84,4,0,M S,Tottenham,10,7.3896,21.3186,13.0181,2014
656,Diafra Sakho,23,1765,10,9.0704,2,2.6159,66,23,2,0,F M S,West Ham,10,9.0704,9.0836,0.9128,2014
838,Sadio Mané,30,2142,10,8.554,3,3.9825,60,40,5,0,F M S,Southampton,10,8.554,14.5673,4.033,2014
878,Yaya Touré,29,2358,10,7.1093,1,3.2436,89,33,5,0,M S,Manchester City,8,5.587,26.0243,20.9033,2014
4387,Robin van Persie,27,2126,10,11.6035,2,2.9861,76,27,5,0,F S,Manchester United,9,10.0811,12.9175,1.6887,2014
554,Juan Mata,33,2318,9,6.5978,4,4.9686,33,50,2,0,M S,Manchester United,8,5.8366,14.5208,7.0478,2014
4408,Steven Gerrard,28,2239,9,7.1088,1,3.2091,54,52,7,0,F M S,Liverpool,5,3.303,8.1814,5.5866,2014
723,Ki Sung-yueng,33,2692,8,4.3306,1,1.2641,28,26,4,0,M S,Swansea,8,4.3306,11.9601,9.0045,2014
863,Jonathan Walters,32,2439,8,5.5616,4,3.2401,45,24,5,0,F M S,Stoke,8,5.5616,9.5811,2.6692,2014
872,Peter Crouch,33,1648,8,6.7306,2,1.8831,59,15,4,0,F S,Stoke,8,6.7306,9.373,3.592,2014
940,Nikica Jelavic,26,1815,8,4.8948,1,0.8632,57,17,3,0,F S,Hull,8,4.8948,5.7086,1.0868,2014
595,Kevin Mirallas,29,1430,7,4.7185,1,1.5895,52,18,3,0,F M S,Everton,7,3.9573,6.5044,2.2814,2014
618,Raheem Sterling,35,3059,7,8.7859,7,6.0366,84,75,5,0,D F M S,Liverpool,7,8.7859,18.1959,5.5017,2014
690,Loïc Remy,21,839,7,4.6552,0,0.6053,37,6,0,0,F M S,"Chelsea,Queens Park Rangers",7,4.6552,5.6533,1.6454,2014
714,Gylfi Sigurdsson,32,2721,7,5.178,10,8.4513,67,73,2,0,F M,Swansea,7,5.178,15.5487,7.1169,2014
717,Bafétimbi Gomis,31,1619,7,7.4978,0,0.8869,69,13,0,0,F S,Swansea,7,7.4978,7.2545,1.5422,2014
770,Ayoze Pérez,36,2369,7,5.7462,0,2.901,61,28,0,0,F M S,Newcastle United,7,5.7462,9.5675,3.0196,2014
873,Charlie Adam,29,1482,7,3.4078,1,2.6491,62,33,5,0,M S,Stoke,6,2.6466,6.1836,3.741,2014
882,Glenn Murray,17,859,7,9.534,3,1.5268,38,7,3,1,F S,Crystal Palace,6,8.0117,5.4858,0.8191,2014
965,Santiago Cazorla,37,2999,7,10.5907,11,9.7552,93,78,5,0,M S,Arsenal,1,6.0237,24.6578,16.9133,2014
504,Aaron Ramsey,29,2013,6,6.6369,6,5.2997,63,47,6,0,M S,Arsenal,6,6.6369,16.7208,8.1662,2014
514,Jason Puncheon,37,2823,6,2.7943,7,5.3059,65,65,7,1,F M S,Crystal Palace,6,2.7943,8.8556,4.6231,2014
552,Ander Herrera,26,1877,6,2.0372,4,2.12,37,26,6,0,M S,Manchester United,6,2.0372,11.6502,8.672,2014
605,Jordan Henderson,37,3253,6,4.2944,9,6.7936,50,67,6,0,M S,Liverpool,5,3.5333,16.3109,8.7951,2014
630,Marouane Fellaini,27,1824,6,5.3149,0,1.1519,36,21,5,1,M S,Manchester United,6,5.3149,9.2528,4.7039,2014
692,Oscar,28,2072,6,6.5404,8,5.2243,72,37,5,0,F M S,Chelsea,6,6.5404,15.8039,7.15,2014
711,Leroy Fer,29,2375,6,5.1167,2,3.5862,54,48,4,0,M S,Queens Park Rangers,6,5.1167,10.6801,4.3891,2014
824,Steven Naismith,31,2051,6,3.9484,0,1.9437,33,25,8,0,F M S,Everton,6,3.9484,7.2023,2.953,2014
890,Gabriel Agbonlahor,34,2698,6,5.6306,1,1.5529,53,16,7,1,F S,Aston Villa,6,5.6306,8.0392,1.6565,2014
1712,Stewart Downing,37,3315,6,4.1363,8,6.6265,70,85,3,0,F M,West Ham,6,4.1363,13.6426,7.3312,2014
4418,Frank Lampard,32,958,6,4.0045,1,0.9529,32,15,1,0,M S,Manchester City,6,4.0045,11.0393,7.2933,2014
486,Adam Lallana,27,1802,5,4.7684,3,3.1418,38,33,4,0,F M S,Liverpool,5,4.7684,10.2344,4.9009,2014
488,Philippe Coutinho,35,2810,5,4.3765,5,5.5271,103,59,3,0,F M S,Liverpool,5,4.3765,13.6805,7.0045,2014
489,James Milner,32,1732,5,5.7221,7,4.9711,39,52,6,0,F M S,Manchester City,5,5.7221,15.7021,8.7513,2014
503,Theo Walcott,14,427,5,5.347,0,0.4014,23,4,0,0,F M S,Arsenal,5,5.347,5.9333,0.6996,2014
515,Mile Jedinak,24,2092,5,3.9023,3,0.9917,31,14,3,1,M,Crystal Palace,2,1.6187,3.5401,2.9936,2014
519,Connor Wickham,36,2782,5,7.6633,1,1.7667,83,21,8,0,F M S,Sunderland,5,7.6633,12.3049,4.7785,2014
537,Andy Carroll,14,1032,5,3.6933,1,0.769,37,11,2,0,F S,West Ham,5,3.6933,3.2885,0.4689,2014
731,Dame N&#039;Doye,15,1195,5,5.4682,1,1.0799,42,12,3,0,F S,Hull,5,5.4682,6.6497,1.1524,2014
743,Dwight Gayle,25,1069,5,5.1633,1,0.7665,30,16,1,0,F M S,Crystal Palace,4,4.4021,3.3747,0.8093,2014
755,Jamie Vardy,34,2261,5,7.8516,8,5.1826,48,35,5,0,F M S,Leicester,5,7.8516,14.4685,2.1426,2014
839,Shane Long,32,1522,5,4.0358,5,2.7358,37,21,2,0,F M S,Southampton,5,4.0358,9.5516,3.286,2014
917,John Terry,38,3420,5,5.2168,0,0.3966,20,7,2,0,D,Chelsea,5,5.2168,8.5456,8.1679,2014
930,Steven Fletcher,30,1782,5,6.6425,2,2.0516,37,17,4,0,F M S,Sunderland,5,6.6425,9.3895,2.3071,2014
1524,Stevan Jovetic,17,791,5,3.3298,3,1.8126,38,15,0,0,F M S,Manchester City,5,3.3298,6.6738,3.6458,2014
1656,George Boyd,36,3035,5,3.4792,2,3.5599,49,36,7,0,M S,"Burnley,Hull",5,3.4792,9.5258,3.8118,2014
1753,David Nugent,29,1685,5,6.2299,2,1.8909,41,21,3,0,F M S,Leicester,4,4.7076,7.8125,2.3364,2014
4422,Ashley Barnes,35,2435,5,5.6909,2,1.8231,66,30,4,1,F M S,Burnley,5,5.6909,9.1511,3.2729,2014
4440,Esteban Cambiasso,31,2432,5,2.4801,1,1.9381,29,37,1,0,M S,Leicester,5,2.4801,7.0891,4.1951,2014
483,Daniel Sturridge,12,747,4,4.5189,1,1.5183,39,11,0,0,F S,Liverpool,4,4.5189,7.0075,1.7854,2014
499,Mesut Özil,22,1861,4,3.86,5,6.657,29,69,0,0,F M S,Arsenal,4,3.86,16.4166,9.9168,2014
501,Danny Welbeck,27,1714,4,7.2724,3,2.8877,58,30,3,0,F M S,"Arsenal,Manchester United",4,7.2724,12.9377,4.4897,2014
518,Yannick Bolasie,34,2788,4,4.8377,6,5.1254,69,46,3,0,F M S,Crystal Palace,4,4.8377,11.8883,3.0935,2014
522,Wilfried Zaha,31,1989,4,4.7616,2,2.1886,40,14,1,0,F M S,Crystal Palace,4,4.7616,6.5931,2.3009,2014
532,Cheikhou Kouyaté,31,2670,4,3.0627,2,1.1875,33,14,5,0,D M S,West Ham,4,3.0627,6.4128,3.3148,2014
539,Enner Valencia,32,2119,4,6.4807,3,2.5937,72,18,2,0,F M S,West Ham,4,6.4807,8.8389,2.8981,2014
551,Morgan Schneiderlin,26,2183,4,2.3918,1,1.5581,31,20,5,1,M S,Southampton,4,2.3918,8.4231,7.1553,2014
587,Phil Jagielka,37,3295,4,2.3946,0,0.0707,15,2,1,0,D,Everton,4,2.3946,7.1115,7.0023,2014
628,Chris Smalling,25,1881,4,1.8635,0,0.3919,17,5,1,1,D S,Manchester United,4,1.8635,4.172,4.0059,2014
634,Fraizer Campbell,20,1187,4,4.2211,0,0.4664,25,8,5,0,F M S,Crystal Palace,4,4.2211,3.952,0.7666,2014
