Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"26,60",42.75,8.55,2014, chelsea
Défense,"24,18",129.75,11.8,2014, chelsea
Milieu de terrain,"23,00",174.5,19.39,2014, chelsea
Attaquant,"23,31",210.25,16.17,2014, chelsea
Total,"23,92",557.25,14.66,2014, chelsea
Gardien,"26,25",47.5,11.88,2015, chelsea
Défense,"23,13",121.5,8.1,2015, chelsea
Milieu de terrain,"22,91",166.5,15.14,2015, chelsea
Attaquant,"24,20",218.0,21.8,2015, chelsea
Total,"23,65",553.5,13.84,2015, chelsea
Gardien,"26,20",50.65,10.13,2016, chelsea
Défense,"24,21",196.4,10.34,2016, chelsea
Milieu de terrain,"22,40",203.15,13.54,2016, chelsea
Attaquant,"23,90",236.5,23.65,2016, chelsea
Total,"23,80",686.7,14.01,2016, chelsea
Gardien,"28,20",63.0,12.6,2017, chelsea
Défense,"22,63",273.75,14.41,2017, chelsea
Milieu de terrain,"23,38",245.0,18.85,2017, chelsea
Attaquant,"23,89",302.5,33.61,2017, chelsea
Total,"23,70",884.25,19.22,2017, chelsea
Gardien,"27,43",62.5,8.93,2018, chelsea
Défense,"24,17",279.0,15.5,2018, chelsea
Milieu de terrain,"23,58",370.15,19.48,2018, chelsea
Attaquant,"25,20",455.0,45.5,2018, chelsea
Total,"24,57",1170.0,21.6,2018, chelsea
Gardien,"26,67",33.05,11.02,2019, chelsea
Défense,"22,00",216.4,15.46,2019, chelsea
Milieu de terrain,"22,55",274.4,24.95,2019, chelsea
Attaquant,"24,25",182.0,22.75,2019, chelsea
Total,"23,06",705.85,19.61,2019, chelsea
Gardien,"26,17",39.3,6.55,2020, chelsea
Défense,"24,46",260.0,20.0,2020, chelsea
Milieu de terrain,"23,00",389.3,29.95,2020, chelsea
Attaquant,"24,00",200.6,28.66,2020, chelsea
Total,"24,15",889.2,22.8,2020, chelsea
Gardien,"31,67",21.25,7.08,2014,manchester city
