Position,Valeur maximum,Years,Crew
Gardien,30.0,2014,fc-chelsea
Défense,32.0,2014,fc-chelsea
Milieu,50.0,2014,fc-chelsea
Attaquant,60.0,2014,fc-chelsea
Total,60.0,2014,fc-chelsea
Gardien,35.0,2015,fc-chelsea
Défense,25.0,2015,fc-chelsea
Milieu,45.0,2015,fc-chelsea
Attaquant,65.0,2015,fc-chelsea
Total,65.0,2015,fc-chelsea
Gardien,40.0,2016,fc-chelsea
Défense,30.0,2016,fc-chelsea
Milieu,50.0,2016,fc-chelsea
Attaquant,75.0,2016,fc-chelsea
Total,75.0,2016,fc-chelsea
Gardien,60.0,2017,fc-chelsea
Défense,40.0,2017,fc-chelsea
Milieu,60.0,2017,fc-chelsea
Attaquant,110.0,2017,fc-chelsea
Total,110.0,2017,fc-chelsea
Gardien,60.0,2018,fc-chelsea
Défense,50.0,2018,fc-chelsea
Milieu,100.0,2018,fc-chelsea
Attaquant,150.0,2018,fc-chelsea
Total,150.0,2018,fc-chelsea
Gardien,32.0,2019,fc-chelsea
Défense,40.0,2019,fc-chelsea
Milieu,80.0,2019,fc-chelsea
Attaquant,54.0,2019,fc-chelsea
Total,80.0,2019,fc-chelsea
Gardien,25.0,2020,fc-chelsea
Défense,45.0,2020,fc-chelsea
Milieu,75.0,2020,fc-chelsea
Attaquant,65.0,2020,fc-chelsea
Total,75.0,2020,fc-chelsea
Gardien,16.0,2014,manchester-city
Défense,33.0,2014,manchester-city
Milieu,38.0,2014,manchester-city
Attaquant,50.0,2014,manchester-city
Total,50.0,2014,manchester-city
Gardien,17.0,2015,manchester-city
Défense,32.0,2015,manchester-city
Milieu,60.0,2015,manchester-city
Attaquant,60.0,2015,manchester-city
Total,60.0,2015,manchester-city
Gardien,13.0,2016,manchester-city
Défense,35.0,2016,manchester-city
Milieu,65.0,2016,manchester-city
Attaquant,65.0,2016,manchester-city
Total,65.0,2016,manchester-city
Gardien,50.0,2017,manchester-city
Défense,50.0,2017,manchester-city
Milieu,150.0,2017,manchester-city
Attaquant,90.0,2017,manchester-city
Total,150.0,2017,manchester-city
Gardien,70.0,2018,manchester-city
Défense,75.0,2018,manchester-city
Milieu,130.0,2018,manchester-city
Attaquant,140.0,2018,manchester-city
Total,140.0,2018,manchester-city
Gardien,56.0,2019,manchester-city
Défense,60.0,2019,manchester-city
Milieu,120.0,2019,manchester-city
Attaquant,128.0,2019,manchester-city
Total,128.0,2019,manchester-city
Gardien,50.0,2020,manchester-city
Défense,75.0,2020,manchester-city
Milieu,100.0,2020,manchester-city
Attaquant,90.0,2020,manchester-city
Total,100.0,2020,manchester-city
Gardien,14.0,2014,fc-arsenal
Défense,19.0,2014,fc-arsenal
Milieu,40.0,2014,fc-arsenal
Attaquant,45.0,2014,fc-arsenal
Total,45.0,2014,fc-arsenal
Gardien,12.0,2015,fc-arsenal
Défense,22.0,2015,fc-arsenal
Milieu,50.0,2015,fc-arsenal
Attaquant,55.0,2015,fc-arsenal
Total,55.0,2015,fc-arsenal
Gardien,17.0,2016,fc-arsenal
Défense,30.0,2016,fc-arsenal
Milieu,50.0,2016,fc-arsenal
Attaquant,65.0,2016,fc-arsenal
Total,65.0,2016,fc-arsenal
Gardien,5.0,2017,fc-arsenal
Défense,40.0,2017,fc-arsenal
Milieu,50.0,2017,fc-arsenal
Attaquant,75.0,2017,fc-arsenal
Total,75.0,2017,fc-arsenal
Gardien,30.0,2018,fc-arsenal
Défense,40.0,2018,fc-arsenal
Milieu,55.0,2018,fc-arsenal
Attaquant,70.0,2018,fc-arsenal
Total,70.0,2018,fc-arsenal
Gardien,28.0,2019,fc-arsenal
Défense,32.0,2019,fc-arsenal
Milieu,40.5,2019,fc-arsenal
Attaquant,56.0,2019,fc-arsenal
Total,56.0,2019,fc-arsenal
Gardien,30.0,2020,fc-arsenal
Défense,32.0,2020,fc-arsenal
Milieu,40.0,2020,fc-arsenal
Attaquant,35.0,2020,fc-arsenal
Total,65.0,2020,fc-arsenal
Gardien,25.0,2014,manchester-united
Défense,21.0,2014,manchester-united
Milieu,34.0,2014,manchester-united
Attaquant,65.0,2014,manchester-united
Total,65.0,2014,manchester-united
Gardien,40.0,2015,manchester-united
Défense,21.0,2015,manchester-united
Milieu,34.0,2015,manchester-united
Attaquant,35.0,2015,manchester-united
Total,40.0,2015,manchester-united
Gardien,40.0,2016,manchester-united
Défense,30.0,2016,manchester-united
Milieu,75.0,2016,manchester-united
Attaquant,30.0,2016,manchester-united
Total,75.0,2016,manchester-united
Gardien,70.0,2017,manchester-united
Défense,35.0,2017,manchester-united
Milieu,90.0,2017,manchester-united
Attaquant,90.0,2017,manchester-united
Total,90.0,2017,manchester-united
Gardien,65.0,2018,manchester-united
Défense,35.0,2018,manchester-united
Milieu,100.0,2018,manchester-united
Attaquant,80.0,2018,manchester-united
Total,100.0,2018,manchester-united
Gardien,40.0,2019,manchester-united
Défense,56.0,2019,manchester-united
Milieu,80.0,2019,manchester-united
Attaquant,64.0,2019,manchester-united
Total,80.0,2019,manchester-united
Gardien,22.0,2020,manchester-united
Défense,45.0,2020,manchester-united
Milieu,90.0,2020,manchester-united
Attaquant,85.0,2020,manchester-united
Total,90.0,2020,manchester-united
Gardien,20.0,2014,tottenham-hotspur
Défense,19.0,2014,tottenham-hotspur
Milieu,27.0,2014,tottenham-hotspur
Attaquant,22.0,2014,tottenham-hotspur
Total,27.0,2014,tottenham-hotspur
Gardien,24.0,2015,tottenham-hotspur
Défense,27.0,2015,tottenham-hotspur
Milieu,29.0,2015,tottenham-hotspur
Attaquant,40.0,2015,tottenham-hotspur
Total,40.0,2015,tottenham-hotspur
Gardien,24.0,2016,tottenham-hotspur
Défense,35.0,2016,tottenham-hotspur
Milieu,45.0,2016,tottenham-hotspur
Attaquant,60.0,2016,tottenham-hotspur
Total,60.0,2016,tottenham-hotspur
Gardien,25.0,2017,tottenham-hotspur
Défense,40.0,2017,tottenham-hotspur
Milieu,100.0,2017,tottenham-hotspur
Attaquant,150.0,2017,tottenham-hotspur
Total,150.0,2017,tottenham-hotspur
Gardien,25.0,2018,tottenham-hotspur
Défense,55.0,2018,tottenham-hotspur
Milieu,100.0,2018,tottenham-hotspur
Attaquant,150.0,2018,tottenham-hotspur
Total,150.0,2018,tottenham-hotspur
Gardien,14.5,2019,tottenham-hotspur
Défense,48.0,2019,tottenham-hotspur
Milieu,68.0,2019,tottenham-hotspur
Attaquant,120.0,2019,tottenham-hotspur
Total,120.0,2019,tottenham-hotspur
Gardien,9.0,2020,tottenham-hotspur
Défense,32.0,2020,tottenham-hotspur
Milieu,50.0,2020,tottenham-hotspur
Attaquant,120.0,2020,tottenham-hotspur
Total,120.0,2020,tottenham-hotspur
Gardien,12.0,2014,fc-liverpool
Défense,18.0,2014,fc-liverpool
Milieu,25.0,2014,fc-liverpool
Attaquant,30.0,2014,fc-liverpool
Total,30.0,2014,fc-liverpool
Gardien,12.0,2015,fc-liverpool
Défense,21.0,2015,fc-liverpool
Milieu,32.0,2015,fc-liverpool
Attaquant,35.0,2015,fc-liverpool
Total,35.0,2015,fc-liverpool
Gardien,12.0,2016,fc-liverpool
Défense,25.0,2016,fc-liverpool
Milieu,45.0,2016,fc-liverpool
Attaquant,40.0,2016,fc-liverpool
Total,45.0,2016,fc-liverpool
Gardien,12.0,2017,fc-liverpool
Défense,50.0,2017,fc-liverpool
Milieu,100.0,2017,fc-liverpool
Attaquant,150.0,2017,fc-liverpool
Total,150.0,2017,fc-liverpool
Gardien,80.0,2018,fc-liverpool
Défense,90.0,2018,fc-liverpool
Milieu,60.0,2018,fc-liverpool
Attaquant,150.0,2018,fc-liverpool
Total,150.0,2018,fc-liverpool
Gardien,72.0,2019,fc-liverpool
Défense,99.0,2019,fc-liverpool
Milieu,56.0,2019,fc-liverpool
Attaquant,120.0,2019,fc-liverpool
