name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 L. Suárez,BU,Liverpool,"5'11""",79,88,408,415,427,113,153,2014
 R. van Persie,BU,Manchester United,"6'2""",75,74,422,414,376,76,39,2014
 E. Hazard,MG,Chelsea,"5'8""",87,91,387,422,444,74,45,2014
 S. Agüero,BU,Manchester City,"5'8""",85,93,401,397,440,70,59,2014
 M. Özil,MOC,Arsenal,"5'11""",71,79,375,421,398,72,50,2014
 David Silva,MOC,Manchester City,"5'7""",74,83,384,423,423,82,57,2014
 Juan Mata,MOC,Manchester United,"5'9""",73,85,386,416,425,72,46,2014
 W. Rooney,AT,Manchester United,"5'9""",79,75,418,417,394,120,49,2014
 V. Kompany,DC,Manchester City,"6'3""",76,68,316,337,333,259,38,2014
 Y. Touré,MC,Manchester City,"6'3""",79,73,385,413,366,238,53,2014
 P. Čech,G,Chelsea,"6'5""",52,45,135,140,281,75,408,2014
 N. Vidić,DC,Manchester United,"6'2""",54,51,272,260,279,253,45,2014
 Santi Cazorla,MOC,Arsenal,"5'6""",68,79,371,425,409,81,42,2014
 Oscar,MOC,Chelsea,"5'11""",79,84,343,400,410,134,61,2014
 S. Nasri,MG,Manchester City,"5'9""",82,79,370,417,418,116,50,2014
 H. Lloris,G,Tottenham Hotspur,"6'2""",63,65,127,140,321,75,406,2014
 C. Eriksen,MG,Tottenham Hotspur,"5'10""",82,85,359,421,409,116,43,2014
 J. Terry,DC,Chelsea,"6'2""",47,34,296,245,253,251,48,2014
 Willian,MD,Chelsea,"5'9""",86,92,319,384,428,82,59,2014
 A. Cole,DG,Chelsea,"5'9""",72,74,329,343,387,254,47,2014
 S. Gerrard,MC,Liverpool,"6'0""",66,62,404,407,333,201,56,2014
 D. Sturridge,BU,Liverpool,"6'0""",90,89,372,358,404,74,49,2014
 E. Džeko,BU,Manchester City,"6'4""",74,69,389,349,341,78,63,2014
 Negredo,BU,Manchester City,"6'1""",77,72,380,366,355,81,48,2014
 Jesús Navas,AD,Manchester City,"5'7""",90,92,364,368,442,73,55,2014
 S. Jovetić,MOC,Manchester City,"6'0""",81,82,393,403,394,103,40,2014
 De Gea,G,Manchester United,"6'3""",55,51,127,134,284,71,412,2014
 P. Mertesacker,DC,Arsenal,"6'6""",38,29,266,246,209,257,50,2014
 L. Koscielny,DC,Arsenal,"6'1""",80,80,277,267,371,254,51,2014
 A. Ramsey,MC,Arsenal,"5'11""",69,73,368,379,368,210,40,2014
 J. Wilshere,MG,Arsenal,"5'8""",75,82,345,404,407,198,56,2014
 David Luiz,DC,Chelsea,"6'2""",78,75,350,363,358,242,54,2014
 Fernando Torres,BU,Chelsea,"6'1""",78,84,390,365,377,75,54,2014
 S. Eto'o,BU,Chelsea,"5'11""",81,84,381,377,406,94,53,2014
 L. Baines,DLG,Everton,"5'7""",79,79,378,385,394,248,58,2014
 S. Mignolet,G,Liverpool,"6'4""",59,55,138,131,253,75,399,2014
