Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years,xG coef,xGA coef,xPTS coef
1,Chelsea,38,26,9,3,73,32,87,68.64,31.52,75.32,2014,1.074,1.032,1.16
2,Manchester City,38,24,7,7,83,38,79,75.82,40.5,73.1,2014,1.107,0.95,1.082
3,Arsenal,38,22,9,7,71,36,75,69.8,35.72,75.17,2014,1.029,1.029,1.0
4,Manchester United,38,20,10,8,62,37,70,54.21,39.84,63.03,2014,1.148,0.949,1.111
5,Tottenham,38,19,7,12,58,53,64,52.39,57.04,48.94,2014,1.115,0.93,1.333
6,Liverpool,38,18,8,12,52,48,62,51.7,38.25,61.17,2014,1.02,1.263,1.016
7,Southampton,38,18,6,14,54,33,60,54.97,39.11,62.82,2014,1.0,0.846,0.968
8,Swansea,38,16,8,14,46,49,56,40.9,55.94,43.32,2014,1.15,0.891,1.302
9,Stoke,38,15,9,14,48,45,54,46.26,47.03,51.97,2014,1.043,0.957,1.059
10,Crystal Palace,38,13,9,16,47,51,48,44.76,45.48,50.56,2014,1.068,1.133,0.96
11,Everton,38,12,11,15,48,50,47,44.89,46.18,50.91,2014,1.091,1.087,0.94
12,West Ham,38,12,11,15,44,47,47,46.69,57.4,47.22,2014,0.957,0.825,1.0
13,West Bromwich Albion,38,11,11,16,38,51,44,38.63,53.75,44.74,2014,1.0,0.962,1.0
14,Leicester,38,11,8,19,46,55,41,48.21,56.39,44.64,2014,0.958,0.982,0.932
15,Newcastle United,38,10,9,19,40,63,39,40.22,51.01,45.63,2014,1.0,1.235,0.867
16,Sunderland,38,7,17,14,31,53,38,37.45,51.46,44.18,2014,0.838,1.039,0.864
17,Aston Villa,38,10,8,20,31,57,38,33.1,49.71,40.89,2014,0.939,1.163,0.95
18,Hull,38,8,11,19,33,51,35,32.79,46.99,41.32,2014,1.031,1.109,0.854
19,Burnley,38,7,12,19,28,53,33,39.37,57.89,39.8,2014,0.718,0.93,0.846
20,Queens Park Rangers,38,8,6,24,42,73,30,45.73,65.26,40.28,2014,0.933,1.123,0.75
1,Leicester,38,23,12,3,68,36,81,68.42,45.02,68.94,2015,1.0,0.8,1.191
2,Arsenal,38,20,11,7,65,36,71,73.53,33.86,77.01,2015,0.89,1.091,0.922
3,Tottenham,38,19,13,6,69,35,70,63.42,37.08,69.41,2015,1.095,0.946,1.014
4,Manchester City,38,19,9,10,71,41,66,66.2,37.47,70.14,2015,1.076,1.108,0.943
5,Manchester United,38,19,9,10,49,35,66,45.42,39.66,56.44,2015,1.089,0.897,1.179
6,Southampton,38,18,9,11,59,41,63,56.2,44.29,61.08,2015,1.054,0.932,1.033
7,West Ham,38,16,14,8,65,51,62,54.4,55.48,49.8,2015,1.204,0.927,1.265
8,Liverpool,38,16,12,10,63,50,60,54.37,37.88,63.29,2015,1.167,1.351,0.952
9,Stoke,38,14,9,15,41,55,51,42.63,54.35,48.3,2015,0.976,1.019,1.062
10,Chelsea,38,12,14,12,59,53,50,54.48,44.63,59.62,2015,1.093,1.205,0.847
11,Everton,38,11,14,13,59,55,47,53.98,54.75,52.69,2015,1.113,1.019,0.904
12,Swansea,38,12,11,15,42,52,47,39.96,53.63,42.4,2015,1.077,0.981,1.119
13,Watford,38,12,9,17,40,50,45,43.2,51.85,48.25,2015,0.93,0.98,0.938
14,West Bromwich Albion,38,10,13,15,34,48,43,39.75,51.94,42.3,2015,0.872,0.941,1.024
15,Crystal Palace,38,11,9,18,39,51,42,42.51,52.94,44.89,2015,0.929,0.981,0.955
16,Bournemouth,38,11,9,18,45,67,42,38.71,53.97,43.77,2015,1.184,1.264,0.977
17,Sunderland,38,9,12,17,48,62,39,40.52,58.85,40.52,2015,1.2,1.069,0.975
18,Newcastle United,38,9,10,19,44,65,37,37.61,55.42,40.21,2015,1.189,1.182,0.925
19,Norwich,38,9,7,22,39,67,34,39.19,58.93,39.18,2015,1.0,1.155,0.872
20,Aston Villa,38,3,8,27,27,76,17,26.53,59.01,29.81,2015,1.038,1.288,0.586
1,Chelsea,38,30,3,5,85,33,93,61.8,28.62,75.74,2016,1.393,1.179,1.24
2,Tottenham,38,26,8,4,86,26,86,70.07,33.78,75.37,2016,1.229,0.788,1.147
3,Manchester City,38,23,9,6,80,39,78,79.85,29.61,85.41,2016,1.013,1.345,0.918
4,Liverpool,38,22,10,6,78,42,76,66.63,37.65,69.83,2016,1.182,1.135,1.101
5,Arsenal,38,23,6,9,77,44,75,63.58,47.07,62.12,2016,1.222,0.936,1.21
6,Manchester United,38,18,15,5,54,29,69,57.57,31.62,70.89,2016,0.947,0.935,0.986
7,Everton,38,17,10,11,62,44,61,49.63,45.78,55.78,2016,1.265,0.978,1.109
8,Southampton,38,12,10,16,41,48,46,49.98,43.08,55.69,2016,0.837,1.116,0.836
9,Bournemouth,38,12,10,16,55,67,46,50.02,62.99,43.17,2016,1.1,1.081,1.07
10,West Bromwich Albion,38,12,9,17,43,51,45,38.21,47.9,45.59,2016,1.132,1.085,1.0
11,West Ham,38,12,9,17,47,64,45,48.25,59.67,46.04,2016,0.979,1.085,0.978
