Team,Value,trend,pourcentage,predict
Manchester City,1040.0,5.394144337600277,0.993,True
Manchester Utd.,937.25,4.506105029598148,0.981,True
Chelsea,882.5,4.032916201246648,0.97,True
FC Liverpool,879.5,4.006988046268484,0.969,True
Tottenham,697.0,2.429691951763484,0.284,False
Leicester City,550.1,1.1600766296660359,0.198,False
FC Arsenal,548.5,1.1462482803443486,0.196,False
FC Everton,461.75,0.3964924655590951,0.13,False
Aston Villa,408.3,-0.06546082896853322,0.094,False
Wolverhampton,391.1,-0.21411558417667553,0.083,False
West Ham Utd.,354.75,-0.5282783953287673,0.032,False
Leeds United,250.8,-1.4266889653221626,0.014,False
Brighton,248.1,-1.4500243048025108,0.014,False
Newcastle Utd.,241.4,-1.5079305175870776,0.013,False
FC Southampton,241.3,-1.508794789419683,0.013,False
Crystal Palace,239.45,-1.5247838183228848,0.013,False
Norwich,189.55,-1.9560554627930185,0.008,False
Brentford,166.45,-2.155702256124884,0.007,False
Burnley FC,145.3,-2.338495748720943,0.006,False
Watford,133.0,-2.444801184131417,0.005,False
