Rank,Team,Years,PTS,Win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
1,Chelsea,2014,87,0.684,73,32,68.64,31.52,557,185.4,96.75
10,Chelsea,2015,50,0.316,59,53,54.48,44.63,553,191.0,91.875
1,Chelsea,2016,93,0.789,85,33,61.8,28.62,686,209.1,141.438
5,Chelsea,2017,70,0.553,62,38,59.16,34.03,884,266.1,193.812
3,Chelsea,2018,72,0.553,63,39,63.97,38.11,1170,401.0,205.25
4,Chelsea,2019,66,0.526,69,54,76.23,41.09,705,173.0,156.25
4,Chelsea,2020,67,0.5,58,36,68.66,30.9,889,198.9,191.688
2,Manchester City,2014,79,0.632,83,38,75.82,40.5,452,114.9,109.438
4,Manchester City,2015,66,0.5,71,41,66.2,37.47,499,129.3,109.312
3,Manchester City,2016,78,0.605,80,39,79.85,29.61,606,210.4,109.75
1,Manchester City,2017,100,0.842,106,27,91.43,24.51,1010,317.1,201.062
1,Manchester City,2018,98,0.842,95,23,93.72,25.73,1200,410.4,222.5
2,Manchester City,2019,81,0.684,102,35,102.21,37.0,1050,347.8,194.625
1,Manchester City,2020,86,0.711,83,32,77.72,30.61,1040,315.0,239.25
3,Arsenal,2014,75,0.579,71,36,69.8,35.72,419,124.7,79.688
2,Arsenal,2015,71,0.526,65,36,73.53,33.86,457,127.9,89.312
5,Arsenal,2016,75,0.605,77,44,63.58,47.07,542,144.1,112.188
6,Arsenal,2017,63,0.5,74,51,72.27,48.75,694,245.9,107.688
5,Arsenal,2018,70,0.553,73,51,64.8,57.3,659,188.7,116.812
8,Arsenal,2019,56,0.368,56,48,50.82,57.25,607,185.5,110.312
8,Arsenal,2020,61,0.474,55,39,52.25,43.23,619,143.8,120.875
4,Manchester United,2014,70,0.526,62,37,54.21,39.84,505,203.6,87.0
5,Manchester United,2015,66,0.5,49,35,45.42,39.66,439,113.9,97.312
6,Manchester United,2016,69,0.474,54,29,57.57,31.62,531,103.5,117.562
2,Manchester United,2017,81,0.658,68,28,59.04,43.54,849,272.8,142.875
6,Manchester United,2018,66,0.5,65,54,68.62,52.3,797,228.7,149.312
3,Manchester United,2019,66,0.474,66,36,66.19,38.06,670,163.5,154.562
2,Manchester United,2020,74,0.553,73,44,63.17,41.92,770,215.4,158.5
5,Tottenham,2014,64,0.5,58,53,52.39,57.04,304,76.9,73.688
3,Tottenham,2015,70,0.5,69,35,63.42,37.08,371,106.2,88.875
2,Tottenham,2016,86,0.684,86,26,70.07,33.78,543,132.3,130.312
3,Tottenham,2017,77,0.605,74,36,68.91,35.86,829,243.2,186.25
4,Tottenham,2018,71,0.605,67,39,61.75,49.15,898,271.2,199.75
6,Tottenham,2019,59,0.421,61,47,49.02,54.13,806,247.0,139.375
7,Tottenham,2020,62,0.474,68,45,56.68,52.55,703,268.5,118.312
6,Liverpool,2014,62,0.474,52,48,51.7,38.25,324,95.6,69.0
8,Liverpool,2015,60,0.421,63,50,54.37,37.88,375,107.8,76.5
4,Liverpool,2016,76,0.579,78,42,66.63,37.65,425,120.8,77.75
4,Liverpool,2017,75,0.553,84,38,77.49,35.75,857,309.9,147.188
2,Liverpool,2018,97,0.789,89,22,79.46,29.15,1170,394.1,239.438
1,Liverpool,2019,99,0.842,85,33,75.19,39.57,1000,312.0,236.5
3,Liverpool,2020,69,0.526,68,42,72.21,47.3,969,314.4,211.625
7,Southampton,2014,60,0.474,54,33,54.97,39.11,135,38.7,30.312
6,Southampton,2015,63,0.474,59,41,56.2,44.29,201,53.9,46.438
8,Southampton,2016,46,0.316,41,48,49.98,43.08,273,103.8,53.375
17,Southampton,2017,36,0.184,37,56,41.88,46.56,260,90.0,47.875
16,Southampton,2018,39,0.237,45,65,49.67,59.27,359,132.8,65.625
11,Southampton,2019,52,0.395,51,60,56.5,56.59,303,109.6,49.25
15,Southampton,2020,43,0.316,47,68,45.28,58.55,336,101.8,49.875
8,Swansea,2014,56,0.421,46,49,40.9,55.94,130,45.6,23.125
12,Swansea,2015,47,0.316,42,52,39.96,53.63,145,44.9,26.812
15,Swansea,2016,41,0.316,45,70,39.5,65.13,157,43.8,31.625
18,Swansea,2017,33,0.211,28,56,29.71,61.83,165,48.6,30.5
9,Stoke,2014,54,0.395,48,45,46.26,47.03,110,27.7,23.938
9,Stoke,2015,51,0.368,41,55,42.63,54.35,147,49.1,27.062
13,Stoke,2016,44,0.289,41,56,47.87,48.67,186,73.6,30.25
19,Stoke,2017,33,0.184,35,68,36.75,65.54,192,50.6,47.375
10,Crystal Palace,2014,48,0.342,47,51,44.76,45.48,97,30.7,17.562
15,Crystal Palace,2015,42,0.289,39,51,42.51,52.94,135,49.2,21.125
14,Crystal Palace,2016,41,0.316,50,63,45.4,50.03,228,88.4,37.75
11,Crystal Palace,2017,44,0.289,45,55,56.75,53.54,220,75.7,41.812
12,Crystal Palace,2018,49,0.368,51,53,50.64,52.8,289,106.9,61.938
14,Crystal Palace,2019,43,0.289,31,50,34.45,57.39,189,74.0,31.5
14,Crystal Palace,2020,44,0.316,41,66,35.29,61.9,193,79.5,30.688
11,Everton,2014,47,0.316,48,50,44.89,46.18,185,66.1,39.062
11,Everton,2015,47,0.289,59,55,53.98,54.75,249,83.6,58.75
7,Everton,2016,61,0.447,62,44,49.63,45.78,311,119.2,47.375
8,Everton,2017,49,0.342,44,58,43.71,55.5,381,116.5,68.938
8,Everton,2018,54,0.395,54,46,53.87,49.31,529,163.3,107.812
12,Everton,2019,49,0.342,44,56,53.71,49.21,420,150.8,75.0
10,Everton,2020,59,0.447,47,48,49.24,50.16,511,169.9,101.312
12,West Ham,2014,47,0.316,44,47,46.69,57.4,135,38.7,30.312
7,West Ham,2015,62,0.421,65,51,54.4,55.48,201,53.9,46.438
11,West Ham,2016,45,0.316,47,64,48.25,59.67,273,103.8,53.375
13,West Ham,2017,42,0.263,48,68,36.8,58.37,260,90.0,47.875
10,West Ham,2018,52,0.395,52,55,47.96,65.66,359,132.8,65.625
16,West Ham,2019,39,0.263,49,62,49.07,68.32,303,109.6,49.25
6,West Ham,2020,65,0.5,62,47,60.34,49.86,336,101.8,49.875
13,West Bromwich Albion,2014,44,0.289,38,51,38.63,53.75,95,35.7,14.312
14,West Bromwich Albion,2015,43,0.263,34,48,39.75,51.94,113,41.9,20.688
10,West Bromwich Albion,2016,45,0.316,43,51,38.21,47.9,123,53.2,18.0
20,West Bromwich Albion,2017,31,0.158,31,56,35.18,48.99,165,64.3,30.062
19,West Bromwich Albion,2020,26,0.132,35,76,34.97,74.04,142,48.3,20.562
14,Leicester,2014,41,0.289,46,55,48.21,56.39,66,24.1,11.062
