id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
1513,Mauro Icardi,36,2897,22,20.0405,6,4.6076,121,34,4,0,F S,Inter,18,16.234,23.243,4.9106,2014
1955,Luca Toni,38,3228,22,21.2048,2,2.9143,125,27,3,0,F S,Verona,18,16.637,18.8106,3.106,2014
3848,Carlos Tévez,32,2594,20,13.3721,7,5.0166,114,61,6,0,F M S,Juventus,18,10.327,20.0076,8.9075,2014
1293,Gonzalo Higuaín,37,2786,18,21.0974,7,4.0822,113,49,5,0,F S,Napoli,15,15.7683,22.7116,4.9174,2014
2014,Jérémy Menez,33,2713,16,10.9369,4,4.3797,78,46,3,1,F M S,AC Milan,8,4.8466,13.7559,6.8897,2014
1383,Manolo Gabbiadini,33,1837,15,6.8005,3,4.417,87,32,5,0,F M S,"Napoli,Sampdoria",15,6.8005,10.3298,3.1926,2014
1612,Domenico Berardi,32,2700,15,12.3686,10,5.6057,95,48,13,1,F,Sassuolo,9,7.0396,14.3826,5.7618,2014
1888,Antonio Di Natale,33,2388,14,7.9819,7,5.7636,76,58,4,0,F S,Udinese,13,7.2206,10.2045,0.9013,2014
1185,Iago Falque,32,2369,13,9.2513,3,4.4787,62,48,6,0,F M S,Genoa,11,7.7287,15.0564,5.3297,2014
1230,Fabio Quagliarella,34,2810,13,12.6374,4,5.0615,124,37,3,0,F M S,Torino,10,10.3535,14.6217,1.9772,2014
1294,Paulo Dybala,34,2972,13,16.0883,10,5.2794,117,58,3,0,F,Palermo,10,13.8045,21.3968,7.6183,2014
1878,Miroslav Klose,34,1828,13,11.3336,6,4.1957,38,22,5,0,F S,Lazio,13,11.3336,16.7956,3.6979,2014
1382,José Callejón,38,2974,11,10.1276,3,6.0182,84,58,1,0,M S,Napoli,11,10.1276,23.4073,10.0303,2014
1642,Simone Zaza,31,2597,11,10.1742,2,1.8569,77,14,11,0,F S,Sassuolo,10,8.6516,11.206,1.6126,2014
1147,Cyril Théréau,37,2476,10,6.9984,0,1.6588,50,24,3,0,F M S,Udinese,10,6.9984,11.6751,4.886,2014
1207,Marco Parolo,34,3009,10,5.6378,2,1.7709,65,30,9,1,M,Lazio,10,5.6378,12.8869,7.5517,2014
1208,Felipe Anderson,32,2095,10,6.3541,7,8.058,65,35,5,0,F M S,Lazio,10,6.3541,20.191,8.0951,2014
1315,Massimo Maccarone,34,2507,10,8.976,7,7.5525,87,50,4,0,F S,Empoli,9,8.2147,14.7021,3.1063,2014
