Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"25,83",2.8,0.467,2014,juventus turin
Défense,"26,58",81.5,6.79,2014,juventus turin
Milieu de terrain,"25,30",170.4,17.04,2014,juventus turin
Attaquant,"26,29",74.3,10.61,2014,juventus turin
Total,"26,03",329.0,9.4,2014,juventus turin
Gardien,"28,00",9.3,2.33,2015,juventus turin
Défense,"26,50",126.55,10.55,2015,juventus turin
Milieu de terrain,"23,23",177.3,13.64,2015,juventus turin
Attaquant,"22,00",126.85,14.09,2015,juventus turin
Total,"24,47",440.0,11.58,2015,juventus turin
Gardien,"23,60",8.68,1.74,2016,juventus turin
Défense,"26,69",161.05,10.07,2016,juventus turin
Milieu de terrain,"24,64",135.95,12.36,2016,juventus turin
Attaquant,"23,67",191.5,31.92,2016,juventus turin
Total,"25,21",497.18,13.08,2016,juventus turin
Gardien,"26,00",22.68,4.54,2017,juventus turin
Défense,"29,00",153.5,17.06,2017,juventus turin
Milieu de terrain,"23,91",166.1,15.1,2017,juventus turin
Attaquant,"23,75",311.0,38.88,2017,juventus turin
Total,"25,58",653.28,19.8,2017,juventus turin
Gardien,"24,33",63.9,10.65,2018,juventus turin
Défense,"25,72",227.35,12.63,2018,juventus turin
Milieu de terrain,"22,31",187.93,11.75,2018,juventus turin
Attaquant,"23,79",391.88,20.63,2018,juventus turin
Total,"24,03",871.05,14.76,2018,juventus turin
Gardien,"31,25",41.4,10.35,2019,juventus turin
Défense,"25,25",210.83,17.57,2019,juventus turin
Milieu de terrain,"24,64",186.55,16.96,2019,juventus turin
Attaquant,"25,45",223.1,20.28,2019,juventus turin
Total,"25,76",661.88,17.42,2019,juventus turin
Gardien,"27,80",27.0,5.4,2020,juventus turin
Défense,"24,40",186.93,12.46,2020,juventus turin
Milieu de terrain,"21,62",151.03,11.62,2020,juventus turin
Attaquant,"23,42",266.35,22.2,2020,juventus turin
Total,"23,71",631.3,14.03,2020,juventus turin
Gardien,"28,40",3.4,0.68,2014,as rom
Défense,"25,25",77.0,4.81,2014,as rom
Milieu de terrain,"23,91",111.55,10.14,2014,as rom
Attaquant,"23,91",89.83,8.17,2014,as rom
Total,"24,93",281.78,6.55,2014,as rom
Gardien,"26,80",12.83,2.57,2015,as rom
Défense,"23,31",86.05,5.38,2015,as rom
Milieu de terrain,"23,07",115.63,8.26,2015,as rom
Attaquant,"23,62",118.4,9.11,2015,as rom
Total,"23,69",332.9,6.94,2015,as rom
Gardien,"23,17",24.3,4.05,2016,as rom
Défense,"23,06",124.03,7.75,2016,as rom
Milieu de terrain,"22,17",100.83,8.4,2016,as rom
Attaquant,"22,69",105.53,8.12,2016,as rom
Total,"22,74",354.68,7.55,2016,as rom
Gardien,"23,33",67.13,11.19,2017,as rom
Défense,"22,85",155.65,7.78,2017,as rom
Milieu de terrain,"22,36",122.33,11.12,2017,as rom
Attaquant,"22,20",123.33,12.33,2017,as rom
Total,"22,66",468.43,9.97,2017,as rom
Gardien,"22,43",8.6,1.23,2018,as rom
Défense,"23,59",118.83,6.99,2018,as rom
Milieu de terrain,"22,76",184.05,10.83,2018,as rom
Attaquant,"21,88",147.58,9.22,2018,as rom
Total,"22,72",459.05,8.05,2018,as rom
Gardien,"24,50",20.13,5.03,2019,as rom
Défense,"26,31",104.1,8.01,2019,as rom
Milieu de terrain,"23,00",167.5,16.75,2019,as rom
Attaquant,"24,11",101.0,11.22,2019,as rom
Total,"24,64",392.73,10.91,2019,as rom
Gardien,"26,43",14.85,2.12,2020,as rom
Défense,"24,29",145.8,10.41,2020,as rom
Milieu de terrain,"22,46",176.6,13.58,2020,as rom
Attaquant,"22,50",52.65,4.39,2020,as rom
Total,"23,63",389.9,8.48,2020,as rom
Gardien,"23,25",10.4,2.6,2014,lazio rom
Défense,"26,64",43.15,3.92,2014,lazio rom
Milieu de terrain,"26,75",79.5,6.63,2014,lazio rom
Attaquant,"22,67",34.7,3.86,2014,lazio rom
Total,"25,31",167.75,4.66,2014,lazio rom
Gardien,"23,75",8.45,2.11,2015,lazio rom
Défense,"25,31",40.65,3.13,2015,lazio rom
Milieu de terrain,"25,17",81.85,6.82,2015,lazio rom
Attaquant,"23,67",44.35,4.93,2015,lazio rom
Total,"24,71",175.3,4.61,2015,lazio rom
