Position,Valeur maximum,Years,Crew
Gardien,2.0,2014,juventus-turin
Défense,20.0,2014,juventus-turin
Milieu,50.0,2014,juventus-turin
Attaquant,18.0,2014,juventus-turin
Total,50.0,2014,juventus-turin
Gardien,7.0,2015,juventus-turin
Défense,30.0,2015,juventus-turin
Milieu,70.0,2015,juventus-turin
Attaquant,30.0,2015,juventus-turin
Total,70.0,2015,juventus-turin
Gardien,6.0,2016,juventus-turin
Défense,45.0,2016,juventus-turin
Milieu,40.0,2016,juventus-turin
Attaquant,75.0,2016,juventus-turin
Total,75.0,2016,juventus-turin
Gardien,20.0,2017,juventus-turin
Défense,45.0,2017,juventus-turin
Milieu,65.0,2017,juventus-turin
Attaquant,60.0,2017,juventus-turin
Total,110.0,2017,juventus-turin
Gardien,35.0,2018,juventus-turin
Défense,55.0,2018,juventus-turin
Milieu,70.0,2018,juventus-turin
Attaquant,90.0,2018,juventus-turin
Total,90.0,2018,juventus-turin
Gardien,32.0,2019,juventus-turin
Défense,67.5,2019,juventus-turin
Milieu,52.0,2019,juventus-turin
Attaquant,60.0,2019,juventus-turin
Total,72.0,2019,juventus-turin
Gardien,25.0,2020,juventus-turin
Défense,75.0,2020,juventus-turin
Milieu,40.0,2020,juventus-turin
Attaquant,60.0,2020,juventus-turin
Total,75.0,2020,juventus-turin
Gardien,1.5,2014,as-rom
Défense,15.0,2014,as-rom
Milieu,28.0,2014,as-rom
Attaquant,20.0,2014,as-rom
Total,28.0,2014,as-rom
Gardien,12.0,2015,as-rom
Défense,24.0,2015,as-rom
Milieu,35.0,2015,as-rom
Attaquant,23.0,2015,as-rom
Total,35.0,2015,as-rom
Gardien,17.0,2016,as-rom
Défense,30.0,2016,as-rom
Milieu,40.0,2016,as-rom
Attaquant,35.0,2016,as-rom
Total,40.0,2016,as-rom
Gardien,60.0,2017,as-rom
Défense,40.0,2017,as-rom
Milieu,45.0,2017,as-rom
Attaquant,27.0,2017,as-rom
Total,60.0,2017,as-rom
Gardien,7.5,2018,as-rom
Défense,45.0,2018,as-rom
Milieu,40.0,2018,as-rom
Attaquant,35.0,2018,as-rom
Total,45.0,2018,as-rom
Gardien,19.0,2019,as-rom
Défense,22.5,2019,as-rom
Milieu,45.0,2019,as-rom
Attaquant,24.0,2019,as-rom
Total,45.0,2019,as-rom
Gardien,10.0,2020,as-rom
Défense,30.0,2020,as-rom
Milieu,40.0,2020,as-rom
Attaquant,14.0,2020,as-rom
Total,40.0,2020,as-rom
Gardien,7.0,2014,lazio-rom
Défense,12.5,2014,lazio-rom
Milieu,12.5,2014,lazio-rom
Attaquant,15.0,2014,lazio-rom
Total,25.0,2014,lazio-rom
Gardien,4.0,2015,lazio-rom
Défense,17.0,2015,lazio-rom
