name,poste,Team,taille,accélération,speed,offensif,technique,mouvement,defense general,gardien general,Years
 A. Vidal,MC,Juventus,"5'11""",77,81,390,392,400,251,21,2014
 C. Tévez,MOC,Juventus,"5'8""",85,87,397,407,432,145,20,2014
 M. Benatia,DC,AS Rome,"6'2""",75,74,278,257,350,266,42,2014
 D. De Rossi,MDC,AS Rome,"6'1""",69,69,380,380,358,246,54,2014
 A. Barzagli,DC,Juventus,"6'1""",75,75,253,277,352,261,21,2014
 G. Chiellini,DC,Juventus,"6'1""",79,71,278,279,350,265,20,2014
 A. Pirlo,MC,Juventus,"5'10""",45,55,357,449,339,171,22,2014
 C. Marchisio,MC,Juventus,"5'10""",79,79,387,399,404,227,22,2014
 G. Higuaín,BU,Naples,"6'0""",81,78,391,353,370,75,44,2014
 M. Gomez,BU,Fiorentina,"6'2""",78,72,393,291,359,65,46,2014
 Hernanes,MOC,Inter,"5'11""",71,69,383,424,382,192,53,2014
 A. Candreva,MD,Lazio Rome,"5'11""",84,86,375,408,404,172,51,2014
 Kaká,AD,Milan,"6'1""",78,70,382,395,362,83,19,2014
 M. Balotelli,BU,Milan,"6'2""",82,82,380,380,360,75,19,2014
 M. Hamšik,MOC,Naples,"6'0""",73,73,400,396,370,172,51,2014
 M. Pjanić,MOC,AS Rome,"5'11""",72,72,375,428,374,192,47,2014
 S. Handanovič,G,Inter,"6'4""",57,57,134,147,288,75,398,2014
 R. Palacio,AD,Inter,"5'9""",85,87,400,397,421,75,125,2014
 G. Buffon,G,Juventus,"6'3""",33,45,146,128,253,75,388,2014
 Llorente,BU,Juventus,"6'5""",65,55,378,303,323,71,18,2014
 M. Klose,BU,Lazio Rome,"6'0""",71,74,397,323,351,73,52,2014
 José Reina,G,Naples,"6'2""",63,50,125,120,307,75,409,2014
 D. Mertens,MOC,Naples,"5'7""",83,91,340,413,433,111,44,2014
 Leandro Castán,DC,AS Rome,"6'0""",68,70,239,247,316,257,39,2014
 Gervinho,AG,AS Rome,"5'10""",92,94,364,350,430,110,59,2014
 J. Cuadrado,AD,Fiorentina,"5'9""",94,92,376,392,428,180,43,2014
 Borja Valero,MOC,Fiorentina,"5'9""",68,74,373,414,382,198,39,2014
 G. Rossi,MOC,Fiorentina,"5'8""",82,86,380,397,417,70,44,2014
 H. Campagnaro,DC,Inter,"5'11""",71,71,276,266,348,256,65,2014
 P. Pogba,MOC,Juventus,"6'1""",77,75,388,403,370,229,25,2014
 F. Marchetti,G,Lazio Rome,"6'2""",51,55,136,142,311,75,393,2014
 José Callejón,MOC,Naples,"5'10""",88,88,367,359,415,75,49,2014
 A. Cassano,MOC,Parma,"5'9""",52,57,393,432,341,75,46,2014
 F. Totti,MOC,AS Rome,"5'11""",40,50,390,418,303,75,58,2014
 K. Strootman,MC,AS Rome,"6'1""",70,66,344,392,346,228,48,2014
 A. Cerci,MG,Torino,"5'11""",89,87,393,416,417,84,51,2014
 W. Samuel,DC,Inter,"6'0""",45,47,232,243,276,254,39,2014
 F. Guarín,MOC,Inter,"6'0""",79,79,371,397,386,213,66,2014
 K. Asamoah,MG,Juventus,"5'10""",81,85,369,372,410,217,21,2014
 A. Rami,DC,Milan,"6'3""",68,68,268,285,312,251,21,2014
 R. Montolivo,MC,Milan,"6'0""",64,60,360,409,348,209,19,2014
 S. El Shaarawy,AG,Milan,"5'10""",86,88,358,385,412,85,21,2014
 Raúl Albiol,DC,Naples,"6'3""",60,60,264,288,310,247,41,2014
 G. Paletta,DC,Parma,"6'3""",61,59,238,255,297,248,55,2014
