Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
1,Juventus,2014,87,0.684,72,24,59.08,29.13,329,76.2,61.5,1.058296153846154,1.0650778571428572
1,Juventus,2015,91,0.763,75,20,62.99,23.0,440,118.5,90.938,1.0791191666666664,1.0648823076923075
1,Juventus,2016,91,0.763,77,27,68.74,23.6,497,166.3,110.062,1.0497276470588237,1.0319507692307692
1,Juventus,2017,95,0.789,86,24,59.23,28.58,653,265.4,108.75,1.0559658823529414,1.1024544444444446
1,Juventus,2018,90,0.737,70,30,64.53,35.03,871,331.5,161.438,1.0774746666666668,1.1068388888888887
1,Juventus,2019,83,0.684,76,43,73.77,41.0,661,197.0,148.0,1.0774357142857143,1.112051111111111
4,Juventus,2020,78,0.605,77,38,83.53,38.33,631,227.9,129.062,1.0836233333333332,1.1096766666666666
2,AS Rome,2014,70,0.5,54,31,50.85,36.79,281,82.3,55.438,1.0190500000000002,0.9721733333333332
3,AS Rome,2015,80,0.605,83,41,64.43,39.79,332,105.9,62.438,1.047411875,1.015886875
2,AS Rome,2016,87,0.737,90,38,83.0,41.08,354,94.0,86.75,1.025714705882353,0.9982731249999999
3,AS Rome,2017,77,0.605,61,28,65.63,38.46,468,110.6,112.875,1.0476225,1.0625457142857144
6,AS Rome,2018,66,0.474,66,48,68.39,52.79,459,136.0,86.25,1.043375,1.0299809999999998
5,AS Rome,2019,70,0.553,77,51,78.32,49.15,392,97.5,77.938,1.03061,0.9942641666666668
7,AS Rome,2020,63,0.474,68,55,72.11,50.33,389,59.2,103.375,0.9963276470588238,0.9984544444444443
3,Lazio,2014,69,0.553,71,38,62.0,35.87,167,35.1,33.062,1.0184617647058822,1.0481892857142856
8,Lazio,2015,54,0.395,52,52,55.21,43.58,175,43.3,31.062,1.0395653333333335,1.0268114285714287
5,Lazio,2016,70,0.553,74,51,65.39,41.77,226,68.6,46.625,1.0235006666666668,1.0354115384615385
4,Lazio,2017,72,0.553,89,49,66.51,42.57,408,115.7,72.938,1.0360353846153847,1.004237
8,Lazio,2018,59,0.447,56,46,61.27,46.45,291,70.7,43.688,1.0576807142857143,1.0216764285714286
4,Lazio,2019,78,0.632,79,42,67.55,52.33,303,81.1,44.188,1.046542,1.0295971428571429
6,Lazio,2020,68,0.553,61,55,58.7,48.84,324,82.5,44.688,1.0504864285714286,1.060182857142857
4,Fiorentina,2014,64,0.474,61,46,60.67,48.5,218,61.1,57.062,1.0151226666666668,1.0340546666666666
5,Fiorentina,2015,64,0.474,60,42,53.19,36.22,190,71.4,30.25,1.0360233333333333,1.0437342857142855
8,Fiorentina,2016,60,0.421,63,57,55.14,53.3,217,83.8,35.625,1.0192308333333333,1.0572341666666667
8,Fiorentina,2017,57,0.421,54,46,54.12,42.15,236,95.1,34.188,1.0079486666666666,0.9988558333333333
14,Fiorentina,2018,41,0.211,47,45,54.12,44.08,315,99.9,61.438,0.9932325000000002,1.006819090909091
9,Fiorentina,2019,49,0.316,51,48,53.49,50.3,302,116.4,57.625,1.0006020000000002,0.9935466666666666
13,Fiorentina,2020,40,0.237,47,59,46.2,62.02,286,106.2,56.0,1.0110715384615383,0.9819154545454545
5,Naples,2014,63,0.474,70,54,64.5,34.37,262,110.9,35.562,1.015408235294118,1.0191330769230766
2,Naples,2015,82,0.658,80,32,69.53,26.69,321,125.0,50.375,1.004184375,1.0187658333333334
3,Naples,2016,86,0.684,94,39,77.51,32.16,387,122.3,73.938,1.0366846666666667,1.0858729999999999
2,Naples,2017,91,0.737,77,29,70.45,25.27,504,152.1,108.188,1.06251,1.0451972727272727
2,Naples,2018,79,0.632,74,36,68.24,36.5,646,173.8,135.875,1.0474542857142857,1.10136375
7,Naples,2019,62,0.474,61,50,63.88,43.17,548,148.8,124.25,1.05103,1.0974133333333334
5,Naples,2020,77,0.632,86,41,74.98,41.88,530,174.1,105.438,1.0551650000000001,1.028091111111111
6,Genoa,2014,59,0.421,62,47,57.32,60.37,118,37.4,21.375,0.994883125,1.0140675
10,Genoa,2015,46,0.342,45,48,45.29,48.63,117,31.7,23.062,0.9871280000000002,0.9753190000000002
16,Genoa,2016,36,0.237,38,64,45.2,51.25,108,28.2,19.875,0.9880976470588235,0.9456516666666667
12,Genoa,2017,41,0.289,33,43,42.21,42.87,135,49.8,23.75,0.9983875000000001,0.9737084615384617
17,Genoa,2018,38,0.211,39,57,44.54,56.35,191,73.9,31.188,0.9976026666666666,0.9933378571428572
17,Genoa,2019,39,0.263,47,73,49.89,59.51,142,47.4,29.0,0.9997253333333332,1.00478
11,Genoa,2020,42,0.263,47,58,40.71,62.68,111,28.5,23.938,0.9987843750000001,0.9505916666666668
7,Sampdoria,2014,56,0.342,48,42,47.59,48.37,136,51.3,22.188,1.0071186666666667,1.01539
15,Sampdoria,2015,40,0.263,48,61,40.53,66.19,126,35.3,27.688,1.01112,0.997013076923077
11,Sampdoria,2016,48,0.316,49,55,46.17,56.86,117,33.6,21.0,1.00081,1.0004372727272726
10,Sampdoria,2017,54,0.421,56,60,53.14,62.26,190,55.3,29.812,0.9861716666666668,1.0363333333333333
9,Sampdoria,2018,53,0.395,60,51,53.19,54.27,216,47.8,47.375,1.003333076923077,1.0088172727272726
15,Sampdoria,2019,42,0.316,48,65,48.92,56.21,135,28.2,31.5,1.0333733333333335,1.030135
9,Sampdoria,2020,52,0.395,52,54,46.7,58.63,127,34.6,23.25,0.9934533333333334,0.9881666666666667
8,Inter,2014,55,0.368,59,48,57.17,44.32,267,68.4,54.25,1.017951052631579,1.076687142857143
