Team,Value,trend,pourcentage,predict
Juventus Turin,640.4,5.522509539118565,0.995,True
Inter,573.3,4.580205084028795,0.986,True
Napoli,517.75,3.800100576126609,0.644,True
AC Milan,466.9,3.0859995099371185,0.463,False
AS Roma,418.35,2.404198000330438,0.283,False
Atalanta BC,415.35,2.362068143918079,0.281,False
Lazio Rome,326.6,1.1157265583857825,0.185,False
Fiorentina,248.8,0.023158948758598363,0.086,False
Sassuolo,216.9,-0.4248218577594889,0.057,False
Torino,184.13,-0.8850203226371605,0.018,False
Cagliari,153.53,-1.3147448580432255,0.011,False
FC Bologna,142.48,-1.4699231624954154,0.01,False
Sampdoria,124.8,-1.7182084496189196,0.007,False
Hellas Verona,108.45,-1.9478161670662777,0.006,False
Udinese,101.6,-2.044012672541165,0.005,False
Genoa,99.2,-2.077716557671052,0.005,False
FC Empoli,71.6,-2.465311236664758,0.003,False
Spezia Calcio,69.85,-2.489886986238634,0.003,False
Venezia,66.38,-2.538617186822263,0.003,False
Salernitana,37.8,-2.9399742855773394,0.002,False
