Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
1,Juventus,2014,87,0.684,72,24,59.08,29.13,329,76.2,61.5
1,Juventus,2015,91,0.763,75,20,62.99,23.0,440,118.5,90.938
1,Juventus,2016,91,0.763,77,27,68.74,23.6,497,166.3,110.062
1,Juventus,2017,95,0.789,86,24,59.23,28.58,653,265.4,108.75
1,Juventus,2018,90,0.737,70,30,64.53,35.03,871,331.5,161.438
1,Juventus,2019,83,0.684,76,43,73.77,41.0,661,197.0,148.0
4,Juventus,2020,78,0.605,77,38,83.53,38.33,631,227.9,129.062
2,Roma,2014,70,0.5,54,31,50.85,36.79,281,82.3,55.438
3,Roma,2015,80,0.605,83,41,64.43,39.79,332,105.9,62.438
2,Roma,2016,87,0.737,90,38,83.0,41.08,354,94.0,86.75
3,Roma,2017,77,0.605,61,28,65.63,38.46,468,110.6,112.875
6,Roma,2018,66,0.474,66,48,68.39,52.79,459,136.0,86.25
5,Roma,2019,70,0.553,77,51,78.32,49.15,392,97.5,77.938
7,Roma,2020,63,0.474,68,55,72.11,50.33,389,59.2,103.375
3,Lazio,2014,69,0.553,71,38,62.0,35.87,167,35.1,33.062
8,Lazio,2015,54,0.395,52,52,55.21,43.58,175,43.3,31.062
5,Lazio,2016,70,0.553,74,51,65.39,41.77,226,68.6,46.625
4,Lazio,2017,72,0.553,89,49,66.51,42.57,408,115.7,72.938
8,Lazio,2018,59,0.447,56,46,61.27,46.45,291,70.7,43.688
4,Lazio,2019,78,0.632,79,42,67.55,52.33,303,81.1,44.188
6,Lazio,2020,68,0.553,61,55,58.7,48.84,324,82.5,44.688
4,Fiorentina,2014,64,0.474,61,46,60.67,48.5,218,61.1,57.062
5,Fiorentina,2015,64,0.474,60,42,53.19,36.22,190,71.4,30.25
8,Fiorentina,2016,60,0.421,63,57,55.14,53.3,217,83.8,35.625
8,Fiorentina,2017,57,0.421,54,46,54.12,42.15,236,95.1,34.188
14,Fiorentina,2018,41,0.211,47,45,54.12,44.08,315,99.9,61.438
9,Fiorentina,2019,49,0.316,51,48,53.49,50.3,302,116.4,57.625
13,Fiorentina,2020,40,0.237,47,59,46.2,62.02,286,106.2,56.0
5,Napoli,2014,63,0.474,70,54,64.5,34.37,262,110.9,35.562
2,Napoli,2015,82,0.658,80,32,69.53,26.69,321,125.0,50.375
3,Napoli,2016,86,0.684,94,39,77.51,32.16,387,122.3,73.938
2,Napoli,2017,91,0.737,77,29,70.45,25.27,504,152.1,108.188
2,Napoli,2018,79,0.632,74,36,68.24,36.5,646,173.8,135.875
7,Napoli,2019,62,0.474,61,50,63.88,43.17,548,148.8,124.25
5,Napoli,2020,77,0.632,86,41,74.98,41.88,530,174.1,105.438
6,Genoa,2014,59,0.421,62,47,57.32,60.37,118,37.4,21.375
10,Genoa,2015,46,0.342,45,48,45.29,48.63,117,31.7,23.062
16,Genoa,2016,36,0.237,38,64,45.2,51.25,108,28.2,19.875
12,Genoa,2017,41,0.289,33,43,42.21,42.87,135,49.8,23.75
17,Genoa,2018,38,0.211,39,57,44.54,56.35,191,73.9,31.188
17,Genoa,2019,39,0.263,47,73,49.89,59.51,142,47.4,29.0
11,Genoa,2020,42,0.263,47,58,40.71,62.68,111,28.5,23.938
7,Sampdoria,2014,56,0.342,48,42,47.59,48.37,136,51.3,22.188
15,Sampdoria,2015,40,0.263,48,61,40.53,66.19,126,35.3,27.688
11,Sampdoria,2016,48,0.316,49,55,46.17,56.86,117,33.6,21.0
10,Sampdoria,2017,54,0.421,56,60,53.14,62.26,190,55.3,29.812
9,Sampdoria,2018,53,0.395,60,51,53.19,54.27,216,47.8,47.375
15,Sampdoria,2019,42,0.316,48,65,48.92,56.21,135,28.2,31.5
9,Sampdoria,2020,52,0.395,52,54,46.7,58.63,127,34.6,23.25
8,Inter,2014,55,0.368,59,48,57.17,44.32,267,68.4,54.25
